LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;
KW;2002;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;
;02.03.;SA;47;28;4;20;30;49;37;5;80.396.756,25  ;1  x  ;8.403.289,90  ;4  x  ;803.967,50  ;21  x  ;95.710,40  ;1.332  x  ;3.923,20  ;2.853  x  ;281,70  ;77.999  x  ;56,60  ;94.464  x  ;46,80  ;1.527.011  x  ;11,50  ;;
10.;06.03.;MI;11;7;33;22;44;25;9;1;25.673.909,25  ;3  x  ;256.739,00  ;20  x  ;51.347,80  ;63  x  ;10.188,00  ;2.411  x  ;692,10  ;2.884  x  ;89,00  ;51.600  x  ;27,30  ;58.745  x  ;24,00  ;648.410  x  ;8,70  ;;
;09.03.;SA;38;40;43;44;5;4;42;5;77.833.737,75  ;2  x  ;1.362.090,40  ;2  x  ;1.362.090,40  ;35  x  ;55.595,50  ;1.014  x  ;4.989,30  ;3.914  x  ;198,80  ;65.927  x  ;64,90  ;125.725  x  ;34,00  ;1.451.420  x  ;11,70  ;;
11.;13.03.;MI;32;33;30;37;43;31;5;7;23.862.063,00  ;JP;715.861,80  ;7  x  ;136.354,60  ;8  x  ;74.568,90  ;1.134  x  ;1.367,70  ;804  x  ;296,70  ;40.885  x  ;37,00  ;29.895  x  ;37,00  ;496.600  x  ;10,50  ;;
;16.03.;SA;7;44;39;25;2;27;34;9;75.533.307,00  ;2  x  ;1.490.930,50  ;7  x  ;431.618,80  ;27  x  ;69.938,20  ;2.504  x  ;1.960,70  ;4.021  x  ;187,80  ;115.332  x  ;36,00  ;117.984  x  ;35,20  ;1.940.539  x  ;8,50  ;;
12.;20.03.;MI;35;40;44;9;13;4;10;6;23.714.937,75  ;JP;711.448,10  ;3  x  ;316.199,10  ;9  x  ;65.874,80  ;538  x  ;2.865,10  ;925  x  ;256,30  ;26.758  x  ;48,70  ;33.825  x  ;38,50  ;488.122  x  ;10,60  ;;
;23.03.;SA;18;47;15;17;10;48;44;8;74.792.414,25  ;JP;2.955.220,50  ;9  x  ;332.410,70  ;16  x  ;116.863,10  ;1.109  x  ;4.383,60  ;2.438  x  ;306,70  ;61.997  x  ;66,30  ;81.891  x  ;50,20  ;1.342.198  x  ;12,20  ;;
13.;27.03.;MI;1;8;5;48;36;27;49;6;24.916.540,50  ;JP;3.702.716,70  ;3  x  ;332.220,50  ;16  x  ;38.932,00  ;625  x  ;2.591,30  ;1.806  x  ;137,90  ;29.833  x  ;45,90  ;46.568  x  ;29,40  ;524.102  x  ;10,40  ;;
;30.03.;SA;43;4;8;38;37;44;21;7;76.549.575,00  ;2  x  ;2.999.601,90  ;3  x  ;1.020.661,00  ;16  x  ;119.608,70  ;1.085  x  ;4.585,90  ;2.745  x  ;278,80  ;71.215  x  ;59,10  ;93.789  x  ;44,80  ;1.338.607  x  ;12,50  ;;
14.;03.04.;MI;37;16;33;8;13;20;30;0;23.112.385,50  ;JP;693.371,50  ;1  x  ;924.495,40  ;6  x  ;96.301,60  ;460  x  ;3.265,80  ;1.036  x  ;223,00  ;25.189  x  ;50,40  ;33.639  x  ;37,70  ;477.278  x  ;10,60  ;;
