LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;
KW;2001;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Jackpot;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
;03.03.;SA;41;9;34;43;46;42;19;2;162.478.900,50  ;JP;12.189.833,50  ;3  x  ;2.766.701,50  ;22  x  ;184.635,10  ;952  x  ;11.093,60  ;4.363  x  ;372,40  ;78.822  x  ;113,30  ;143.830  x  ;62,10  ;1.519.271  x  ;23,50  ;
10.;07.03.;MI;44;6;32;17;1;29;48;6;54.244.465,50  ;JP;13.817.167,40  ;7  x  ;309.968,30  ;20  x  ;67.805,50  ;723  x  ;4.876,70  ;1.654  x  ;327,90  ;37.639  x  ;79,20  ;39.438  x  ;75,60  ;604.535  x  ;19,70  ;
;10.03.;SA;15;21;25;38;10;48;14;7;174.444.007,50  ;2  x  ;9.525.243,80  ;10  x  ;697.776,00  ;46  x  ;94.806,50  ;2.575  x  ;4.403,40  ;3.902  x  ;447,00  ;110.655  x  ;87,20  ;109.244  x  ;87,20  ;1.971.504  x  ;19,40  ;
11.;14.03.;MI;26;45;38;22;32;39;37;4;45.012.999,00  ;JP;1.350.389,90  ;2  x  ;900.259,90  ;12  x  ;93.777,00  ;513  x  ;5.703,40  ;1.271  x  ;354,10  ;27.286  x  ;90,70  ;38.520  x  ;64,20  ;507.997  x  ;19,40  ;
;17.03.;SA;44;49;5;25;41;33;1;5;157.408.755,00  ;JP;6.072.652,50  ;6  x  ;1.049.391,70  ;44  x  ;89.436,70  ;2.236  x  ;4.575,80  ;7.485  x  ;210,20  ;134.174  x  ;64,50  ;179.784  x  ;48,10  ;1.795.272  x  ;19,20  ;
12.;21.03.;MI;45;11;26;22;28;49;33;9;45.504.918,00  ;JP;7.437.800,00  ;JP;1.820.196,70  ;11  x  ;103.420,20  ;422  x  ;7.009,00  ;1.191  x  ;382,00  ;22.638  x  ;110,50  ;37.019  x  ;67,60  ;440.898  x  ;22,70  ;
;24.03.;SA;45;36;30;49;11;9;25;2;160.175.431,50  ;JP;12.243.062,90  ;8  x  ;1.028.401,70  ;49  x  ;81.722,10  ;1.414  x  ;7.363,00  ;5.769  x  ;277,60  ;93.594  x  ;94,10  ;155.056  x  ;56,80  ;1.706.288  x  ;20,60  ;
13.;28.03.;MI;24;19;41;25;14;31;46;9;50.612.683,50  ;JP;13.761.443,40  ;1  x  ;2.024.507,30  ;11  x  ;115.028,80  ;621  x  ;5.297,60  ;1.541  x  ;328,40  ;33.502  x  ;83,00  ;40.950  x  ;67,90  ;641.439  x  ;17,30  ;
;31.03.;SA;10;2;15;44;14;28;13;0;168.765.646,50  ;JP;18.824.412,70  ;JP;6.750.625,80  ;8  x  ;527.392,60  ;1.298  x  ;8.451,20  ;2.772  x  ;608,80  ;77.908  x  ;119,10  ;99.956  x  ;92,80  ;1.517.524  x  ;24,40  ;
14.;04.04.;MI;21;12;22;24;31;4;34;6;118.139.067,00  ;JP;22.368.584,70  ;4  x  ;2.869.047,10  ;37  x  ;79.823,60  ;1.408  x  ;5.453,80  ;3.568  x  ;331,10  ;75.399  x  ;86,10  ;96.105  x  ;67,60  ;1.350.316  x  ;19,20  ;
;07.04.;SA;37;38;3;9;33;36;32;3;208.161.387,00  ;2  x  ;14.306.713,10  ;5  x  ;1.665.291,00  ;92  x  ;56.565,50  ;2.160  x  ;6.264,10  ;12.248  x  ;169,90  ;135.952  x  ;84,20  ;242.917  x  ;47,10  ;2.512.402  x  ;18,20  ;
15.;11.04.;MI;33;4;28;24;12;36;35;2;48.668.580,00  ;1  x  ;1.460.057,40  ;3  x  ;648.914,40  ;12  x  ;101.392,80  ;953  x  ;3.319,40  ;1.362  x  ;357,30  ;40.546  x  ;70,20  ;35.702  x  ;70,20  ;610.025  x  ;17,50  ;
;14.04.;SA;9;21;2;24;42;11;32;7;159.250.209,00  ;1  x  ;4.777.506,20  ;9  x  ;707.778,70  ;82  x  ;48.551,80  ;2.364  x  ;4.378,70  ;7.537  x  ;211,20  ;119.411  x  ;73,30  ;184.149  x  ;47,50  ;1.982.912  x  ;17,60  ;
16.;18.04.;MI;19;17;48;1;29;6;47;6;43.204.200,00  ;JP;1.296.126,00  ;1  x  ;1.728.168,00  ;10  x  ;108.010,50  ;718  x  ;3.911,20  ;1.192  x  ;362,40  ;31.730  x  ;74,80  ;32.155  x  ;73,80  ;513.356  x  ;18,50  ;
;21.04.;SA;48;18;2;27;25;7;39;8;155.444.035,50  ;1  x  ;5.959.447,00  ;6  x  ;1.036.293,50  ;86  x  ;45.187,20  ;2.115  x  ;4.777,20  ;7.170  x  ;216,70  ;109.433  x  ;78,10  ;175.268  x  ;48,70  ;1.958.748  x  ;17,40  ;
17.;25.04.;MI;13;26;9;31;42;20;4;8;43.555.669,50  ;JP;1.306.670,00  ;1  x  ;1.742.226,70  ;13  x  ;83.760,90  ;615  x  ;4.603,40  ;1.979  x  ;220,00  ;29.115  x  ;82,20  ;43.417  x  ;55,10  ;501.294  x  ;19,10  ;
;28.04.;SA;3;14;7;35;33;38;11;3;155.902.432,50  ;JP;5.983.742,90  ;7  x  ;890.871,00  ;53  x  ;73.538,80  ;2.016  x  ;5.026,60  ;5.836  x  ;267,10  ;104.026  x  ;82,40  ;162.254  x  ;52,80  ;1.903.241  x  ;18,00  ;
18.;02.05.;MI;2;12;44;14;24;31;43;1;42.565.146,00  ;JP;7.260.697,20  ;JP;1.702.605,80  ;10  x  ;106.412,80  ;548  x  ;5.048,70  ;973  x  ;437,40  ;26.708  x  ;87,60  ;27.093  x  ;86,40  ;485.638  x  ;19,20  ;
;05.05.;SA;41;42;49;36;44;29;11;5;158.477.034,00  ;3  x  ;4.005.002,70  ;5  x  ;1.608.337,40  ;32  x  ;123.810,10  ;1.841  x  ;5.595,30  ;2.863  x  ;553,50  ;89.090  x  ;97,80  ;100.502  x  ;86,70  ;1.441.222  x  ;24,10  ;
19.;09.05.;MI;17;36;4;30;16;26;21;3;43.996.306,50  ;JP;1.319.889,10  ;3  x  ;586.617,40  ;15  x  ;73.327,10  ;467  x  ;6.123,60  ;1.237  x  ;355,60  ;27.947  x  ;86,50  ;33.956  x  ;71,20  ;504.227  x  ;19,10  ;
;12.05.;SA;46;1;7;29;28;31;16;9;153.485.041,50  ;JP;5.924.440,30  ;2  x  ;3.069.700,80  ;32  x  ;119.910,10  ;1.551  x  ;6.432,30  ;4.103  x  ;374,00  ;82.840  x  ;101,90  ;112.475  x  ;75,00  ;1.553.287  x  ;21,70  ;
20.;16.05.;MI;2;35;16;19;33;23;24;7;49.425.475,50  ;JP;7.407.204,50  ;1  x  ;1.977.019,00  ;12  x  ;102.969,70  ;555  x  ;5.788,50  ;1.419  x  ;348,30  ;31.668  x  ;85,80  ;45.572  x  ;59,60  ;566.075  x  ;19,20  ;
;19.05.;SA;15;11;34;1;10;9;48;1;157.767.654,00  ;2  x  ;6.070.117,00  ;3  x  ;2.103.568,70  ;20  x  ;197.209,50  ;1.567  x  ;6.544,20  ;3.073  x  ;513,30  ;94.259  x  ;92,00  ;97.194  x  ;89,20  ;1.739.805  x  ;19,90  ;
21.;23.05.;MI;40;46;15;31;44;13;2;2;43.202.481,00  ;JP;1.296.074,40  ;2  x  ;864.049,60  ;10  x  ;108.006,20  ;401  x  ;7.002,80  ;1.027  x  ;420,60  ;21.956  x  ;108,20  ;28.074  x  ;84,60  ;411.866  x  ;23,00  ;
;26.05.;SA;13;42;2;22;8;43;14;1;147.771.780,00  ;JP;5.729.227,80  ;6  x  ;985.145,20  ;27  x  ;136.825,70  ;1.516  x  ;6.335,80  ;2.957  x  ;499,70  ;79.593  x  ;102,10  ;89.181  x  ;91,10  ;1.435.110  x  ;22,60  ;
22.;30.05.;MI;26;16;48;47;35;27;42;3;43.330.713,00  ;JP;7.029.149,10  ;1  x  ;1.733.228,50  ;10  x  ;108.326,70  ;344  x  ;8.187,40  ;955  x  ;453,70  ;21.315  x  ;111,80  ;28.708  x  ;83,00  ;432.318  x  ;22,00  ;
;02.06.;SA;8;35;13;23;39;34;7;1;158.791.758,00  ;JP;11.792.901,80  ;JP;6.351.670,30  ;34  x  ;116.758,60  ;1.666  x  ;6.195,30  ;4.564  x  ;347,90  ;90.461  x  ;96,50  ;132.346  x  ;65,90  ;1.593.782  x  ;21,90  ;
23.;06.06.;MI;42;8;26;34;9;47;28;6;47.295.948,00  ;JP;13.211.780,20  ;3  x  ;2.747.836,00  ;10  x  ;118.239,80  ;600  x  ;5.123,70  ;1.012  x  ;467,30  ;25.435  x  ;102,20  ;31.245  x  ;83,20  ;482.789  x  ;21,50  ;
;09.06.;SA;6;15;2;31;48;49;42;3;168.275.818,50  ;JP;18.260.054,70  ;5  x  ;1.346.206,50  ;30  x  ;140.229,80  ;1.583  x  ;6.909,60  ;3.804  x  ;442,30  ;90.273  x  ;102,50  ;111.287  x  ;83,10  ;1.691.081  x  ;21,80  ;
24.;13.06.;MI;34;17;41;6;20;15;9;5;60.059.533,50  ;JP;20.061.840,70  ;3  x  ;800.793,70  ;15  x  ;100.099,20  ;505  x  ;7.730,40  ;1.830  x  ;328,10  ;31.850  x  ;103,70  ;49.931  x  ;66,10  ;565.137  x  ;23,30  ;
;16.06.;SA;17;4;25;32;36;22;43;3;187.380.301,50  ;JP;25.683.249,70  ;10  x  ;749.521,20  ;56  x  ;83.651,90  ;2.052  x  ;5.935,50  ;5.408  x  ;346,40  ;122.523  x  ;84,10  ;135.587  x  ;76,00  ;2.259.938  x  ;18,20  ;
25.;20.06.;MI;27;1;25;8;2;5;26;9;95.433.481,50  ;JP;28.546.254,10  ;9  x  ;424.148,80  ;62  x  ;38.481,20  ;1.910  x  ;3.247,70  ;4.412  x  ;216,30  ;76.237  x  ;68,80  ;88.924  x  ;59,00  ;1.170.501  x  ;17,90  ;
;23.06.;SA;42;18;6;40;35;29;44;6;251.201.704,50  ;2  x  ;18.041.152,60  ;3  x  ;3.349.356,00  ;68  x  ;92.353,50  ;2.284  x  ;7.148,90  ;6.341  x  ;396,10  ;127.390  x  ;108,40  ;176.472  x  ;78,20  ;2.378.415  x  ;23,20  ;
26.;27.06.;MI;27;24;47;13;17;20;45;2;50.429.593,50  ;1  x  ;3.530.071,50  ;unbesetzt;;9  x  ;140.082,20  ;624  x  ;5.253,00  ;1.106  x  ;455,90  ;32.048  x  ;86,50  ;35.059  x  ;79,10  ;591.927  x  ;18,70  ;
