;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;;4 Treffer + Superzahl;;4 Treffer;;3 Treffer + Superzahl ;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2018;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
1.;03.01.;MI;45;10;34;31;15;35;8;22.909.485,00  ;JP;6.803.818,90  ;JP;861.581,50  ;36  x  ;11.966,40  ;308  x  ;4.196,00  ;1.952  x  ;220,60  ;18.511  x  ;46,50  ;36.934  x  ;23,30  ;330.060  x  ;11,70  ;274.544  x  ;;;;
;06.01.;SA;37;47;46;32;5;14;0;47.358.258,00  ;JP;9.834.747,40  ;2  x  ;1.351.671,00  ;28  x  ;32.888,50  ;601  x  ;4.596,70  ;2.875  x  ;320,30  ;35.538  x  ;51,80  ;56.921  x  ;32,30  ;697.485  x  ;11,80  ;446.119  x  ;;;;
2.;10.01.;MI;24;25;3;45;22;43;6;24.378.366,00  ;JP;11.394.962,80  ;JP;896.269,20  ;32  x  ;14.004,20  ;269  x  ;4.997,70  ;1.792  x  ;250,00  ;16.024  x  ;55,90  ;39.754  x  ;22,50  ;337.823  x  ;11,90  ;333.255  x  ;;;;
;13.01.;SA;14;31;48;6;5;16;0;49.672.833,00  ;JP;14.574.024,10  ;JP;2.810.131,70  ;45  x  ;21.265,10  ;664  x  ;4.323,40  ;3.314  x  ;288,70  ;39.464  x  ;48,40  ;65.025  x  ;29,40  ;772.972  x  ;11,10  ;503.746  x  ;;;;
3.;17.01.;MI;32;48;13;3;27;25;2;26.097.623,00  ;1  x  ;16.244.271,90  ;2  x  ;1.888.875,70  ;51  x  ;9.486,40  ;524  x  ;2.769,90  ;2.757  x  ;175,40  ;27.256  x  ;35,50  ;47.364  x  ;20,40  ;480.730  x  ;9,00  ;340.473  x  ;;;;
;20.01.;SA;3;45;11;33;18;15;4;45.746.759,00  ;JP;2.927.792,50  ;4  x  ;422.544,10  ;82  x  ;10.305,90  ;945  x  ;2.682,80  ;4.957  x  ;170,40  ;47.737  x  ;35,40  ;85.643  x  ;19,70  ;821.602  x  ;9,20  ;608.764  x  ;;;;
4.;24.01.;MI;37;5;45;31;18;3;7;21.925.081,00  ;JP;4.330.997,60  ;1  x  ;774.481,00  ;50  x  ;7.744,80  ;405  x  ;2.868,40  ;2.925  x  ;132,30  ;22.145  x  ;34,90  ;50.002  x  ;15,40  ;379.717  x  ;9,10  ;362.905  x  ;;;;
;27.01.;SA;34;24;22;43;4;36;6;46.317.161,00  ;JP;7.295.295,90  ;JP;1.730.962,70  ;64  x  ;13.523,10  ;488  x  ;5.320,50  ;3.668  x  ;235,90  ;31.293  x  ;55,30  ;72.693  x  ;23,80  ;610.032  x  ;12,70  ;576.931  x  ;;;;
5.;31.01.;MI;6;26;3;38;8;29;8;23.727.249,00  ;1  x  ;8.813.839,80  ;2  x  ;1.296.300,10  ;55  x  ;7.833,00  ;472  x  ;2.738,20  ;3.444  x  ;125,00  ;28.125  x  ;30,60  ;52.509  x  ;16,40  ;454.570  x  ;8,50  ;345.741  x  ;;;;
;03.02.;SA;5;39;48;13;20;9;5;46.293.388,00  ;JP;2.962.776,80  ;2  x  ;826.399,30  ;110  x  ;7.512,70  ;832  x  ;2.979,80  ;5.659  x  ;146,00  ;42.488  x  ;38,90  ;101.133  x  ;16,30  ;772.254  x  ;9,60  ;731.186  x  ;;;;
6.;07.02.;MI;15;41;28;20;25;33;5;22.260.647,00  ;JP;4.387.458,20  ;4  x  ;203.571,90  ;39  x  ;10.439,50  ;342  x  ;3.571,40  ;2.151  x  ;189,20  ;16.055  x  ;50,70  ;42.462  x  ;19,10  ;329.588  x  ;11,10  ;312.553  x  ;;;;
;10.02.;SA;27;41;45;20;17;35;8;46.542.339,00  ;1  x  ;7.366.167,80  ;2  x  ;862.836,70  ;83  x  ;10.395,60  ;529  x  ;4.893,20  ;3.756  x  ;229,70  ;33.236  x  ;51,90  ;76.129  x  ;22,60  ;661.846  x  ;11,70  ;607.145  x  ;;;;
7.;14.02.;MI;22;16;20;23;24;6;6;21.109.867,00  ;JP;1.351.031,40  ;JP;765.388,70  ;36  x  ;10.630,30  ;266  x  ;4.316,10  ;2.308  x  ;165,80  ;16.957  x  ;45,10  ;39.381  x  ;19,40  ;307.011  x  ;11,20  ;310.003  x  ;;;;
;17.02.;SA;27;15;42;37;18;26;2;44.791.205,00  ;JP;4.217.668,50  ;JP;2.459.693,20  ;44  x  ;19.253,40  ;482  x  ;5.272,70  ;3.123  x  ;271,20  ;31.833  x  ;53,20  ;64.345  x  ;26,30  ;648.143  x  ;11,70  ;517.184  x  ;;;;
8.;21.02.;MI;29;47;6;8;40;3;7;22.144.048,00  ;JP;5.634.887,50  ;2  x  ;1.626.262,50  ;37  x  ;10.713,90  ;280  x  ;4.247,30  ;2.239  x  ;177,00  ;17.277  x  ;45,80  ;42.896  x  ;18,40  ;327.042  x  ;10,90  ;345.297  x  ;;;;
;24.02.;SA;27;33;41;18;44;47;6;45.456.075,00  ;1  x  ;8.544.076,30  ;1  x  ;1.660.619,80  ;123  x  ;6.750,40  ;940  x  ;2.649,90  ;5.320  x  ;156,00  ;45.181  x  ;36,70  ;90.250  x  ;18,40  ;756.674  x  ;9,80  ;642.530  x  ;;;;
9.;28.02.;MI;6;15;32;43;47;36;6;20.898.836,00  ;1  x  ;1.337.525,50  ;1  x  ;773.110,70  ;29  x  ;13.329,40  ;230  x  ;5.042,00  ;1.932  x  ;200,00  ;13.605  x  ;56,80  ;34.396  x  ;22,40  ;268.420  x  ;12,90  ;276.157  x  ;;;;
;03.03.;SA;5;37;28;44;24;40;8;44.685.926,00  ;JP;2.859.899,20  ;6  x  ;274.750,30  ;87  x  ;9.474,10  ;785  x  ;3.150,00  ;4.531  x  ;181,90  ;36.791  x  ;44,80  ;77.886  x  ;21,10  ;652.924  x  ;11,30  ;599.608  x  ;;;;
10.;07.03.;MI;5;30;28;35;24;42;1;21.621.589,00  ;JP;4.243.680,80  ;JP;824.961,20  ;27  x  ;15.277,00  ;287  x  ;4.311,60  ;1.443  x  ;285,80  ;15.184  x  ;54,30  ;29.435  x  ;28,00  ;308.687  x  ;12,00  ;235.480  x  ;;;;
;10.03.;SA;40;34;8;49;35;19;8;45.519.638,00  ;JP;7.156.937,60  ;1  x  ;2.501.305,90  ;74  x  ;11.326,60  ;515  x  ;4.882,50  ;3.910  x  ;214,30  ;31.396  x  ;53,30  ;77.066  x  ;21,70  ;641.541  x  ;11,70  ;616.623  x  ;;;;
11.;14.03.;MI;18;48;13;38;30;45;7;22.431.225,00  ;JP;8.592.536,00  ;1  x  ;810.654,90  ;42  x  ;9.650,60  ;387  x  ;3.142,00  ;2.423  x  ;167,20  ;18.530  x  ;43,70  ;44.209  x  ;18,30  ;338.744  x  ;10,70  ;334.693  x  ;;;;
;17.03.;SA;7;29;1;22;17;46;7;46.548.041,00  ;JP;11.571.610,60  ;4  x  ;412.480,50  ;111  x  ;7.432,00  ;873  x  ;2.834,90  ;6.033  x  ;136,70  ;42.666  x  ;38,60  ;108.736  x  ;15,10  ;764.599  x  ;9,70  ;759.145  x  ;;;;
12.;21.03.;MI;38;48;26;29;20;43;0;23.909.513,00  ;1  x  ;14.033.931,60  ;unbesetzt;;26  x  ;17.925,20  ;285  x  ;4.905,80  ;1.430  x  ;325,90  ;16.681  x  ;55,80  ;28.230  x  ;33,00  ;339.208  x  ;12,30  ;220.685  x  ;;;;
;24.03.;SA;16;27;34;3;42;45;1;44.248.614,00  ;JP;2.831.911,20  ;3  x  ;563.506,30  ;63  x  ;13.416,80  ;686  x  ;3.696,40  ;3.147  x  ;268,50  ;34.252  x  ;49,30  ;60.187  x  ;28,00  ;643.164  x  ;11,80  ;477.441  x  ;;;;
13.;28.03.;MI;1;47;31;38;23;25;7;21.535.631,00  ;2  x  ;2.490.205,50  ;unbesetzt;;26  x  ;14.811,90  ;298  x  ;3.876,90  ;2.027  x  ;189,90  ;16.145  x  ;47,70  ;42.265  x  ;18,20  ;325.286  x  ;10,60  ;337.468  x  ;;;;
;31.03.;SA;15;8;1;46;12;48;5;46.187.773,00  ;JP;2.956.017,40  ;2  x  ;849.924,40  ;63  x  ;13.490,80  ;555  x  ;4.594,10  ;3.738  x  ;227,30  ;30.619  x  ;55,50  ;76.724  x  ;22,10  ;613.455  x  ;12,40  ;627.876  x  ;;;;
14.;04.04.;MI;33;46;13;30;28;23;7;20.916.165,00  ;JP;4.294.651,90  ;1  x  ;755.815,70  ;41  x  ;9.217,20  ;365  x  ;3.106,00  ;2.529  x  ;149,40  ;19.093  x  ;39,50  ;43.060  x  ;17,50  ;324.945  x  ;10,40  ;312.258  x  ;;;;
;07.04.;SA;12;27;47;19;34;15;8;44.382.918,00  ;1  x  ;7.135.158,60  ;1  x  ;1.619.838,20  ;57  x  ;14.209,10  ;564  x  ;4.308,00  ;3.942  x  ;205,40  ;32.684  x  ;49,50  ;79.698  x  ;20,30  ;663.318  x  ;10,90  ;630.514  x  ;;;;
15.;11.04.;MI;44;20;25;27;48;9;5;20.413.264,00  ;1  x  ;2.047.239,70  ;unbesetzt;;53  x  ;6.988,50  ;263  x  ;4.225,00  ;1.985  x  ;186,50  ;15.677  x  ;47,20  ;38.297  x  ;19,30  ;308.971  x  ;10,70  ;298.455  x  ;;;;
;14.04.;SA;42;4;34;33;47;9;6;43.753.628,00  ;JP;2.800.232,10  ;4  x  ;397.460,20  ;60  x  ;13.248,60  ;507  x  ;4.703,60  ;3.773  x  ;210,60  ;31.152  x  ;51,00  ;78.956  x  ;20,10  ;651.697  x  ;10,90  ;635.634  x  ;;;;
16.;18.04.;MI;35;37;7;10;2;4;8;20.770.905,00  ;JP;4.129.570,00  ;1  x  ;755.525,40  ;52  x  ;7.264,60  ;299  x  ;3.790,20  ;2.247  x  ;168,10  ;20.205  x  ;37,30  ;40.120  x  ;18,80  ;373.098  x  ;9,10  ;300.172  x  ;;;;
;21.04.;SA;38;29;12;19;23;15;5;43.507.206,00  ;JP;6.914.031,10  ;2  x  ;785.961,00  ;79  x  ;9.948,80  ;600  x  ;3.929,80  ;4.545  x  ;172,90  ;33.382  x  ;47,00  ;85.176  x  ;18,40  ;666.261  x  ;10,60  ;649.984  x  ;;;;
17.;25.04.;MI;17;6;11;10;25;4;6;21.638.022,00  ;1  x  ;8.298.864,50  ;6  x  ;124.685,50  ;112  x  ;3.339,70  ;874  x  ;1.283,90  ;4.502  x  ;83,00  ;34.502  x  ;21,60  ;63.031  x  ;11,80  ;495.163  x  ;6,70  ;390.609  x  ;;;;
;28.04.;SA;11;48;2;33;47;9;4;42.980.378,00  ;JP;2.750.744,10  ;5  x  ;316.346,90  ;84  x  ;9.415,00  ;656  x  ;3.616,70  ;4.069  x  ;194,30  ;39.915  x  ;39,60  ;78.512  x  ;20,10  ;766.277  x  ;9,20  ;584.419  x  ;;;;
18.;02.05.;MI;42;3;5;44;19;12;7;20.417.542,00  ;JP;4.057.466,70  ;3  x  ;237.287,20  ;62  x  ;5.740,80  ;398  x  ;2.682,80  ;2.962  x  ;120,10  ;21.030  x  ;33,80  ;50.143  x  ;14,10  ;372.505  x  ;8,50  ;356.686  x  ;;;;
;05.05.;SA;5;34;49;1;17;31;7;43.951.479,00  ;JP;6.870.361,30  ;5  x  ;308.762,10  ;118  x  ;6.541,50  ;1.003  x  ;2.308,70  ;6.386  x  ;120,80  ;47.599  x  ;32,40  ;105.876  x  ;14,50  ;777.250  x  ;8,90  ;744.947  x  ;;;;
19.;09.05.;MI;31;37;43;25;3;9;5;22.330.221,00  ;1  x  ;8.299.495,40  ;8  x  ;99.595,40  ;120  x  ;3.319,80  ;851  x  ;1.404,40  ;3.574  x  ;111,40  ;28.043  x  ;28,40  ;51.302  x  ;15,50  ;406.404  x  ;8,80  ;353.668  x  ;;;;
;12.05.;SA;27;23;38;36;42;29;0;42.450.095,00  ;JP;2.716.806,00  ;2  x  ;831.457,30  ;48  x  ;17.322,00  ;533  x  ;4.679,80  ;2.471  x  ;336,40  ;31.207  x  ;53,20  ;47.680  x  ;34,80  ;593.311  x  ;12,60  ;375.819  x  ;;;;
20.;16.05.;MI;13;19;12;2;46;34;9;20.606.169,00  ;JP;4.035.600,80  ;JP;764.248,90  ;23  x  ;16.614,10  ;273  x  ;4.199,10  ;1.871  x  ;204,20  ;17.343  x  ;44,00  ;35.302  x  ;21,60  ;334.132  x  ;10,20  ;268.360  x  ;;;;
;19.05.;SA;41;27;44;3;49;4;2;43.805.912,00  ;JP;6.839.179,10  ;JP;2.406.220,10  ;45  x  ;18.244,10  ;532  x  ;4.629,60  ;3.217  x  ;255,20  ;33.090  x  ;49,60  ;66.985  x  ;24,50  ;689.071  x  ;10,70  ;535.933  x  ;;;;
21.;23.05.;MI;29;45;16;7;47;36;6;20.891.560,00  ;1  x  ;11.352.207,50  ;unbesetzt;;33  x  ;11.662,80  ;268  x  ;4.308,20  ;1.772  x  ;217,10  ;13.665  x  ;56,30  ;34.248  x  ;22,40  ;271.275  x  ;12,70  ;282.247  x  ;;;;
;26.05.;SA;48;27;24;16;47;10;6;42.978.956,00  ;JP;2.750.653,10  ;1  x  ;1.557.010,90  ;56  x  ;13.901,80  ;482  x  ;4.845,40  ;4.018  x  ;193,70  ;33.483  x  ;46,50  ;82.989  x  ;18,70  ;683.851  x  ;10,20  ;633.743  x  ;;;;
22.;30.05.;MI;29;15;35;23;38;48;2;20.820.659,00  ;JP;4.083.175,20  ;1  x  ;803.198,20  ;28  x  ;14.342,80  ;290  x  ;4.154,40  ;1.323  x  ;303,50  ;15.227  x  ;52,70  ;25.688  x  ;31,20  ;277.866  x  ;13,00  ;209.165  x  ;;;;
;02.06.;SA;24;30;1;19;31;10;7;43.497.175,00  ;2  x  ;3.433.497,20  ;1  x  ;1.518.784,80  ;133  x  ;5.709,70  ;1.015  x  ;2.244,50  ;6.898  x  ;110,00  ;51.358  x  ;29,50  ;114.601  x  ;13,20  ;854.038  x  ;8,00  ;755.384  x  ;;;;
23.;06.06.;MI;18;13;3;15;8;42;6;19.917.027,00  ;JP;1.274.689,70  ;JP;720.710,80  ;29  x  ;12.426,00  ;315  x  ;3.431,90  ;2.125  x  ;169,50  ;17.274  x  ;41,70  ;39.820  x  ;18,00  ;322.416  x  ;10,00  ;295.343  x  ;;;;
;09.06.;SA;39;13;34;16;42;35;9;42.634.521,00  ;JP;4.003.299,00  ;2  x  ;1.164.101,40  ;63  x  ;12.757,80  ;432  x  ;5.581,50  ;3.052  x  ;263,30  ;27.234  x  ;59,00  ;62.462  x  ;25,70  ;569.848  x  ;12,60  ;502.746  x  ;;;;
24.;13.06.;MI;4;48;3;6;10;46;3;20.832.196,00  ;JP;5.336.559,50  ;3  x  ;245.942,20  ;28  x  ;13.175,40  ;313  x  ;3.535,90  ;2.356  x  ;156,50  ;18.961  x  ;38,90  ;45.695  x  ;16,10  ;358.176  x  ;9,20  ;340.914  x  ;;;;
;16.06.;SA;46;40;19;4;31;33;2;43.152.464,00  ;1  x  ;8.098.317,10  ;5  x  ;322.418,50  ;144  x  ;5.597,50  ;1.399  x  ;1.728,40  ;5.005  x  ;161,00  ;51.431  x  ;31,30  ;79.717  x  ;20,20  ;802.754  x  ;9,00  ;538.709  x  ;;;;
25.;20.06.;MI;22;31;33;36;6;43;5;19.532.226,00  ;JP;1.250.062,40  ;JP;716.263,50  ;36  x  ;9.948,10  ;326  x  ;3.295,60  ;2.057  x  ;174,10  ;15.339  x  ;46,60  ;35.725  x  ;20,00  ;280.894  x  ;11,40  ;270.683  x  ;;;;
;23.06.;SA;25;49;29;48;17;6;1;42.374.796,00  ;JP;3.962.049,30  ;2  x  ;1.155.604,80  ;65  x  ;12.268,80  ;617  x  ;3.877,50  ;3.545  x  ;224,90  ;37.781  x  ;42,20  ;67.863  x  ;23,50  ;716.231  x  ;10,00  ;505.190  x  ;;;;
26.;27.06.;MI;37;46;13;35;45;17;3;21.502.235,00  ;JP;5.338.192,30  ;JP;795.124,40  ;28  x  ;14.198,60  ;337  x  ;3.539,10  ;2.131  x  ;186,50  ;18.135  x  ;43,80  ;38.151  x  ;20,80  ;316.437  x  ;11,30  ;284.746  x  ;;;;
;30.06.;SA;24;42;40;38;16;37;9;43.812.668,00  ;1  x  ;10.578.109,70  ;unbesetzt;;47  x  ;17.455,10  ;582  x  ;4.228,80  ;3.916  x  ;209,40  ;37.099  x  ;44,20  ;73.599  x  ;22,20  ;689.766  x  ;10,70  ;538.900  x  ;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer + Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2018;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
27.;04.07.;MI;25;1;37;5;32;10;8;19.915.143,00  ;JP;1.274.569,10  ;1  x  ;715.468,20  ;40  x  ;8.943,30  ;329  x  ;3.262,00  ;2.294  x  ;155,90  ;19.593  x  ;36,50  ;41.631  x  ;17,10  ;357.934  x  ;8,90  ;305.664  x  ;;;;
;07.07.;SA;36;25;13;5;18;2;2;42.530.753,00  ;JP;3.996.537,20  ;3  x  ;528.863,40  ;80  x  ;9.916,10  ;760  x  ;3.131,40  ;4.041  x  ;196,30  ;40.783  x  ;38,90  ;72.980  x  ;21,70  ;726.040  x  ;9,80  ;535.501  x  ;;;;
28.;11.07.;MI;44;18;3;1;42;28;5;20.722.358,00  ;1  x  ;5.322.768,10  ;3  x  ;252.666,10  ;23  x  ;16.478,20  ;301  x  ;3.777,40  ;1.659  x  ;228,40  ;14.552  x  ;52,00  ;35.241  x  ;21,50  ;294.055  x  ;11,50  ;290.993  x  ;;;;
;14.07.;SA;49;48;41;40;47;30;0;42.346.704,00  ;JP;2.710.189,00  ;8  x  ;205.646,70  ;203  x  ;4.052,10  ;2.378  x  ;1.037,70  ;3.856  x  ;213,30  ;40.672  x  ;40,40  ;55.491  x  ;29,60  ;612.633  x  ;12,00  ;402.285  x  ;;;;
29.;18.07.;MI;33;5;14;19;41;22;1;23.342.792,00  ;JP;4.204.127,60  ;1  x  ;882.297,20  ;34  x  ;12.974,90  ;403  x  ;3.283,90  ;1.810  x  ;243,70  ;20.028  x  ;44,00  ;35.645  x  ;24,70  ;373.306  x  ;10,60  ;270.897  x  ;;;;
;21.07.;SA;7;29;6;49;1;20;5;42.614.177,00  ;1  x  ;6.931.434,90  ;5  x  ;307.289,60  ;135  x  ;5.690,50  ;965  x  ;2.388,20  ;5.889  x  ;130,40  ;48.456  x  ;31,70  ;97.277  x  ;15,70  ;788.699  x  ;8,70  ;643.060  x  ;;;;
30.;25.07.;MI;8;41;9;39;43;40;9;19.193.711,00  ;JP;1.228.397,50  ;2  x  ;358.741,10  ;26  x  ;13.797,70  ;287  x  ;3.749,90  ;1.551  x  ;231,20  ;13.887  x  ;51,60  ;29.496  x  ;24,30  ;272.199  x  ;11,80  ;238.727  x  ;;;;
;28.07.;SA;35;11;7;31;34;36;1;41.376.707,00  ;JP;3.876.506,70  ;1  x  ;1.569.441,40  ;57  x  ;13.767,00  ;482  x  ;4.884,10  ;3.263  x  ;240,40  ;35.508  x  ;44,10  ;60.002  x  ;26,10  ;658.933  x  ;10,70  ;469.166  x  ;;;;
31.;01.08.;MI;46;25;22;45;2;32;2;20.670.384,00  ;JP;5.199.411,20  ;JP;782.483,70  ;15  x  ;26.082,70  ;206  x  ;5.697,60  ;1.556  x  ;251,40  ;13.840  x  ;56,50  ;29.646  x  ;26,30  ;286.829  x  ;12,20  ;237.490  x  ;;;;
;04.08.;SA;36;25;29;30;6;31;3;42.966.515,00  ;JP;7.949.268,10  ;JP;2.377.111,70  ;56  x  ;14.237,70  ;339  x  ;7.055,80  ;2.887  x  ;276,10  ;24.113  x  ;66,10  ;64.502  x  ;24,70  ;561.752  x  ;12,70  ;557.424  x  ;;;;
32.;08.08.;MI;11;49;8;40;26;18;0;21.500.471,00  ;JP;9.325.298,20  ;2  x  ;1.597.535,60  ;31  x  ;13.192,80  ;316  x  ;3.882,70  ;1.751  x  ;233,50  ;19.734  x  ;41,40  ;31.834  x  ;25,60  ;376.291  x  ;9,70  ;238.922  x  ;;;;
;11.08.;SA;5;8;47;46;10;36;8;44.210.829,00  ;JP;12.154.791,20  ;1  x  ;1.617.899,10  ;67  x  ;12.073,80  ;445  x  ;5.453,50  ;3.319  x  ;243,70  ;26.606  x  ;60,80  ;74.136  x  ;21,80  ;585.226  x  ;12,40  ;619.386  x  ;;;;
33.;15.08.;MI;13;6;31;24;18;29;9;22.487.958,00  ;JP;13.594.020,50  ;1  x  ;834.635,40  ;35  x  ;11.923,30  ;439  x  ;2.851,80  ;2.222  x  ;187,80  ;21.720  x  ;38,40  ;39.389  x  ;21,10  ;394.699  x  ;9,50  ;291.679  x  ;;;;
;18.08.;SA;1;14;46;42;34;3;3;45.464.011,00  ;JP;16.503.717,20  ;2  x  ;850.616,60  ;56  x  ;15.189,50  ;432  x  ;5.907,00  ;2.975  x  ;285,90  ;25.601  x  ;66,40  ;65.904  x  ;25,80  ;566.577  x  ;13,50  ;561.995  x  ;;;;
34.;22.08.;MI;7;15;16;26;6;32;0;23.632.223,00  ;JP;18.016.179,40  ;3  x  ;300.890,30  ;30  x  ;15.044,50  ;389  x  ;3.480,70  ;1.882  x  ;239,80  ;24.305  x  ;37,10  ;37.075  x  ;24,30  ;453.105  x  ;8,90  ;255.388  x  ;;;;
