LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2017;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.02.;SA;25;20;41;27;17;24;9;46.241.039,00  ;JP;4.341.456,60  ;JP;1.695.628,80  ;61  x  ;13.898,50  ;570  x  ;4.462,10  ;3.939  x  ;215,20  ;36.845  x  ;46,00  ;87.804  x  ;19,30  ;797.290  x  ;9,50  ;640.961  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.;22.02.;MI;46;25;42;1;5;7;3;22.645.743,00  ;JP;5.790.784,10  ;JP;2.515.979,10  ;44  x  ;9.322,10  ;380  x  ;3.238,20  ;2.311  x  ;177,40  ;20.471  x  ;40,00  ;44.880  x  ;18,20  ;377.652  x  ;9,70  ;334.008  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25.02.;SA;4;28;1;9;3;32;4;47.365.741,00  ;JP;8.822.191,50  ;5  x  ;850.811,80  ;81  x  ;10.728,80  ;833  x  ;3.129,70  ;5.224  x  ;166,30  ;50.117  x  ;34,60  ;95.072  x  ;18,20  ;909.044  x  ;8,60  ;654.132  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.;01.03.;MI;30;31;12;22;38;29;4;24.312.089,00  ;JP;10.378.165,10  ;JP;917.768,50  ;15  x  ;30.592,20  ;254  x  ;5.419,80  ;1.477  x  ;310,60  ;15.609  x  ;58,70  ;33.236  x  ;27,60  ;338.496  x  ;12,20  ;284.477  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;04.03.;SA;45;1;41;23;19;22;2;49.741.229,00  ;JP;13.561.603,70  ;2  x  ;1.397.039,70  ;76  x  ;12.344,10  ;613  x  ;4.591,20  ;3.501  x  ;267,90  ;33.847  x  ;55,40  ;71.075  x  ;26,30  ;689.596  x  ;12,20  ;584.813  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.;08.03.;MI;7;35;3;26;16;28;6;26.044.773,00  ;JP;15.228.469,10  ;1  x  ;939.824,10  ;59  x  ;7.964,60  ;513  x  ;2.748,00  ;3.295  x  ;142,60  ;26.018  x  ;36,10  ;55.802  x  ;16,80  ;465.293  x  ;9,00  ;391.456  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.03.;SA;26;46;12;49;17;4;8;50.649.836,00  ;JP;18.470.058,60  ;4  x  ;457.080,80  ;132  x  ;6.925,40  ;1.144  x  ;2.397,20  ;6.150  x  ;148,60  ;52.308  x  ;34,90  ;105.934  x  ;17,20  ;901.048  x  ;9,10  ;760.019  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.;15.03.;MI;15;26;40;7;16;25;1;27.191.625,00  ;JP;20.210.322,60  ;JP;1.021.808,30  ;48  x  ;10.643,80  ;489  x  ;3.134,30  ;2.316  x  ;220,50  ;24.759  x  ;41,20  ;44.472  x  ;22,90  ;462.480  x  ;9,90  ;327.493  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.03.;SA;31;23;40;4;12;27;0;52.715.503,00  ;4  x  ;5.896.028,60  ;21  x  ;143.615,90  ;195  x  ;5.113,10  ;2.093  x  ;1.429,10  ;6.185  x  ;161,20  ;72.292  x  ;27,50  ;90.174  x  ;22,10  ;1.048.895  x  ;8,50  ;608.538  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.;22.03.;MI;15;18;4;38;22;21;6;21.708.227,00  ;JP;1.389.326,50  ;1  x  ;804.176,60  ;37  x  ;10.867,20  ;298  x  ;4.047,80  ;1.986  x  ;202,40  ;16.437  x  ;48,90  ;35.576  x  ;22,60  ;305.762  x  ;11,80  ;284.604  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
