LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2017;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.;19.07.;MI;21;36;17;27;41;19;1;24.896.836,00  ;JP;5.806.930,00  ;1  x  ;939.388,50  ;31  x  ;15.151,40  ;396  x  ;3.558,20  ;2.060  x  ;228,00  ;21.453  x  ;43,70  ;39.021  x  ;24,00  ;399.978  x  ;10,50  ;292.227  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22.07.;SA;37;5;47;27;45;41;7;45.372.017,00  ;JP;8.710.739,00  ;3  x  ;543.348,10  ;116  x  ;7.026,00  ;815  x  ;3.000,00  ;6.522  x  ;124,90  ;44.240  x  ;36,80  ;105.322  x  ;15,40  ;733.903  x  ;9,90  ;696.351  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.;26.07.;MI;18;12;27;33;26;15;0;22.906.717,00  ;JP;10.176.768,80  ;JP;877.623,80  ;20  x  ;21.940,50  ;325  x  ;4.050,50  ;1.529  x  ;286,90  ;19.538  x  ;44,90  ;31.315  x  ;28,00  ;383.962  x  ;10,20  ;242.218  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29.07.;SA;35;37;30;20;14;29;3;47.191.745,00  ;JP;13.197.040,40  ;JP;2.663.021,30  ;52  x  ;17.167,20  ;402  x  ;6.661,90  ;2.861  x  ;312,00  ;24.415  x  ;73,10  ;61.682  x  ;28,90  ;532.616  x  ;15,00  ;544.325  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.;02.08.;MI;23;22;21;36;49;34;5;24.881.596,00  ;1  x  ;14.789.462,50  ;1  x  ;3.584.537,30  ;14  x  ;32.911,20  ;273  x  ;5.063,20  ;1.952  x  ;236,00  ;15.007  x  ;61,40  ;39.346  x  ;23,40  ;303.244  x  ;13,60  ;326.643  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;05.08.;SA;49;18;37;14;19;23;5;44.821.723,00  ;JP;2.868.590,20  ;JP;1.618.445,60  ;51  x  ;15.867,10  ;431  x  ;5.632,60  ;3.639  x  ;222,30  ;30.007  x  ;53,90  ;81.848  x  ;19,70  ;637.552  x  ;11,40  ;671.563  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32.;09.08.;MI;1;18;39;10;41;49;7;22.058.640,00  ;JP;4.280.343,10  ;1  x  ;2.404.929,80  ;46  x  ;8.548,70  ;360  x  ;3.277,00  ;2.560  x  ;153,60  ;18.394  x  ;42,70  ;46.600  x  ;16,80  ;355.711  x  ;9,90  ;350.545  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12.08.;SA;15;27;47;49;25;5;6;45.461.160,00  ;2  x  ;3.594.928,60  ;8  x  ;209.009,10  ;107  x  ;7.813,40  ;928  x  ;2.702,70  ;4.647  x  ;179,90  ;43.168  x  ;38,70  ;83.110  x  ;20,10  ;734.854  x  ;10,20  ;620.066  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33.;16.08.;MI;29;9;36;6;38;49;3;20.613.473,00  ;JP;1.319.262,20  ;1  x  ;754.555,40  ;35  x  ;10.779,30  ;316  x  ;3.581,70  ;2.086  x  ;180,80  ;16.805  x  ;44,90  ;38.757  x  ;19,40  ;327.927  x  ;10,30  ;288.384  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;19.08.;SA;35;2;45;29;10;48;2;44.070.838,00  ;JP;4.139.795,80  ;4  x  ;419.943,50  ;59  x  ;14.235,30  ;598  x  ;4.213,40  ;3.151  x  ;266,50  ;29.204  x  ;57,50  ;58.883  x  ;28,50  ;566.904  x  ;13,30  ;483.429  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34.;23.08.;MI;28;16;32;49;23;25;6;21.509.266,00  ;JP;5.516.388,80  ;4  x  ;196.169,20  ;23  x  ;17.058,10  ;202  x  ;5.826,80  ;1.793  x  ;218,80  ;15.778  x  ;49,70  ;38.114  x  ;20,50  ;328.525  x  ;10,70  ;306.254  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;26.08.;SA;19;2;28;11;24;49;9;44.931.384,00  ;JP;8.391.997,30  ;3  x  ;536.105,70  ;106  x  ;7.586,40  ;1.192  x  ;2.023,80  ;6.092  x  ;132,00  ;52.105  x  ;30,80  ;101.603  x  ;15,80  ;859.620  x  ;8,40  ;701.382  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.;30.08.;MI;29;5;9;34;21;7;3;22.663.866,00  ;JP;9.842.484,70  ;JP;818.023,50  ;51  x  ;8.019,80  ;479  x  ;2.561,60  ;2.900  x  ;141,00  ;23.628  x  ;34,60  ;49.595  x  ;16,40  ;410.807  x  ;8,90  ;340.242  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;02.09.;SA;14;5;8;3;34;33;6;47.870.210,00  ;JP;12.906.178,10  ;1  x  ;2.573.577,60  ;67  x  ;13.101,10  ;588  x  ;4.478,40  ;4.188  x  ;209,50  ;37.323  x  ;47,00  ;83.063  x  ;21,10  ;741.435  x  ;10,60  ;663.174  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36.;06.09.;MI;33;12;48;19;16;28;3;24.642.702,00  ;JP;14.483.311,00  ;2  x  ;448.387,10  ;33  x  ;13.587,40  ;346  x  ;3.887,70  ;2.577  x  ;173,90  ;21.420  x  ;41,80  ;47.621  x  ;18,80  ;402.224  x  ;10,00  ;355.295  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.09.;SA;40;14;49;8;18;27;3;49.152.525,00  ;1  x  ;17.629.072,60  ;3  x  ;608.553,00  ;72  x  ;12.678,10  ;654  x  ;4.187,20  ;4.181  x  ;218,30  ;37.103  x  ;49,20  ;80.245  x  ;22,70  ;717.810  x  ;11,40  ;634.782  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37.;13.09.;MI;17;40;18;11;30;16;6;21.120.488,00  ;JP;1.351.711,20  ;2  x  ;381.200,60  ;34  x  ;11.211,70  ;312  x  ;3.665,30  ;2.393  x  ;159,20  ;19.257  x  ;39,50  ;43.393  x  ;17,50  ;365.185  x  ;9,30  ;316.904  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16.09.;SA;47;27;31;35;21;26;9;44.522.996,00  ;JP;4.201.182,90  ;JP;1.656.334,60  ;50  x  ;16.563,30  ;465  x  ;5.343,00  ;3.315  x  ;249,80  ;30.818  x  ;53,70  ;70.322  x  ;23,50  ;635.326  x  ;11,70  ;569.736  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38.;20.09.;MI;36;28;3;46;9;30;3;22.063.388,00  ;JP;5.613.239,70  ;JP;2.458.809,30  ;42  x  ;9.553,20  ;264  x  ;4.559,50  ;2.090  x  ;191,90  ;16.839  x  ;47,60  ;41.129  x  ;19,50  ;330.746  x  ;10,90  ;318.978  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23.09.;SA;10;15;44;19;23;38;6;45.685.925,00  ;1  x  ;8.537.138,90  ;4  x  ;1.034.306,70  ;75  x  ;11.189,40  ;729  x  ;3.453,50  ;4.693  x  ;178,80  ;41.019  x  ;40,90  ;83.143  x  ;20,10  ;724.710  x  ;10,40  ;626.977  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39.;27.09.;MI;33;31;25;20;37;17;6;20.491.623,00  ;JP;1.311.463,80  ;7  x  ;106.272,60  ;106  x  ;3.509,00  ;714  x  ;1.562,80  ;3.334  x  ;111,50  ;27.736  x  ;26,80  ;47.895  x  ;15,50  ;408.400  x  ;8,10  ;299.052  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30.09.;SA;46;23;18;19;4;33;1;44.850.500,00  ;JP;4.181.895,80  ;5  x  ;335.978,90  ;112  x  ;7.499,50  ;1.160  x  ;2.172,20  ;5.146  x  ;163,20  ;54.489  x  ;30,80  ;80.619  x  ;20,80  ;860.272  x  ;8,70  ;551.174  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40.;04.10.;MI;45;17;19;11;15;16;4;21.338.437,00  ;JP;5.547.555,70  ;1  x  ;788.233,30  ;25  x  ;15.764,60  ;248  x  ;4.767,50  ;1.824  x  ;216,00  ;17.244  x  ;45,70  ;34.298  x  ;22,90  ;318.740  x  ;11,10  ;284.245  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;07.10.;SA;24;21;11;20;49;30;6;45.866.578,00  ;JP;8.483.016,60  ;JP;1.682.197,30  ;54  x  ;15.575,90  ;531  x  ;4.751,90  ;4.115  x  ;204,30  ;35.751  x  ;47,00  ;82.552  x  ;20,30  ;713.715  x  ;10,60  ;635.171  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41.;11.10.;MI;42;6;3;17;21;20;7;23.873.252,00  ;JP;10.010.904,70  ;JP;2.528.041,50  ;56  x  ;7.552,10  ;382  x  ;3.321,30  ;2.793  x  ;151,40  ;21.081  x  ;40,10  ;51.484  x  ;16,40  ;385.785  x  ;9,80  ;390.059  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14.10.;SA;13;10;35;7;40;9;7;48.600.281,00  ;1  x  ;13.121.322,60  ;3  x  ;1.404.547,20  ;85  x  ;9.915,20  ;681  x  ;3.712,70  ;5.976  x  ;141,00  ;44.513  x  ;37,80  ;121.719  x  ;13,80  ;887.848  x  ;8,50  ;866.744  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42.;18.10.;MI;38;10;11;13;7;4;4;20.940.130,00  ;JP;1.340.168,30  ;2  x  ;376.514,00  ;51  x  ;7.382,60  ;484  x  ;2.333,70  ;2.852  x  ;132,00  ;26.619  x  ;28,20  ;49.327  x  ;15,20  ;450.517  x  ;7,50  ;319.923  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21.10.;SA;15;4;25;34;10;46;1;44.635.929,00  ;JP;4.196.867,70  ;4  x  ;423.822,10  ;88  x  ;9.632,30  ;932  x  ;2.728,40  ;4.091  x  ;207,10  ;43.177  x  ;39,20  ;69.586  x  ;24,30  ;741.171  x  ;10,20  ;501.676  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43.;25.10.;MI;1;18;42;29;32;36;8;21.689.470,00  ;JP;5.584.993,70  ;1  x  ;806.406,30  ;26  x  ;15.507,80  ;260  x  ;4.652,30  ;1.771  x  ;227,60  ;14.263  x  ;56,50  ;35.384  x  ;22,70  ;284.181  x  ;12,70  ;278.509  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28.10.;SA;22;1;36;24;33;20;1;45.936.592,00  ;JP;8.524.935,50  ;JP;1.760.571,40  ;42  x  ;20.959,10  ;482  x  ;5.478,90  ;2.913  x  ;302,10  ;29.144  x  ;60,40  ;59.223  x  ;29,70  ;620.829  x  ;12,70  ;484.528  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44.;01.11.;MI;18;15;8;31;3;21;9;22.098.898,00  ;JP;9.939.264,90  ;3  x  ;860.840,10  ;43  x  ;9.557,50  ;472  x  ;2.612,10  ;2.418  x  ;169,90  ;22.893  x  ;35,90  ;39.324  x  ;20,90  ;378.651  x  ;9,70  ;283.126  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;04.11.;SA;21;47;46;14;3;7;6;48.161.263,00  ;JP;13.021.585,70  ;2  x  ;883.743,70  ;120  x  ;7.364,50  ;868  x  ;3.054,40  ;5.182  x  ;170,50  ;45.757  x  ;38,60  ;90.609  x  ;19,50  ;779.313  x  ;10,20  ;664.687  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45.;08.11.;MI;7;37;43;14;38;24;7;24.999.516,00  ;JP;14.621.554,70  ;1  x  ;890.559,80  ;49  x  ;9.087,30  ;330  x  ;4.047,90  ;2.643  x  ;168,40  ;17.986  x  ;49,50  ;50.301  x  ;17,70  ;363.829  x  ;11,00  ;398.838  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.11.;SA;7;1;19;16;11;37;7;50.140.722,00  ;1  x  ;17.830.560,90  ;9  x  ;191.815,20  ;189  x  ;4.567,00  ;1.257  x  ;2.060,00  ;9.478  x  ;91,00  ;63.653  x  ;27,10  ;150.320  x  ;11,40  ;1.040.931  x  ;7,40  ;919.597  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46.;15.11.;MI;6;23;46;40;35;45;5;21.282.525,00  ;JP;1.362.081,60  ;1  x  ;778.920,00  ;24  x  ;16.227,50  ;200  x  ;5.841,90  ;1.803  x  ;216,00  ;13.833  x  ;56,30  ;36.671  x  ;21,20  ;279.842  x  ;12,50  ;297.996  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.11.;SA;9;5;2;35;20;12;7;45.022.869,00  ;JP;4.243.545,20  ;4  x  ;399.022,50  ;135  x  ;5.911,40  ;1.080  x  ;2.216,70  ;6.649  x  ;120,00  ;51.670  x  ;30,80  ;107.167  x  ;14,80  ;837.554  x  ;8,50  ;733.814  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47.;22.11.;MI;28;29;32;24;48;34;9;21.854.862,00  ;JP;5.642.256,30  ;1  x  ;824.489,90  ;29  x  ;14.215,30  ;288  x  ;4.294,20  ;1.683  x  ;244,90  ;16.340  x  ;50,40  ;33.154  x  ;24,80  ;314.767  x  ;11,70  ;256.764  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25.11.;SA;20;37;17;11;26;43;9;45.819.122,00  ;1  x  ;8.574.680,10  ;4  x  ;421.612,10  ;77  x  ;10.950,90  ;710  x  ;3.562,90  ;4.456  x  ;189,20  ;39.937  x  ;42,20  ;81.750  x  ;20,60  ;746.938  x  ;10,10  ;622.530  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48.;29.11.;MI;32;9;30;16;25;28;8;20.812.389,00  ;JP;1.331.992,80  ;1  x  ;758.739,10  ;30  x  ;12.645,60  ;310  x  ;3.671,30  ;2.049  x  ;185,10  ;19.192  x  ;39,50  ;39.896  x  ;19,00  ;359.148  x  ;9,50  ;297.362  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;02.12.;SA;17;33;18;12;13;3;2;45.724.314,00  ;JP;4.258.348,80  ;3  x  ;555.635,60  ;104  x  ;8.013,90  ;1.115  x  ;2.242,40  ;6.480  x  ;128,60  ;65.896  x  ;25,20  ;104.020  x  ;16,00  ;1.058.922  x  ;7,00  ;653.346  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49.;06.12.;MI;29;18;11;43;35;19;9;23.874.594,00  ;JP;5.786.322,80  ;JP;896.376,20  ;26  x  ;17.238,00  ;330  x  ;4.074,40  ;1.927  x  ;232,50  ;17.173  x  ;52,10  ;36.499  x  ;24,50  ;344.384  x  ;11,70  ;289.112  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;09.12.;SA;25;12;46;16;20;7;7;48.517.319,00  ;JP;8.891.431,20  ;2  x  ;1.301.051,10  ;128  x  ;6.662,90  ;999  x  ;2.561,10  ;6.762  x  ;126,10  ;47.868  x  ;35,60  ;116.766  x  ;14,60  ;828.279  x  ;9,20  ;819.258  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50.;13.12.;MI;3;17;2;9;27;14;0;24.073.710,00  ;JP;10.432.148,60  ;JP;905.230,70  ;45  x  ;10.058,10  ;588  x  ;2.309,20  ;2.416  x  ;187,30  ;30.484  x  ;29,60  ;42.454  x  ;21,30  ;504.095  x  ;8,00  ;288.766  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16.12.;SA;40;30;5;23;6;18;9;49.143.783,00  ;JP;13.577.350,70  ;5  x  ;540.740,40  ;125  x  ;7.193,80  ;978  x  ;2.758,30  ;5.725  x  ;157,00  ;53.704  x  ;33,40  ;99.530  x  ;18,00  ;915.957  x  ;8,80  ;688.395  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51.;20.12.;MI;35;8;13;39;44;38;4;26.160.651,00  ;JP;15.251.632,30  ;1  x  ;980.271,80  ;36  x  ;13.614,80  ;290  x  ;5.070,30  ;2.066  x  ;237,20  ;18.405  x  ;53,20  ;39.856  x  ;24,50  ;360.767  x  ;12,20  ;320.665  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;23.12.;SA;39;38;11;32;4;31;6;57.963.450,00  ;1  x  ;18.961.293,10  ;6  x  ;346.150,90  ;116  x  ;8.952,10  ;835  x  ;3.730,90  ;7.429  x  ;139,70  ;63.458  x  ;32,70  ;113.866  x  ;18,20  ;966.673  x  ;9,60  ;900.601  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52.;27.12.;MI;46;45;37;19;17;31;0;22.036.192,00  ;JP;1.410.316,20  ;2  x  ;423.691,40  ;40  x  ;10.592,20  ;377  x  ;3.371,50  ;2.028  x  ;208,90  ;22.153  x  ;38,20  ;33.178  x  ;25,50  ;395.482  x  ;9,60  ;226.790  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30.12.;SA;37;48;27;11;12;14;0;61.363.996,00  ;JP;5.337.611,90  ;2  x  ;1.171.349,10  ;58  x  ;20.195,60  ;788  x  ;4.459,40  ;4.237  x  ;276,40  ;48.512  x  ;48,20  ;85.973  x  ;27,20  ;970.229  x  ;10,80  ;665.544  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
