LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;
KW;2013;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;
1.;02.01.;MI;36;41;21;18;44;3;40;0;20.783.768,25  ;2  x  ;519.594,20  ;2  x  ;415.675,30  ;4  x  ;129.898,50  ;440  x  ;3.070,30  ;828  x  ;251,00  ;21.135  x  ;49,10  ;25.855  x  ;32,10  ;396.617  x  ;11,50  ;
;05.01.;SA;39;47;49;45;22;26;43;0;44.889.669,00  ;JP;2.244.483,40  ;5  x  ;359.117,30  ;35  x  ;32.064,00  ;931  x  ;3.134,00  ;6.132  x  ;73,20  ;51.017  x  ;43,90  ;85.025  x  ;21,10  ;899.216  x  ;10,90  ;
2.;09.01.;MI;22;36;26;43;6;7;18;9;20.808.910,50  ;JP;3.284.928,90  ;1  x  ;832.356,40  ;10  x  ;52.022,20  ;340  x  ;3.978,10  ;1.044  x  ;199,30  ;23.125  x  ;44,90  ;32.277  x  ;25,70  ;441.056  x  ;10,30  ;
;12.01.;SA;10;7;48;11;43;15;38;8;45.649.200,00  ;JP;5.567.388,90  ;5  x  ;365.193,60  ;16  x  ;71.326,80  ;862  x  ;3.442,20  ;2.517  x  ;181,30  ;51.312  x  ;44,40  ;72.030  x  ;25,30  ;1.001.370  x  ;10,00  ;
3.;16.01.;MI;18;3;8;26;11;14;41;3;21.392.108,25  ;JP;6.636.994,30  ;2  x  ;427.842,10  ;15  x  ;35.653,50  ;778  x  ;1.787,20  ;1.404  x  ;152,30  ;34.096  x  ;31,30  ;37.511  x  ;22,80  ;546.405  x  ;8,60  ;
;19.01.;SA;39;23;27;45;28;47;6;6;46.615.994,25  ;JP;8.967.794,00  ;1  x  ;1.864.639,70  ;19  x  ;61.336,80  ;1.112  x  ;2.724,80  ;2.527  x  ;184,40  ;55.169  x  ;42,20  ;71.640  x  ;26,00  ;988.698  x  ;10,30  ;
4.;23.01.;MI;28;8;22;12;3;4;7;3;23.463.948,00  ;1  x  ;10.140.991,40  ;6  x  ;156.426,30  ;42  x  ;13.966,60  ;1.130  x  ;1.349,60  ;3.238  x  ;72,40  ;41.214  x  ;28,40  ;65.630  x  ;14,30  ;597.128  x  ;8,60  ;
