LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2005
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2005;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
;12.03.;SA;39;3;6;24;20;2;42;5;95.700.900,00;1  x  ;20.362.941,70;12  x  ;319.003,00;68  x  ;35.184,10;2.615  x  ;2.378,70;5.413  x  ;176,7;138.286  x  ;34,6;143.088  x  ;26,7;2.411.861  x  ;8,7
11.;16.03.;MI;29;33;16;6;40;4;38;5;27.617.472,00;JP;1.380.873,60;1  x  ;1.104.698,80;12  x  ;57.536,40;534  x  ;3.361,60;1.485  x  ;185,9;29.287  x  ;47,1;43.483  x  ;25,4;575.146  x  ;10,5
;19.03.;SA;5;4;9;7;49;48;23;3;67.483.875,00;1  x  ;4.755.067,30;27  x  ;99.976,10;63  x  ;26.779,30;2.678  x  ;1.637,90;4.744  x  ;142,2;105.673  x  ;31,9;129.746  x  ;20,8;1.724.448  x  ;8,6
12.;23.03.;MI;18;45;21;33;48;32;14;1;25.942.011,75;JP;1.297.100,50;4  x  ;259.420,10;9  x  ;72.061,10;764  x  ;2.207,10;1.344  x  ;193;37.755  x  ;34,3;36.737  x  ;28,2;631.611  x  ;9
;26.03.;SA;2;34;35;21;48;7;32;6;69.602.994,75;1  x  ;4.777.250,20;3  x  ;928.039,90;18  x  ;96.670,80;1.564  x  ;2.892,70;3.847  x  ;180,9;75.261  x  ;46,2;119.055  x  ;23,3;1.441.256  x  ;10,6
13.;30.03.;MI;40;14;46;7;1;3;19;9;24.382.873,50;1  x  ;2.194.458,60;unbesetzt;;12  x  ;50.797,60;386  x  ;4.105,90;1.767  x  ;137,9;26.301  x  ;46,3;53.275  x  ;18,3;513.969  x  ;10,4
;02.04.;SA;5;49;8;37;43;18;22;6;64.434.358,50;JP;3.221.717,90;5  x  ;515.474,80;30  x  ;53.695,20;1.272  x  ;3.292,60;3.296  x  ;195,4;68.418  x  ;47;89.101  x  ;28,9;1.313.826  x  ;10,7
14.;06.04.;MI;14;47;6;28;43;32;45;8;25.922.570,25;JP;4.517.846,40;2  x  ;518.451,40;13  x  ;49.851,00;520  x  ;3.240,30;1.200  x  ;216;25.459  x  ;50,9;34.105  x  ;30,4;478.794  x  ;11,9
;09.04.;SA;11;30;39;40;32;29;41;5;67.278.442,50;1  x  ;7.881.768,50;1  x  ;2.691.137,70;31  x  ;54.219,00;1.304  x  ;3.351,20;3.950  x  ;170,2;75.643  x  ;44,4;107.817  x  ;24,9;1.516.794  x  ;9,7
15.;13.04.;MI;26;42;28;36;22;15;29;2;24.793.158,00;JP;1.239.657,90;JP;991.726,30;22  x  ;28.174,00;537  x  ;3.001,00;1.461  x  ;169,6;27.255  x  ;45,4;39.785  x  ;24,9;459.412  x  ;11,8
;16.04.;SA;24;1;19;18;36;26;38;7;64.665.779,25;2  x  ;2.236.473,40;4  x  ;894.589,30;32  x  ;50.520,10;1.168  x  ;3.598,60;3.226  x  ;200,4;66.256  x  ;48,7;108.386  x  ;23,8;1.387.208  x  ;10,2
16.;20.04.;MI;16;9;25;43;6;20;1;9;24.740.529,00;JP;1.237.026,40;3  x  ;329.873,70;11  x  ;56.228,40;575  x  ;2.796,70;1.595  x  ;155,1;31.278  x  ;39,5;43.261  x  ;22,8;558.556  x  ;9,7
;23.04.;SA;13;4;37;7;21;49;48;9;64.154.149,50;1  x  ;4.444.733,80;8  x  ;320.770,70;52  x  ;30.843,30;2.278  x  ;1.830,50;4.436  x  ;144,6;104.030  x  ;30,8;113.470  x  ;22,6;1.679.264  x  ;8,4
17.;27.04.;MI;48;5;6;27;41;18;29;1;23.982.291,75;JP;1.199.114,50;1  x  ;959.291,60;12  x  ;49.963,10;623  x  ;2.502,10;1.418  x  ;169,1;32.817  x  ;36,5;36.970  x  ;25,9;579.266  x  ;9,1
;30.04.;SA;34;18;22;8;48;31;4;3;64.201.235,25;JP;4.409.176,20;6  x  ;428.008,20;61  x  ;26.311,90;1.394  x  ;2.993,60;4.655  x  ;137,9;71.366  x  ;44,9;115.795  x  ;22,1;1.284.961  x  ;10,9
18.;04.05.;MI;30;21;7;39;3;24;19;0;26.543.872,50;JP;5.736.369,80;3  x  ;353.918,30;32  x  ;20.737,40;740  x  ;2.331,50;2.885  x  ;92;40.052  x  ;33,1;70.066  x  ;15,1;655.883  x  ;8,9
;07.05.;SA;38;43;9;29;25;6;44;4;65.750.707,50;JP;9.023.905,10;5  x  ;526.005,60;42  x  ;39.137,30;2.012  x  ;2.124,10;3.551  x  ;185,1;93.612  x  ;35,1;100.094  x  ;26,2;1.537.511  x  ;9,4
19.;11.05.;MI;18;49;46;2;47;22;27;6;31.894.254,00;JP;10.618.617,80;1  x  ;1.275.770,10;9  x  ;88.595,10;572  x  ;3.624,30;1.432  x  ;222,7;30.918  x  ;51,5;46.293  x  ;27,5;608.499  x  ;11,5
;14.05.;SA;35;38;37;14;30;25;29;6;76.599.897,75;JP;14.448.612,60;1  x  ;3.063.995,90;23  x  ;83.260,70;1.126  x  ;4.421,80;2.572  x  ;297,8;73.546  x  ;52;83.683  x  ;36,6;1.475.958  x  ;11,4
20.;18.05.;MI;44;20;18;27;1;26;34;2;37.735.080,75;JP;16.335.366,60;1  x  ;1.509.403,20;9  x  ;104.819,60;512  x  ;4.790,50;1.367  x  ;276;31.620  x  ;59,6;46.480  x  ;32,4;701.736  x  ;11,8
