LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2011
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2011;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
1.;05.01.;MI;49;46;36;29;24;42;39;7;22.091.721,00  ;JP;1.104.586,00  ;JP;883.668,80  ;10  x  ;55.229,30  ;315  x  ;4.558,60  ;1.237  x  ;178,50  ;19.406  x  ;56,90  ;30.201  x  ;29,20  ;372.015  x  ;13,00  
;08.01.;SA;27;26;33;41;32;23;36;5;49.423.315,50  ;1  x  ;3.575.751,70  ;3  x  ;953.533,80  ;17  x  ;72.681,30  ;1.015  x  ;3.165,00  ;2.457  x  ;201,10  ;64.832  x  ;38,10  ;68.429  x  ;28,80  ;1.209.749  x  ;8,90  
2.;12.01.;MI;8;23;2;22;12;28;4;2;22.680.787,50  ;JP;1.134.039,30  ;5  x  ;181.446,30  ;47  x  ;12.064,20  ;943  x  ;1.563,30  ;2.821  x  ;80,30  ;36.790  x  ;30,80  ;59.015  x  ;15,30  ;551.524  x  ;9,00  
;15.01.;SA;13;12;33;21;26;38;29;3;48.223.296,00  ;1  x  ;3.545.204,10  ;2  x  ;964.465,90  ;17  x  ;70.916,60  ;1.033  x  ;3.034,30  ;2.354  x  ;204,80  ;61.707  x  ;39,00  ;66.747  x  ;28,80  ;1.196.675  x  ;8,80  
3.;19.01.;MI;6;8;35;29;5;34;23;1;21.018.867,75  ;JP;1.050.943,30  ;1  x  ;840.754,70  ;9  x  ;58.385,70  ;342  x  ;3.994,80  ;1.059  x  ;198,40  ;19.938  x  ;52,70  ;31.118  x  ;27,00  ;401.765  x  ;11,50  
;22.01.;SA;3;23;7;35;19;14;11;5;47.641.741,50  ;JP;3.433.030,30  ;7  x  ;272.238,50  ;88  x  ;13.534,50  ;2.114  x  ;1.464,80  ;6.159  x  ;77,30  ;86.073  x  ;27,60  ;137.472  x  ;13,80  ;1.306.301  x  ;8,00  
4.;26.01.;MI;34;22;23;37;28;6;25;4;24.194.230,50  ;JP;4.642.741,80  ;JP;967.769,20  ;4  x  ;151.213,90  ;351  x  ;4.480,40  ;1.160  x  ;208,50  ;23.370  x  ;51,70  ;39.556  x  ;24,40  ;467.162  x  ;11,30  
;29.01.;SA;35;30;8;11;45;21;22;7;53.352.565,50  ;1  x  ;7.310.370,00  ;8  x  ;387.733,90  ;26  x  ;51.300,50  ;1.176  x  ;2.948,90  ;2.159  x  ;247,10  ;55.002  x  ;48,50  ;70.391  x  ;30,30  ;1.037.632  x  ;11,30  
