Lotto 6 aus 49 am Samstag / Lotto 6 aus 49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 2000
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2000;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
18.;06.05.;;9;38;16;34;4;40;45;6;166.478.499,00 ;1  x  ;14.642.366,70  ;5  x  ;1.331.827,90 ;34  x  ;122.410,60 ;2.131  x  ;5.077,90 ;3.946  x  ;421,80 ;107.665  x  ;85,00 ;115.049  x  ;79,50 ;1.919.918  x  ;19,00  
19.;13.05.;;5;25;37;43;29;6;32;6;159.845.005,50 ;JP;4.795.350,10  ;4  x  ;1.598.450,00 ;16  x  ;249.757,80 ;1.200  x  ;8.658,20 ;3.237  x  ;493,80 ;78.945  x  ;111,30 ;110.960  x  ;79,20 ;1.627.202  x  ;21,60  
20.;20.05.;;31;49;19;36;40;32;45;9;162.446.313,00 ;JP;9.668.739,40  ;1  x  ;6.497.852,50 ;50  x  ;81.223,10 ;1.605  x  ;6.578,80 ;5.805  x  ;279,80 ;107.327  x  ;83,20 ;142.108  x  ;62,80 ;1.994.314  x  ;17,90  
21.;27.05.;;9;29;35;40;16;26;48;0;165.964.879,50 ;JP;14.647.685,70  ;4  x  ;1.659.648,70 ;32  x  ;129.660,00 ;1.723  x  ;6.261,00 ;3.928  x  ;422,50 ;91.489  x  ;99,70 ;111.210  x  ;82,00 ;1.708.301  x  ;21,30  
22.;03.06.;;21;39;27;25;9;40;6;7;174.469.755,00 ;1  x  ;19.881.778,30  ;10  x  ;697.879,00 ;55  x  ;79.304,40 ;2.307  x  ;4.915,70 ;6.845  x  ;254,80 ;127.258  x  ;75,40 ;170.590  x  ;56,20 ;2.209.082  x  ;17,30  
23.;10.06.;;25;35;44;37;1;33;30;2;161.895.999,00 ;1  x  ;5.666.359,90  ;1  x  ;5.666.359,90 ;14  x  ;289.099,90 ;1.087  x  ;9.680,90 ;3.213  x  ;503,80 ;75.386  x  ;118,10 ;109.586  x  ;81,20 ;1.629.451  x  ;21,80  
24.;17.06.;;40;32;49;46;28;24;39;7;158.959.858,50 ;2  x  ;2.384.397,80  ;11  x  ;578.035,80 ;40  x  ;99.349,90 ;2.215  x  ;4.664,70 ;3.642  x  ;436,40 ;111.050  x  ;78,70 ;119.285  x  ;73,20 ;1.901.049  x  ;18,30  
25.;24.06.;;29;43;6;13;42;28;31;6;156.593.191,50 ;JP;4.697.795,70  ;5  x  ;1.252.745,50 ;26  x  ;150.570,30 ;1.526  x  ;6.670,00 ;3.255  x  ;481,00 ;76.367  x  ;112,70 ;101.087  x  ;85,20 ;1.393.809  x  ;24,70  
26.;01.07.;;16;44;18;24;29;36;25;9;161.481.742,50 ;1  x  ;9.542.247,90  ;13  x  ;496.866,90 ;21  x  ;192.240,10 ;1.539  x  ;6.820,20 ;2.974  x  ;542,90 ;81.150  x  ;109,40 ;100.487  x  ;88,30 ;1.565.870  x  ;22,60  
27.;08.07.;;11;8;15;17;2;35;23;1;160.362.814,50 ;JP;4.810.884,40  ;3  x  ;2.138.170,80 ;78  x  ;51.398,30 ;1.816  x  ;5.739,80 ;6.422  x  ;249,70 ;98.516  x  ;89,50 ;160.173  x  ;55,00 ;1.737.659  x  ;20,30  
