Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1998;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
20.;16.05.;37;22;43;5;36;15;17;2;133.638.957,50 ;JP;8.268.959,70  ;4  x  ;1.670.486,90 ;32  x  ;125.286,50 ;1.659  x  ;8.055,30 ;93.644  x  ;142,70 ;112.710  x  ;82,90 ;1.462.153  x  ;10,90  
21.;23.05.;33;22;13;48;11;27;35;9;136.372.811,25 ;JP;12.360.144,00  ;3  x  ;2.272.880,10 ;39  x  ;104.902,10 ;2.082  x  ;6.550,00 ;117.252  x  ;116,30 ;117.751  x  ;81,00 ;1.904.071  x  ;8,50  
22.;30.05.;15;4;9;38;22;45;41;0;148.521.465,00 ;1  x  ;16.815.787,90  ;7  x  ;1.060.867,60 ;39  x  ;114.247,20 ;2.085  x  ;7.123,30 ;98.868  x  ;150,20 ;121.390  x  ;85,60 ;1.708.897  x  ;10,40  
23.;06.06.;15;35;32;21;5;34;38;9;132.894.255,00 ;JP;3.986.827,60  ;2  x  ;3.322.356,30 ;34  x  ;117.259,60 ;1.475  x  ;9.009,70 ;91.430  x  ;145,30 ;120.464  x  ;77,20 ;1.639.328  x  ;9,70  
24.;13.06.;20;14;8;27;6;34;38;8;133.472.151,25 ;JP;7.990.992,10  ;9  x  ;741.511,90 ;53  x  ;75.550,20 ;2.100  x  ;6.355,80 ;99.062  x  ;134,70 ;111.208  x  ;84,00 ;1.534.643  x  ;10,40  
25.;20.06.;19;29;27;44;31;38;36;4;138.322.672,50 ;8  x  ;1.517.584,00  ;54  x  ;141.869,40 ;24  x  ;141.869,40 ;1.515  x  ;9.130,20 ;97.202  x  ;142,30 ;107.453  x  ;90,10 ;1.841.960  x  ;9,00  
26.;27.06.;12;6;1;11;20;16;17;3;131.455.351,25 ;JP;3.943.660,50  ;11  x  ;597.524,30 ;65  x  ;60.671,70 ;3.155  x  ;4.166,50 ;123.763  x  ;106,20 ;134.283  x  ;68,50 ;1.860.396  x  ;8,40  
27.;04.07.;16;14;30;25;23;36;28;6;134.309.287,50 ;JP;7.972.939,10  ;4  x  ;1.678.866,00 ;29  x  ;138.940,60 ;1.122  x  ;11.970,50 ;78.368  x  ;171,30 ;114.911  x  ;81,80 ;1.511.981  x  ;10,60  
28.;11.07.;2;10;49;41;38;14;11;9;139.527.852,50 ;JP;12.158.774,60  ;1  x  ;6.976.392,60 ;26  x  ;160.993,60 ;1.470  x  ;9.491,60 ;87.177  x  ;160,00 ;120.339  x  ;81,10 ;1.661.083  x  ;10,00  
29.;18.07.;37;2;42;30;19;31;9;7;145.260.913,75 ;JP;16.516.602,00  ;1  x  ;7.263.045,60 ;53  x  ;82.223,10 ;1.415  x  ;10.265,70 ;99.729  x  ;145,60 ;191.785  x  ;53,00 ;1.855.066  x  ;9,30  
30.;25.07.;9;49;34;14;38;13;16;7;158.594.081,25 ;JP;21.274.424,40  ;9  x  ;881.078,20 ;28  x  ;169.922,20 ;1.649  x  ;9.617,50 ;101.319  x  ;156,50 ;121.387  x  ;91,40 ;1.924.223  x  ;9,80  
31.;01.08.;3;39;20;21;43;38;8;8;203.631.723,75 ;JP;27.383.376,10  ;7  x  ;1.454.512,30 ;40  x  ;152.723,70 ;1.911  x  ;10.655,70 ;121.144  x  ;168,00 ;171.566  x  ;83,00 ;2.397.585  x  ;10,10  
32.;08.08.;7;11;15;22;37;39;42;3;280.692.347,50 ;2  x  ;17.902.073,20  ;16  x  ;877.163,50 ;91  x  ;92.535,90 ;4.202  x  ;6.679,90 ;227.744  x  ;123,20 ;250.387  x  ;78,40 ;3.843.147  x  ;8,70  
33.;15.08.;30;20;19;46;6;48;5;5;152.496.047,50 ;JP;4.574.881,40  ;4  x  ;1.906.200,50 ;49  x  ;93.364,90 ;1.935  x  ;7.880,90 ;107.248  x  ;142,10 ;151.473  x  ;70,40 ;1.885.973  x  ;9,70  
34.;22.08.;24;47;36;38;5;40;49;8;146.646.335,00 ;1  x  ;8.974.271,40  ;1  x  ;7.332.316,70 ;24  x  ;183.307,90 ;1.625  x  ;9.024,30 ;109.928  x  ;133,40 ;145.474  x  ;70,50 ;1.951.534  x  ;9,00  
35.;29.08.;42;3;7;11;43;26;14;5;147.407.823,75 ;1  x  ;4.422.234,70  ;12  x  ;614.199,20 ;53  x  ;83.438,30 ;2.828  x  ;5.212,40 ;149.290  x  ;98,70 ;152.759  x  ;67,50 ;2.334.609  x  ;7,50  
36.;05.09.;8;41;32;48;15;45;11;4;150.689.510,00 ;JP;4.520.685,30  ;11  x  ;684.952,30 ;36  x  ;125.574,50 ;2.072  x  ;7.272,60 ;111.278  x  ;135,40 ;135.248  x  ;77,90 ;1.876.119  x  ;9,60  
37.;12.09.;49;9;28;46;38;29;3;0;143.339.753,75 ;JP;8.820.877,90  ;7  x  ;1.023.855,30 ;47  x  ;91.493,40 ;2.106  x  ;6.806,20 ;115.690  x  ;123,80 ;162.345  x  ;61,80 ;1.897.358  x  ;9,00  
38.;19.09.;27;32;48;20;26;9;40;6;147.433.396,25 ;JP;13.243.879,70  ;6  x  ;1.228.611,60 ;54  x  ;81.907,40 ;1.515  x  ;9.731,50 ;111.010  x  ;132,80 ;159.904  x  ;64,50 ;2.032.375  x  ;8,70  
39.;26.09.;13;12;36;7;5;1;10;4;153.807.778,75 ;1  x  ;17.858.113,00  ;4  x  ;1.922.597,20 ;103  x  ;44.798,30 ;2.344  x  ;6.561,70 ;136.951  x  ;112,30 ;191.027  x  ;56,30 ;2.181.379  x  ;8,40  
40.;03.10.;32;23;29;44;18;40;15;4;136.522.541,25 ;4  x  ;1.023.919,00  ;10  x  ;682.612,70 ;49  x  ;83.585,20 ;2.482  x  ;5.500,50 ;122.420  x  ;111,50 ;112.903  x  ;84,60 ;1.938.656  x  ;8,40  
41.;10.10.;41;29;39;31;27;4;6;4;142.343.356,25 ;1  x  ;4.270.300,60  ;4  x  ;1.779.291,90 ;47  x  ;90.857,40 ;2.095  x  ;6.794,40 ;113.373  x  ;125,50 ;131.625  x  ;75,70 ;1.964.900  x  ;8,60  
42.;17.10.;35;28;36;32;1;5;27;4;141.164.570,00 ;1  x  ;11.293.165,60  ;unbesetzt;;19  x  ;222.891,40 ;1.076  x  ;13.119,30 ;75.753  x  ;186,30 ;99.291  x  ;99,50 ;1.571.010  x  ;10,70  
43.;24.10.;1;26;7;19;31;38;3;2;138.718.782,50 ;JP;4.161.563,40  ;11  x  ;630.539,90 ;110  x  ;37.832,30 ;2.832  x  ;4.898,20 ;143.830  x  ;96,40 ;232.216  x  ;41,80 ;2.159.179  x  ;7,70  
44.;31.10.;2;44;24;26;5;6;12;0;140.680.507,50 ;1  x  ;8.318.978,60  ;3  x  ;2.344.675,10 ;79  x  ;53.422,90 ;2.215  x  ;6.351,20 ;109.165  x  ;128,80 ;214.243  x  ;45,90 ;1.861.789  x  ;9,00  
45.;07.11.;31;32;23;4;1;19;38;2;142.231.418,75 ;JP;4.266.942,50  ;1  x  ;7.111.570,90 ;33  x  ;129.301,20 ;2.003  x  ;7.100,90 ;123.866  x  ;114,80 ;151.609  x  ;65,60 ;2.116.092  x  ;8,00  
46.;14.11.;33;7;32;41;27;25;38;7;144.357.026,25 ;JP;8.597.653,20  ;1  x  ;7.217.851,30 ;38  x  ;113.966,00 ;1.612  x  ;8.955,10 ;122.193  x  ;118,10 ;171.571  x  ;58,80 ;2.271.790  x  ;7,60  
47.;21.11.;31;2;21;36;41;11;28;9;146.160.617,50 ;3  x  ;4.327.490,50  ;28  x  ;261.001,10 ;62  x  ;70.722,80 ;5.103  x  ;2.864,20 ;159.122  x  ;91,80 ;130.418  x  ;78,40 ;1.953.526  x  ;8,90  
48.;28.11.;34;10;17;38;33;28;16;3;142.173.898,75 ;JP;4.265.216,90  ;5  x  ;1.421.738,90 ;46  x  ;92.722,10 ;1.771  x  ;8.027,80 ;118.540  x  ;119,90 ;158.480  x  ;62,70 ;2.068.952  x  ;8,20  
49.;05.12.;43;22;9;31;35;48;20;5;153.993.336,25 ;1  x  ;8.885.016,90  ;10  x  ;769.966,60 ;72  x  ;64.163,80 ;2.244  x  ;6.862,40 ;107.240  x  ;143,50 ;124.609  x  ;86,50 ;1.825.700  x  ;10,10  
50.;12.12.;10;25;7;41;28;17;24;4;143.387.022,50 ;JP;4.301.610,60  ;11  x  ;651.759,10 ;36  x  ;119.489,10 ;2.791  x  ;5.137,40 ;144.726  x  ;99,00 ;155.438  x  ;64,50 ;2.345.888  x  ;7,30  
51.;19.12.;33;7;29;32;14;19;6;4;153.662.978,75 ;1  x  ;8.911.499,90  ;8  x  ;960.393,60 ;52  x  ;88.651,70 ;2.226  x  ;6.903,00 ;128.599  x  ;119,40 ;154.103  x  ;69,80 ;2.229.146  x  ;8,20  
52.;26.12.;19;24;45;29;43;20;30;0;140.765.443,75 ;2  x  ;2.815.308,80  ;2  x  ;2.815.308,80 ;28  x  ;150.820,10 ;1.049  x  ;13.419,00 ;68.500  x  ;205,40 ;101.983  x  ;96,60 ;1.460.258  x  ;11,50  
53.;02.01.;27;4;12;41;19;45;48;0;145.757.285,00 ;1  x  ;4.372.718,50  ;20  x  ;364.393,20 ;44  x  ;99.379,90 ;3.390  x  ;4.299,60 ;146.298  x  ;99,60 ;133.178  x  ;76,60 ;2.219.865  x  ;7,80  
