"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1980
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1980;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;05.01.;35 ;16 ;19 ;11 ;18 ;5 ;23 ;81.185.885,00 ;4  x  ;1.500.000,00 ;73  x  ;42.343,40 ;2.488  x     ;3.670,80 ;174.757  x    ;52,20 ;3.336.895  x;3,90  
2.;12.01.;49 ;28 ;31 ;30 ;23 ;19 ;3 ;85.346.421,50 ;4  x  ;1.500.000,00 ;90  x  ;40.016,30 ;2.045  x     ;4.695,00 ;141.571  x    ;67,80 ;2.939.897  x;4,70  
3.;19.01.;30 ;31 ;39 ;3 ;1 ;18 ;15 ;85.045.434,50 ;7  x  ;911.201,00 ;53  x  ;60.173,60 ;2.822  x     ;3.390,30 ;172.802  x    ;55,30 ;3.089.709  x;4,40  
4.;26.01.;18 ;49 ;2 ;27 ;45 ;25 ;11 ;85.441.380,50 ;9  x  ;712.011,50 ;69  x  ;46.435,50 ;2.549  x     ;3.770,90 ;163.402  x    ;58,80 ;3.083.466  x;4,50  
5.;02.02.;27 ;13 ;44 ;21 ;26 ;47 ;23 ;85.781.228,50 ;20  x  ;321.679,60 ;61  x  ;52.734,30 ;7.544  x     ;1.279,20 ;239.462  x    ;40,30 ;3.276.302  x;4,20  
6.;09.02.;37 ;29 ;36 ;8 ;16 ;17 ;13 ;85.857.730,00 ;13  x  ;495.333,00 ;26  x  ;123.833,20 ;2.765  x     ;3.493,30 ;148.570  x    ;65,00 ;2.877.194  x;4,80  
7.;16.02.;5 ;33 ;35 ;1 ;37 ;30 ;26 ;85.093.689,50 ;12  x  ;531.835,50 ;16  x  ;199.438,30 ;1.944  x     ;4.924,40 ;124.952  x    ;76,60 ;2.519.708  x;5,40  
8.;23.02.;26 ;1 ;49 ;43 ;21 ;13 ;48 ;83.890.259,50 ;17  x  ;370.112,30 ;66  x  ;47.664,90 ;3.694  x     ;2.554,80 ;190.422  x    ;49,50 ;3.076.524  x;4,40  
9.;01.03.;40 ;48 ;39 ;28 ;21 ;16 ;35 ;89.652.651,50 ;6  x  ;1.120.658,10 ;60  x  ;56.032,90 ;2.295  x     ;4.394,70 ;146.292  x    ;68,90 ;2.911.414  x;5,00  
10.;08.03.;14 ;43 ;40 ;35 ;15 ;46 ;38 ;85.752.827,50 ;7  x  ;918.848,80 ;25  x  ;128.638,80 ;1.428  x     ;6.755,70 ;101.848  x    ;94,70 ;2.216.139  x;6,20  
11.;15.03.;41 ;1 ;33 ;43 ;5 ;9 ;10 ;85.945.796,00 ;6  x  ;1.074.322,40 ;53  x  ;60.810,70 ;2.446  x     ;3.952,90 ;205.345  x    ;47,00 ;2.975.244  x;4,60  
12.;22.03.;19 ;30 ;33 ;14 ;11 ;27 ;10 ;84.575.172,50 ;30  x  ;211.437,90 ;71  x  ;44.669,90 ;4.263  x     ;2.231,90 ;205.916  x    ;46,20 ;3.266.188  x;4,20  
13.;29.03.;40 ;19 ;27 ;16 ;42 ;43 ;31 ;85.202.053,00 ;3  x  ;1.500.000,00 ;125  x  ;40.681,80 ;2.479  x     ;3.866,50 ;147.484  x    ;64,90 ;2.955.617  x;4,60  
14.;05.04.;36 ;34 ;32 ;14 ;41 ;17 ;29 ;83.996.789,00 ;12  x  ;524.979,90 ;94  x  ;33.509,30 ;3.811  x     ;2.479,50 ;189.265  x    ;49,90 ;3.227.022  x;4,20  
15.;12.04.;13 ;21 ;20 ;19 ;3 ;15 ;2 ;83.689.140,50 ;17  x  ;369.216,70 ;121  x  ;25.936,70 ;3.483  x     ;2.703,10 ;166.180  x    ;56,60 ;2.998.161  x;4,50  
16.;19.04.;10 ;3 ;41 ;11 ;25 ;24 ;13 ;83.512.269,50 ;15  x  ;417.561,30 ;77  x  ;40.671,50 ;4.387  x     ;2.141,50 ;207.929  x    ;45,10 ;3.478.507  x;3,90  
17.;26.04.;13 ;11 ;49 ;42 ;5 ;39 ;19 ;84.302.928,00 ;9  x  ;702.524,40 ;55  x  ;57.479,20 ;2.168  x     ;4.374,50 ;129.187  x    ;73,40 ;2.740.287  x;4,90  
18.;03.05.;9 ;19 ;47 ;18 ;10 ;27 ;41 ;82.500.754,00 ;9  x  ;687.506,20 ;56  x  ;55.246,00 ;3.666  x     ;2.531,70 ;188.809  x    ;49,10 ;3.450.451  x;3,80  
19.;10.05.;14 ;21 ;46 ;17 ;43 ;26 ;37 ;83.934.837,00 ;36  x  ;174.864,20 ;101  x  ;31.163,90 ;3.387  x     ;2.787,90 ;167.093  x    ;56,50 ;3.040.600  x;4,40  
20.;17.05.;21 ;33 ;16 ;2 ;36 ;26 ;43 ;81.628.817,00 ;10  x  ;612.216,10 ;99  x  ;30.920,00 ;2.614  x     ;3.513,00 ;159.614  x    ;57,50 ;2.958.737  x;4,40  
21.;24.05.;38 ;1 ;11 ;14 ;33 ;5 ;47 ;82.619.262,00 ;10  x  ;619.644,40 ;52  x  ;59.581,10 ;2.392  x     ;3.885,70 ;152.528  x    ;60,90 ;2.926.117  x;4,50  
22.;31.05.;33 ;17 ;48 ;2 ;3 ;25 ;38 ;82.823.465,50 ;7  x  ;887.394,20 ;170  x  ;18.269,80 ;4.816  x     ;1.934,70 ;218.307  x    ;42,60 ;3.520.551  x;3,80  
23.;07.06.;45 ;7 ;28 ;43 ;42 ;10 ;47 ;81.136.467,00 ;5  x  ;1.217.047,00 ;30  x  ;101.420,50 ;1.994  x     ;4.577,60 ;119.698  x    ;76,20 ;2.640.036  x;4,90  
24.;14.06.;47 ;41 ;42 ;28 ;45 ;9 ;14 ;84.617.243,50 ;4  x  ;1.500.000,00 ;46  x  ;76.509,50 ;1.625  x     ;5.858,10 ;132.676  x    ;71,70 ;2.529.879  x;5,40  
25.;21.06.;11 ;29 ;41 ;20 ;25 ;47 ;36 ;82.103.536,00 ;11  x  ;559.796,80 ;44  x  ;69.974,60 ;2.502  x     ;3.691,70 ;133.380  x    ;69,20 ;2.488.730  x;5,30  
26.;28.06.;24 ;13 ;10 ;3 ;44 ;5 ;19 ;82.514.427,50 ;4  x  ;1.500.000,00 ;109  x  ;30.118,10 ;2.595  x     ;3.577,20 ;165.253  x    ;56,10 ;3.109.063  x;4,30  
27.;05.07.;32 ;16 ;13 ;26 ;15 ;25 ;31 ;82.895.863,00 ;15  x  ;414.479,30 ;124  x  ;25.069,30 ;2.870  x     ;3.249,40 ;158.461  x    ;58,80 ;3.125.939  x;4,30  
28.;12.07.;1 ;31 ;25 ;11 ;4 ;15 ;13 ;83.022.809,00 ;14  x  ;444.765,00 ;66  x  ;47.172,00 ;2.879  x     ;3.244,20 ;160.321  x    ;58,20 ;3.029.381  x;4,40  
29.;19.07.;32 ;40 ;43 ;21 ;28 ;15 ;7 ;82.566.958,00 ;13  x  ;476.347,80 ;131  x  ;23.635,50 ;2.950  x     ;3.148,70 ;160.968  x    ;57,70 ;2.804.391  x;4,70  
30.;26.07.;49 ;20 ;29 ;44 ;11 ;38 ;16 ;79.752.166,00 ;7  x  ;854.487,40 ;46  x  ;65.015,30 ;1.813  x     ;4.948,70 ;113.001  x    ;79,30 ;2.314.507  x;5,50  
31.;02.08.;39 ;8 ;34 ;41 ;47 ;3 ;1 ;79.494.473,00 ;12  x  ;496.840,40 ;20  x  ;149.052,10 ;1.878  x     ;4.762,00 ;120.118  x    ;74,40 ;2.477.171  x;5,20  
32.;09.08.;34 ;19 ;46 ;29 ;32 ;27 ;45 ;78.938.777,00 ;1  x  ;1.500.000,00 ;45  x  ;164.013,60 ;2.262  x     ;3.926,00 ;148.111  x    ;59,90 ;2.851.223  x;4,40  
33.;16.08.;8 ;23 ;21 ;22 ;42 ;43 ;31 ;79.551.673,00 ;7  x  ;852.339,30 ;55  x  ;54.239,70 ;2.792  x     ;3.205,40 ;123.134  x    ;72,60 ;2.527.824  x;5,10  
34.;23.08.;17 ;38 ;16 ;4 ;42 ;28 ;35 ;80.297.024,50 ;3  x  ;1.500.000,00 ;56  x  ;80.953,80 ;2.926  x     ;3.087,20 ;149.479  x    ;60,40 ;2.700.287  x;4,80  
35.;30.08.;6 ;28 ;35 ;11 ;14 ;25 ;26 ;82.266.434,00 ;10  x  ;616.998,20 ;48  x  ;64.270,60 ;2.605  x     ;3.552,70 ;156.123  x    ;59,20 ;2.985.834  x;4,40  
36.;06.09.;36 ;47 ;23 ;25 ;42 ;12 ;15 ;81.866.126,00 ;6  x  ;1.023.326,50 ;50  x  ;61.399,50 ;3.844  x     ;2.395,90 ;169.242  x    ;54,40 ;2.917.190  x;4,50  
