LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2007;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
VA;2007;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
9.;28.02.;MI;14;43;26;31;28;13;8;8;31.847.405,25  ;JP;10.111.057,80  ;2  x  ;636.948,10  ;16  x  ;49.761,50  ;553  x  ;3.743,30  ;1.736  x  ;183,40  ;32.913  x  ;48,30  ;46.684  x  ;27,20  ;636.531  x  ;11,00  ;;;;;;
;03.03.;SA;16;7;26;4;29;23;28;9;71.193.435,75  ;1  x  ;13.670.729,50  ;6  x  ;474.622,90  ;41  x  ;43.410,60  ;1.996  x  ;2.318,40  ;4.449  x  ;160,00  ;94.734  x  ;37,50  ;119.590  x  ;23,80  ;1.648.591  x  ;9,50  ;;;;;;
10.;07.03.;MI;9;43;24;17;49;19;10;7;25.422.165,00  ;JP;1.271.108,20  ;1  x  ;1.016.886,60  ;13  x  ;48.888,70  ;600  x  ;2.754,00  ;1.571  x  ;161,80  ;35.465  x  ;35,80  ;45.711  x  ;22,20  ;664.245  x  ;8,40  ;;;;;;
;10.03.;SA;42;49;18;23;5;30;12;0;60.605.609,25  ;JP;4.301.388,60  ;8  x  ;303.028,00  ;72  x  ;21.043,60  ;1.239  x  ;3.179,40  ;4.106  x  ;147,60  ;65.156  x  ;46,50  ;110.231  x  ;21,90  ;1.253.980  x  ;10,60  ;;;;;;
11.;14.03.;MI;3;22;24;15;5;37;19;5;26.566.215,00  ;JP;5.629.699,30  ;3  x  ;354.216,20  ;13  x  ;51.088,80  ;528  x  ;3.270,40  ;1.870  x  ;142,00  ;31.321  x  ;42,40  ;53.209  x  ;19,90  ;564.768  x  ;10,30  ;;;;;;
;17.03.;SA;6;11;26;9;10;22;34;2;64.458.986,25  ;1  x  ;8.852.648,60  ;14  x  ;184.168,50  ;25  x  ;64.458,90  ;2.650  x  ;1.581,00  ;3.446  x  ;187,00  ;117.877  x  ;27,30  ;102.801  x  ;25,00  ;1.808.317  x  ;7,80  ;;;;;;
12.;21.03.;MI;31;11;33;6;2;3;23;7;24.390.425,25  ;JP;1.219.521,20  ;1  x  ;975.617,00  ;22  x  ;27.716,30  ;792  x  ;2.001,70  ;2.280  x  ;106,90  ;39.911  x  ;30,50  ;59.608  x  ;16,30  ;684.254  x  ;7,80  ;;;;;;
;24.03.;SA;25;32;29;28;24;1;44;4;59.620.854,00  ;JP;4.200.563,90  ;3  x  ;794.944,70  ;20  x  ;74.526,00  ;805  x  ;4.814,10  ;1.749  x  ;340,80  ;51.097  x  ;58,30  ;67.123  x  ;35,50  ;1.118.932  x  ;11,70  ;;;;;;
13.;28.03.;MI;3;41;27;15;11;26;17;0;25.639.214,25  ;JP;5.482.524,60  ;2  x  ;512.784,20  ;27  x  ;23.740,00  ;729  x  ;2.286,00  ;2.105  x  ;121,80  ;37.474  x  ;34,20  ;57.537  x  ;17,80  ;621.630  x  ;9,00  ;;;;;;
;31.03.;SA;15;2;28;31;35;33;17;8;62.902.219,50  ;JP;8.627.635,50  ;5  x  ;503.217,70  ;14  x  ;112.325,30  ;923  x  ;4.429,70  ;3.816  x  ;164,80  ;59.713  x  ;52,60  ;111.705  x  ;22,50  ;1.186.140  x  ;11,60  ;;;;;;
14.;04.04.;MI;3;43;7;31;21;5;1;4;31.520.615,25  ;JP;10.203.666,20  ;4  x  ;315.206,10  ;32  x  ;24.625,40  ;1.185  x  ;1.728,90  ;3.380  x  ;93,20  ;52.266  x  ;30,10  ;84.016  x  ;15,00  ;819.628  x  ;8,40  ;;;;;;
;07.04.;SA;33;17;8;6;49;29;5;9;69.117.504,00  ;2  x  ;6.829.770,70  ;16  x  ;172.793,70  ;42  x  ;41.141,30  ;1.997  x  ;2.249,60  ;4.953  x  ;139,50  ;90.601  x  ;38,10  ;131.155  x  ;21,00  ;1.575.953  x  ;9,60  ;;;;;;
15.;11.04.;MI;17;10;15;7;22;47;23;0;23.923.572,00  ;JP;1.196.178,60  ;2  x  ;478.471,40  ;4  x  ;149.522,30  ;411  x  ;3.783,50  ;1.173  x  ;203,90  ;26.341  x  ;45,40  ;36.512  x  ;26,20  ;522.757  x  ;10,00  ;;;;;;
;14.04.;SA;49;41;44;45;34;37;19;5;58.977.237,00  ;1  x  ;4.145.040,40  ;10  x  ;235.908,90  ;22  x  ;67.019,50  ;1.751  x  ;2.189,30  ;2.405  x  ;245,20  ;70.975  x  ;41,50  ;83.436  x  ;28,20  ;1.105.578  x  ;11,70  ;;;;;;
16.;18.04.;MI;31;14;22;39;45;37;40;6;23.607.609,75  ;JP;1.180.380,40  ;JP;944.304,30  ;7  x  ;84.312,80  ;402  x  ;3.817,10  ;1.102  x  ;214,20  ;23.225  x  ;50,80  ;33.730  x  ;27,90  ;432.416  x  ;12,00  ;;;;;;
;21.04.;SA;3;13;1;6;19;46;9;6;58.530.566,25  ;4  x  ;1.026.727,10  ;12  x  ;273.793,90  ;116  x  ;12.614,30  ;2.010  x  ;1.892,70  ;10.088  x  ;58,00  ;94.031  x  ;31,10  ;193.886  x  ;12,00  ;1.519.920  x  ;8,40  ;;;;;;
17.;25.04.;MI;13;36;42;43;34;7;14;5;23.033.513,25  ;1  x  ;1.151.675,60  ;2  x  ;460.670,20  ;14  x  ;41.131,20  ;400  x  ;3.742,90  ;1.157  x  ;199,00  ;25.194  x  ;45,70  ;31.524  x  ;29,20  ;463.666  x  ;10,90  ;;;;;;
;28.04.;SA;30;15;19;39;37;8;16;5;56.433.376,50  ;1  x  ;2.821.668,80  ;3  x  ;752.445,00  ;15  x  ;94.055,60  ;979  x  ;3.746,80  ;2.276  x  ;247,90  ;57.396  x  ;49,10  ;74.752  x  ;30,10  ;1.121.718  x  ;11,00  ;;;;;;
