Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;       Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;  6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1997;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
19.;10.05.;47 ;19 ;11 ;1 ;49 ;8 ;37 ;8 ;123.779.377,50 ;3  x;825.195,80  ;17  x  ;436.868,30 ;56  x;66.310,30 ;3.198  x     ;3.870,50 ;126.341  x    ;97,90 ;127.911  x  ;67,70 ;1.871.282  x;7,90  
20.;17.05.;3 ;49 ;35 ;4 ;29 ;38 ;16 ;8 ;124.438.833,75 ;JP;2.488.776,60  ;2  x  ;3.733.165,00 ;25  x;149.326,60 ;827  x     ;15.047,00 ;64.981  x    ;191,50 ;109.892  x  ;79,20 ;1.403.283  x;10,60  
21.;24.05.;46 ;26 ;14 ;23 ;6 ;8 ;22 ;0 ;122.765.722,50 ;JP;4.944.091,00  ;8  x  ;920.742,90 ;19  x;193.840,60 ;1.522  x     ;8.066,00 ;86.593  x    ;141,70 ;94.200  x  ;91,20 ;1.532.442  x;9,60  
22.;31.05.;32 ;2 ;26 ;10 ;15 ;37 ;8 ;2 ;123.824.578,75 ;1  x;7.420.582,50  ;10  x  ;742.947,40 ;56  x;66.334,50 ;2.466  x     ;5.021,20 ;116.178  x    ;106,50 ;134.325  x  ;64,50 ;1.821.083  x;8,10  
23.;07.06.;47 ;4 ;41 ;45 ;9 ;14 ;3 ;4 ;123.177.523,75 ;1  x;3.284.733,90  ;2  x  ;3.284.733,90 ;14  x;263.951,80 ;1.107  x     ;11.127,10 ;68.862  x    ;178,80 ;93.901  x  ;91,80 ;1.387.040  x;10,60  
24.;14.06.;9 ;16 ;37 ;44 ;29 ;17 ;5 ;4 ;126.318.142,50 ;1  x;2.526.362,80  ;4  x  ;1.894.772,10 ;51  x;74.304,70 ;1.891  x     ;6.679,90 ;95.122  x    ;132,70 ;137.707  x  ;64,20 ;1.558.998  x;9,70  
25.;21.06.;27 ;43 ;15 ;18 ;29 ;2 ;17 ;0 ;123.541.175,00 ;JP;2.470.823,50  ;4  x  ;1.853.117,60 ;20  x;185.311,70 ;1.536  x     ;8.043,00 ;78.936  x    ;156,50 ;101.587  x  ;85,10 ;1.434.513  x;10,30  
26.;28.06.;13 ;30 ;29 ;27 ;47 ;4 ;38 ;1 ;124.843.271,25 ;1  x;4.967.688,90  ;3  x  ;2.496.865,40 ;33  x;113.493,80 ;1.552  x     ;8.044,00 ;87.927  x    ;141,90 ;120.194  x  ;72,70 ;1.532.635  x;9,70  
27.;05.07.;36 ;14 ;26 ;3 ;46 ;23 ;38 ;6 ;125.812.777,50 ;1  x;2.516.255,50  ;14  x  ;539.197,60 ;49  x;77.028,20 ;2.367  x     ;5.315,20 ;108.118  x    ;116,30 ;135.466  x  ;65,00 ;1.596.541  x;9,40  
28.;12.07.;15 ;47 ;29 ;6 ;30 ;38 ;34 ;1 ;122.963.525,00 ;JP;2.459.270,50  ;3  x  ;2.459.270,50 ;25  x;147.556,20 ;1.224  x     ;10.046,00 ;69.611  x    ;176,60 ;96.167  x  ;89,50 ;1.294.535  x;11,30  
29.;19.07.;8 ;45 ;11 ;18 ;10 ;23 ;36 ;1 ;124.042.641,25 ;JP;4.940.123,30  ;3  x  ;2.480.852,80 ;28  x;132.902,80 ;1.353  x     ;9.167,90 ;89.821  x    ;138,00 ;109.228  x  ;79,40 ;1.670.516  x;8,90  
30.;26.07.;4 ;6 ;15 ;25 ;35 ;49 ;21 ;0 ;124.553.350,00 ;JP;7.431.190,30  ;4  x  ;1.868.300,20 ;37  x;100.989,20 ;1.843  x     ;6.758,10 ;92.916  x    ;134,00 ;116.099  x  ;75,00 ;1.499.561  x;9,90  
31.;02.08.;33 ;3 ;26 ;21 ;8 ;42 ;41 ;7 ;131.183.748,75 ;1  x;10.054.865,20  ;15  x  ;524.734,90 ;38  x;103.566,10 ;2.521  x     ;5.203,60 ;120.217  x    ;109,10 ;113.377  x  ;80,90 ;1.898.761  x;8,20  
32.;09.08.;16 ;30 ;12 ;39 ;10 ;42 ;31 ;8 ;122.848.938,75 ;1  x;2.456.978,70  ;3  x  ;2.456.978,70 ;40  x;92.136,70 ;1.901  x     ;6.462,30 ;100.055  x    ;122,70 ;123.261  x  ;69,70 ;1.698.088  x;8,60  
33.;16.08.;48 ;14 ;39 ;43 ;45 ;40 ;29 ;3 ;121.474.071,25 ;JP;2.429.481,40  ;4  x  ;1.822.111,00 ;18  x;202.456,70 ;1.576  x     ;7.707,70 ;71.083  x    ;170,80 ;81.724  x  ;104,00 ;1.234.031  x;11,80  
34.;23.08.;11 ;45 ;6 ;27 ;24 ;31 ;9 ;6 ;122.508.278,75 ;JP;4.879.646,90  ;9  x  ;816.721,80 ;63  x;58.337,20 ;2.345  x     ;5.224,20 ;116.273  x    ;105,30 ;177.463  x  ;48,30 ;1.769.446  x;8,30  
35.;30.08.;29 ;49 ;8 ;13 ;18 ;35 ;41 ;9 ;126.420.588,75 ;JP;7.408.058,60  ;9  x  ;842.803,90 ;64  x;59.259,60 ;1.791  x     ;7.058,60 ;89.498  x    ;141,20 ;105.512  x  ;83,80 ;1.537.673  x;9,80  
36.;06.09.;47 ;44 ;7 ;24 ;15 ;6 ;19 ;8 ;137.855.360,75 ;1  x;10.165.165,80  ;6  x  ;1.378.553,60 ;39  x;106.042,50 ;1.595  x     ;8.642,90 ;93.414  x    ;147,50 ;167.753  x  ;57,50 ;1.671.116  x;9,80  
37.;13.09.;35 ;37 ;44 ;16 ;36 ;10 ;28 ;0 ;127.271.645,00 ;1  x;2.545.432,90  ;3  x  ;2.545.432,90 ;24  x;159.089,50 ;1.002  x     ;12.701,70 ;67.304  x    ;189,00 ;100.306  x  ;88,80 ;1.347.798  x;11,30  
38.;20.09.;37 ;12 ;36 ;6 ;48 ;16 ;31 ;3 ;126.147.650,00 ;JP;2.522.953,00  ;4  x  ;1.892.214,70 ;29  x;130.497,50 ;1.627  x     ;7.753,30 ;96.822  x    ;130,20 ;117.729  x  ;75,00 ;1.609.426  x;9,40  
39.;27.09.;11 ;34 ;40 ;43 ;15 ;16 ;38 ;5 ;126.294.263,75 ;JP;5.048.838,20  ;2  x  ;3.788.827,90 ;18  x;210.490,40 ;1.071  x     ;11.792,10 ;67.848  x    ;186,10 ;100.828  x  ;87,60 ;1.315.265  x;11,50  
40.;04.10.;38 ;9 ;13 ;23 ;40 ;27 ;29 ;8 ;124.833.436,25 ;10  x;879.384,10  ;124  x  ;53.982,00 ;61  x;53.982,00 ;4.259  x     ;2.931,00 ;148.239  x    ;84,20 ;121.400  x  ;71,90 ;1.983.716  x;7,50  
41.;11.10.;5 ;6 ;32 ;29 ;30 ;45 ;13 ;2 ;130.020.293,75 ;1  x;3.900.608,80  ;4  x  ;1.625.253,60 ;32  x;121.894,00 ;1.020  x     ;12.747,00 ;71.559  x    ;181,60 ;115.433  x  ;78,80 ;1.518.568  x;10,20  
42.;18.10.;10 ;42 ;30 ;29 ;2 ;25 ;43 ;4 ;131.468.231,25 ;JP;3.944.046,90  ;5  x  ;1.314.682,30 ;34  x;116.001,30 ;1.657  x     ;7.934,10 ;96.851  x    ;135,70 ;95.339  x  ;96,50 ;1.771.681  x;8,90  
43.;25.10.;16 ;48 ;47 ;46 ;21 ;31 ;41 ;2 ;127.958.913,75 ;JP;7.782.814,30  ;1  x  ;6.397.945,60 ;27  x;142.176,50 ;1.240  x     ;10.319,20 ;75.165  x    ;170,20 ;120.894  x  ;74,00 ;1.463.833  x;10,40  
44.;01.11.;28 ;33 ;49 ;9 ;18 ;4 ;40 ;5 ;132.858.081,25 ;JP;11.768.556,70  ;11  x  ;603.900,30 ;61  x;65.340,00 ;2.579  x     ;5.151,50 ;127.878  x    ;103,80 ;134.560  x  ;69,10 ;2.090.099  x;7,60  
45.;08.11.;28 ;27 ;15 ;32 ;1 ;26 ;25 ;7 ;145.763.872,50 ;1  x;16.141.472,80  ;1  x  ;7.288.193,60 ;18  x;242.939,70 ;985  x     ;14.798,30 ;76.640  x    ;190,10 ;116.259  x  ;87,70 ;1.600.558  x;10,90  
46.;15.11.;43 ;11 ;12 ;10 ;35 ;7 ;2 ;9 ;132.951.135,00 ;JP;3.988.534,00  ;3  x  ;2.215.852,20 ;34  x;117.309,80 ;1.394  x     ;9.537,30 ;101.701  x    ;130,70 ;152.957  x  ;60,80 ;1.820.985  x;8,70  
47.;22.11.;47 ;10 ;36 ;33 ;39 ;48 ;20 ;4 ;131.670.710,00 ;JP;7.938.655,30  ;2  x  ;3.291.767,70 ;28  x;141.075,70 ;1.195  x     ;11.018,40 ;83.566  x    ;157,50 ;116.340  x  ;79,20 ;1.563.847  x;10,10  
48.;29.11.;36 ;1 ;11 ;14 ;48 ;16 ;3 ;1 ;138.222.683,75 ;1  x;12.085.335,80  ;5  x  ;1.382.226,80 ;24  x;172.778,30 ;1.071  x     ;12.905,90 ;71.848  x    ;192,30 ;117.432  x  ;82,30 ;1.369.949  x;12,10  
49.;06.12.;40 ;15 ;13 ;34 ;1 ;49 ;41 ;5 ;144.494.462,50 ;1  x;4.334.833,80  ;5  x  ;1.444.944,60 ;32  x;135.463,50 ;1.379  x     ;10.478,20 ;81.057  x    ;178,20 ;93.042  x  ;108,70 ;1.563.799  x;11,00  
50.;13.12.;9 ;23 ;22 ;40 ;3 ;41 ;6 ;3 ;134.702.907,50 ;1  x;4.041.087,20  ;12  x  ;561.262,10 ;70  x;57.727,30 ;1.921  x     ;7.011,80 ;105.422  x    ;127,70 ;153.018  x  ;61,60 ;1.891.167  x;8,50  
51.;20.12.;14 ;35 ;34 ;39 ;19 ;42 ;17 ;6 ;138.267.872,50 ;JP;4.148.036,10  ;3  x  ;2.304.464,50 ;55  x;75.418,80 ;1.182  x     ;11.697,70 ;80.925  x    ;170,80 ;133.504  x  ;72,40 ;1.627.062  x;10,10  
52.;27.12.;4 ;47 ;17 ;42 ;41 ;12 ;22 ;2 ;129.288.561,25 ;JP;8.026.692,90  ;3  x  ;2.154.809,30 ;34  x;114.078,10 ;1.598  x     ;8.090,60 ;94.739  x    ;136,40 ;114.094  x  ;79,30 ;1.732.239  x;8,90  
