Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	18	4	2015	5	44	3	17	39	14	 	7	54105552	19180236,3	Jackpot	1445806,5	2	10264	94	3163,3	915	160,2	6021	42,1	45773	16,9	113853	9,9	872606	5	858726
Mi	22	4	2015	34	21	11	22	35	4	 	7	29333316	21057568,5	Jackpot	535830,7	2	9238,4	58	3580,1	449	187,1	2863	43,5	24628	19,7	54335	10,7	448181	5	414542
Sa	25	4	2015	3	1	36	7	11	23	 	6	57265834	24722581,8	Jackpot	412478,3	5	5574	185	1835,9	1685	111	9282	24,8	83127	14,9	137691	7,7	1199722	5	868797
Mi	29	4	2015	43	38	41	7	20	9	 	6	32330457	26791731	Jackpot	587344,7	2	9473,3	62	2874,4	613	175,4	3347	41,7	28140	19,2	60980	10,2	518008	5	469837
Sa	2	5	2015	3	18	45	9	6	7	 	9	60678107	15337564,9	2	547202,1	4	5162,2	212	2105,9	1559	105,8	10341	24	90884	14,7	148392	7,2	1360024	5	913514
Mi	6	5	2015	38	6	26	2	40	43	 	7	22932042	1467650,6	Jackpot	831800	1	8487,7	49	3058	408	122,1	3406	28,6	29046	17,7	46766	9,7	384129	5	336074
Sa	9	5	2015	7	29	35	14	41	13	 	3	49910569	4661927	Jackpot	1846918,8	Jackpot	9520,2	97	4015	690	197,4	4677	48	38404	21,3	86460	11,3	729236	5	658364
Mi	13	5	2015	39	20	49	3	7	27	 	1	23941182	6194162,6	Jackpot	2738785,3	1	11735	38	2940,2	455	193	2310	36,4	24488	21,4	41502	9,1	439572	5	303938
Sa	16	5	2015	34	16	15	47	14	40	 	5	49439855	9358313,3	Jackpot	612137,7	3	15303,4	60	6973,7	395	277,2	3312	74,3	24696	25,9	70815	15,2	540517	5	638329
Mi	20	5	2015	33	38	26	2	11	30	 	7	24778945	10944165,7	Jackpot	876309,5	Jackpot	7426,3	59	2870	458	129,4	3385	33,6	26038	14,9	58723	8,6	455110	5	408105
Sa	23	5	2015	28	46	4	6	14	27	 	0	51835715	14261651,4	1	959509,2	3	15890,6	63	4218,1	712	286,5	3494	48,1	41557	29,8	66977	11,2	798387	5	515638
Mi	27	5	2015	4	11	14	29	8	12	 	2	21136219	1352718	Jackpot	196492,2	4	7705,5	51	1871,3	630	150,1	2617	29,3	26746	19,6	39959	8,8	397447	5	271140
Sa	30	5	2015	31	3	24	2	44	11	 	0	48241441	4440170,2	Jackpot	457745	4	13267,9	69	3281,3	837	223,7	4092	36,2	50499	23,8	76634	8,7	936962	5	544693
Mi	3	6	2015	48	20	37	23	8	24	 	6	23059778	5915995,9	Jackpot	846698,3	1	10855,1	39	3932	323	204,3	2072	52	16256	20,8	40649	11,4	332038	5	317416
Sa	6	6	2015	15	22	29	48	41	16	 	0	48133445	8996536,3	Jackpot	1898214,7	1	24336	39	6230,4	457	450,4	2107	73	25979	42,5	44574	15,9	535953	5	400807
Mi	10	6	2015	45	34	12	2	40	22	 	0	23956413	10529746,7	Jackpot	465150	2	12240,7	38	3354,4	416	290,5	1601	49	18957	32	29054	12,1	345919	5	228399
Sa	13	6	2015	43	5	4	26	1	18	 	0	50316729	13750017,3	Jackpot	1931186,3	Jackpot	13994,1	69	4045,7	716	252,9	3818	43,6	44265	26,6	72337	10,1	852784	5	525246
Mi	17	6	2015	12	15	48	8	37	41	 	2	25721124	15396169,2	Jackpot	1455138,1	2	12552,4	39	4256,9	345	267,2	1832	53,8	18196	28,6	34124	12,6	349265	5	284702
Sa	20	6	2015	6	21	32	38	16	35	 	4	52648633	18765681,7	Jackpot	195679,1	10	8658,3	113	2949,9	995	180,6	5416	39,3	49773	20,1	97283	9,9	885788	5	677378
Mi	24	6	2015	33	16	20	31	45	42	 	3	28797070	20608694,1	Jackpot	176458	6	6378	83	2646,8	600	162,7	3252	40,7	26013	20,4	51709	11,1	428520	5	393608
Sa	27	6	2015	41	33	29	19	3	28	 	7	54751714	24112803,7	Jackpot	646976,9	3	7083,6	137	3178,3	916	147,8	6564	39,7	48811	16	120639	9,6	908770	5	892488
Mi	1	7	2015	42	11	35	41	10	37	 	2	30217153	26046701,4	Jackpot	1140435,3	Jackpot	16291,9	35	4635,9	369	283,1	2014	54,8	20804	26,1	43559	11,8	434690	5	354065
Sa	4	7	2015	47	17	42	14	32	18	 	1	56834052	29684080,7	Jackpot	1096004,6	3	11799,8	91	3706,9	869	241,8	4440	44,3	48474	25	85795	10,8	894081	5	660772
Mi	8	7	2015	13	33	5	38	12	39	 	4	41253884	33832008,6	1	0	Jackpot	14496,9	52	3919,4	577	200	3769	42,4	35521	19,9	75736	9,5	707312	5	581980
Sa	11	7	2015	30	19	11	42	20	35	 	9	49424535	1581585,1	2	460493,9	4	10835,1	85	4378,7	631	229,2	4018	48,9	37614	23,1	79731	11	746831	5	625868
Mi	15	7	2015	43	18	34	48	45	9	 	2	25044733	1602862,9	Jackpot	949364,8	1	8956,2	53	3288,7	433	222,2	2136	43,8	21674	24,3	38935	10,9	389405	5	285171
Sa	18	7	2015	17	18	31	30	5	42	 	6	47255182	4627194,5	1	341383,5	5	7976,2	107	2963,3	864	166,7	5118	38,8	43956	18	94774	9,5	806242	5	706816
Mi	22	7	2015	43	22	18	33	20	19	 	7	21246700	1359788,8	Jackpot	769667,1	Jackpot	22637,2	17	7126,5	162	240,6	1599	58,4	13170	20,9	36678	12	286987	5	313378
Sa	25	7	2015	30	46	41	4	47	17	 	6	46874174	4359735,9	Jackpot	622427,2	4	8349,7	103	3042,5	848	169,7	5066	41,2	41742	19,6	87636	10,4	741551	5	647344
Mi	29	7	2015	44	30	37	25	18	39	 	5	22590842	5805549,7	Jackpot	406145,8	2	8829,2	46	3868	315	170,7	2379	46,6	17408	17,7	45665	10,6	341941	5	345338
Sa	1	8	2015	36	20	31	16	7	4	 	4	49123172	8949432,7	Jackpot	304241,4	6	8006,3	114	2451,3	1117	172,3	5297	37,6	48438	20,7	87799	10	814731	5	632643
Mi	5	8	2015	7	15	10	38	35	39	 	1	24564221	10521542,8	Jackpot	929091	Jackpot	13663,1	34	4660,9	299	271,6	1710	50,8	18265	26,3	35261	11,3	369391	5	283818
Sa	8	8	2015	42	13	29	48	36	7	 	0	50351080	13744011,9	1	575749,8	5	14997,3	65	3217,2	909	289,1	3371	48,5	40152	31,6	61647	12,2	716417	5	491298
Mi	12	8	2015	45	10	6	15	28	24	 	9	21409967	1370237,8	Jackpot	801964,5	1	15422,3	26	3417,4	352	216,8	1849	41,6	19253	22,6	35463	10,3	348715	5	263020
