Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	26	3	2016	31	1	41	40	3	33	 	5	49351753	3158512,1	Jackpot	882184,7	2	9588,9	92	3886,2	681	174	5068	43,1	40872	17,2	102485	9,7	813007	5	774734
Mi	30	3	2016	13	5	1	41	9	26	 	1	21347637	5319643,8	1	0	Jackpot	6736,2	59	2375,1	502	152,1	2613	30,4	26140	19	41764	8,3	426025	5	271748
Sa	2	4	2016	38	1	23	28	17	10	 	6	46620510	2983712,6	Jackpot	424412,3	4	11023,6	77	3795	671	183,7	4619	40,7	41681	18,8	90093	9,7	786564	5	670010
Mi	6	4	2016	6	30	33	42	25	19	 	4	22129886	4400025,3	Jackpot	813329	1	8299,2	49	2890,9	422	157,9	2575	34,5	23533	18,8	43036	8,9	407464	5	303068
Sa	9	4	2016	1	4	47	39	38	46	 	2	47714308	7453741	Jackpot	599822,9	3	24317,1	37	6262,6	431	333,2	2700	69,3	25962	28,9	62219	13,6	591681	5	561750
Mi	13	4	2016	13	17	49	36	2	35	 	7	23152933	8935528,7	Jackpot	840980,3	1	11364,5	37	3573,5	353	178,8	2351	48,6	17275	19,6	42818	11,8	319432	5	336975
Sa	16	4	2016	38	20	15	22	5	14	 	9	49556228	12107127,2	Jackpot	936925	2	17677,8	53	5214,7	539	266,2	3519	57,7	32449	25,8	72366	12,6	664166	5	573603
Mi	20	4	2016	1	49	20	13	5	11	 	8	24937704	13703140,2	Jackpot	453139,4	2	6041,8	75	2008	677	136,7	3313	31	29173	16,6	54344	8,9	454678	5	362010
Sa	23	4	2016	15	8	27	17	35	16	 	4	51402867	16992923,6	Jackpot	1931392,5	Jackpot	17883,2	54	5405	536	278,2	3470	57,8	33391	25,9	74402	12,3	703303	5	619545
Mi	27	4	2016	6	1	21	37	26	9	 	6	27400202	18746536,5	Jackpot	1459126,1	2	10069,9	49	3458,6	428	151,4	3258	37,7	26120	16,7	59039	9,4	472377	5	415578
Sa	30	4	2016	43	36	30	28	14	26	 	6	55825733	22319383,4	Jackpot	1053037,7	2	16984,4	62	5927	533	289,6	3635	65,6	32088	27,5	76424	14,2	666057	5	655853
Mi	4	5	2016	11	35	2	39	49	14	 	5	31057492	24307062,8	Jackpot	1134447,1	1	10908,1	52	4308	395	201,6	2813	51,7	21928	20,8	54519	11,8	429792	5	439319
Sa	7	5	2016	16	34	42	44	32	37	 	9	54793102	27813821,3	Jackpot	412427	5	11851,3	87	3436,8	900	193,9	5315	41,6	49511	22,6	91202	10,8	852934	5	653688
Mi	11	5	2016	20	41	39	10	31	19	 	5	37257737	30198316,4	Jackpot	148486,3	9	4514,7	148	1842,4	1088	124	5388	29,5	45290	15,7	84856	8,7	689735	5	576120
Sa	14	5	2016	15	5	13	30	44	26	 	9	67508350	0	Jackpot	37050634,8	1	10637,7	119	3172,6	1197	205,2	6168	43,2	58552	23,1	109455	10,8	1050061	5	823160
Mi	18	5	2016	41	31	10	19	13	26	 	4	22735942	1455100,2	1	207535,8	4	3953	105	1162,6	1071	106,6	3893	22,3	37069	15,9	51981	7,5	494237	5	322287
Sa	21	5	2016	48	5	46	47	2	29	 	4	46826177	2996875,3	Jackpot	1780180,8	Jackpot	15615,6	57	5645,3	473	313,7	2837	61,8	28770	28,6	62058	13,1	608395	5	522881
Mi	25	5	2016	30	10	36	21	6	9	 	6	23120152	4476565	Jackpot	870958,4	3	8326,9	50	2794,2	447	152,7	2725	38,9	21357	16,4	50720	9,4	394983	5	350688
Sa	28	5	2016	9	17	5	45	39	24	 	3	47349893	7506958,1	Jackpot	281999,4	6	6661,4	127	2203,1	1152	131,4	6438	30,6	55193	15,5	108815	8,2	923960	5	744917
Mi	1	6	2016	25	35	30	40	46	19	 	2	24449861	4535874,6	2	184074,6	5	7190,4	64	2439,1	566	189,4	2429	37,4	24559	23,1	39834	10,5	392754	5	291281
Sa	4	6	2016	6	22	35	42	31	5	 	3	47099277	3014353,7	Jackpot	582987,8	3	15341,7	57	5225,9	502	255,9	3416	55,4	31569	24	72694	12	652674	5	609130
Mi	8	6	2016	48	44	30	2	5	33	 	6	22437310	4450341,5	Jackpot	117536,6	7	10548,1	39	3536,2	349	186,9	2200	44,7	18374	21	39098	11	336042	5	311021
Sa	11	6	2016	45	6	13	27	21	38	 	5	47401782	7484055,5	Jackpot	427172,4	4	8899,4	96	3087,9	830	175,3	4871	47	36291	18,9	90076	11	692996	5	716056
Mi	15	6	2016	7	12	33	48	49	13	 	7	23606663	8994881,9	1	409242,2	2	5180,2	79	2674,7	459	106,7	3832	33,4	24491	13,1	62215	8,7	420065	5	421532
Sa	18	6	2016	8	27	2	17	12	19	 	1	46825196	2996812,5	1	172988,7	10	4886,6	177	1598,7	1623	133,4	6481	25	69153	17,8	96875	7,5	1036149	5	623383
Mi	22	6	2016	35	43	19	8	41	40	 	8	21794295	1394834,8	Jackpot	805917,7	1	12998,6	31	5729,2	211	222,2	1813	54,2	14844	22	36539	12,1	299329	5	288627
Sa	25	6	2016	10	34	11	6	44	2	 	3	44926317	4270119	Jackpot	543739,6	3	10592,3	77	3696,1	662	168,6	4835	38	42891	17,7	92007	9	812457	5	655137
Mi	29	6	2016	44	49	4	5	32	28	 	4	21912232	5672501,8	Jackpot	808571,8	1	13476,1	30	4508,7	269	211,2	1914	49,7	16239	21,6	37405	11,2	324244	5	293603
Sa	2	7	2016	30	15	26	6	8	4	 	9	47842551	8734425	Jackpot	294215,7	6	6259,9	141	2094,8	1264	150,3	5869	32,3	54554	18,9	93205	9,2	857080	5	641282
Mi	6	7	2016	16	38	42	4	37	18	 	0	24036223	10272743,2	Jackpot	454460,9	2	11084,4	41	4021,7	339	209,8	2166	45,1	20131	23,3	38978	10,7	380448	5	278115
Sa	9	7	2016	44	34	1	49	37	40	 	7	49029883	13410655,7	Jackpot	1805075,8	1	16116,7	56	5393,6	502	241,3	3739	60	30076	22	81757	12,9	626820	5	665254
Mi	13	7	2016	33	27	14	20	41	10	 	7	25562217	15046637,5	Jackpot	921672,1	1	9600,7	48	3572,3	387	181,5	2539	45,4	20295	18,4	49947	10,4	398404	5	385681
Sa	16	7	2016	18	22	34	44	30	1	 	5	50959154	18308023,3	Jackpot	935253,5	2	12638,5	74	4755,5	590	217,5	4300	54,3	34433	21,2	87975	12,5	671562	5	702624
Mi	20	7	2016	18	28	40	1	20	49	 	5	27242397	20051536,7	Jackpot	1004092,5	Jackpot	11156,5	45	4092,7	368	171,9	2919	40,8	24575	21,2	47150	11,6	386344	5	367352
Sa	23	7	2016	47	25	29	48	5	43	 	5	52870347	23435238,9	Jackpot	978648	3	13053	74	5307,2	546	203	4758	54,8	35208	20,8	92809	12,2	712448	5	746591
Mi	27	7	2016	39	5	18	6	17	7	 	1	29328817	25312283,1	Jackpot	180221,8	6	6758,3	80	2185,9	742	169,7	3186	33,7	32010	19,4	55479	8,3	581915	5	394811
Sa	30	7	2016	33	6	30	23	13	26	 	2	56558944	28932055,5	1	695173,4	3	8912,4	117	3066,9	1020	188,8	5521	36,1	57713	19,6	106162	8,9	1052483	5	760899
Mi	3	8	2016	34	26	42	43	21	15	 	6	22416841	1434677,8	Jackpot	278521,9	3	13926	30	5545,7	226	246,9	1692	64,3	12994	24,5	33993	13,9	269473	5	283617
Sa	6	8	2016	33	26	45	6	47	25	 	0	46702451	4423634,6	Jackpot	1790049,3	Jackpot	18265,8	49	4248,5	632	291,4	3071	46,1	38811	28,4	62894	10,5	764527	5	492355
Mi	10	8	2016	11	23	12	49	17	43	 	9	23043949	5898447,3	Jackpot	2637241,9	1	15128,4	28	4458,9	285	212	1998	45,3	18677	20,7	40796	10	380481	5	315047
Sa	13	8	2016	6	30	28	39	14	37	 	2	47651515	8948144,2	Jackpot	904105,7	2	18835,5	48	5468,3	496	279,3	3236	58,7	30753	27,9	64810	12,6	641019	5	538789
Mi	17	8	2016	41	2	30	34	10	49	 	1	23929255	10479616,5	Jackpot	302989,5	3	28405,2	16	4260,7	320	261,7	1736	49,2	18444	26	34925	10,9	372260	5	268694
Sa	20	8	2016	23	30	31	45	28	37	 	5	48865483	13607007,4	Jackpot	893191,7	2	13533,2	66	5941,4	451	254,1	3515	64,9	27485	22,7	78577	13,4	599875	5	688303
Mi	24	8	2016	42	48	16	14	6	35	 	2	24972216	15205229,2	Jackpot	954275,6	Jackpot	19880,7	24	4902,1	292	303,7	1571	59,3	16072	29	32796	12,9	331949	5	269026
Sa	27	8	2016	8	33	32	43	22	1	 	9	49805391	18392774,2	Jackpot	943193,8	3	12502	75	4808,4	585	249,2	3762	52,8	35516	25,4	73801	12,1	693087	5	592418
Mi	31	8	2016	7	31	41	37	40	3	 	3	27576440	20157666,3	Jackpot	974366,7	1	8257,3	59	2976,6	491	140,7	3462	36,4	26705	15,1	64485	8,7	502185	5	455932
Sa	3	9	2016	30	8	25	14	36	18	 	1	53623159	23589548,4	Jackpot	513732,3	4	15335,2	67	4131,8	746	281,8	3646	51,3	39989	28,7	71465	12	769553	5	566081
Mi	7	9	2016	21	27	7	11	19	18	 	0	29234759	25460572,9	Jackpot	274419,8	4	7622,7	72	2163,6	761	180,2	3045	30,3	36116	21,5	50828	8,1	604992	5	353912
Sa	10	9	2016	6	1	24	43	11	3	 	0	55130708	28988938,2	Jackpot	1047052,9	2	9026,3	116	1870,8	1679	179,3	5837	29,9	69822	21,8	95837	8,2	1141099	5	619186
Mi	14	9	2016	31	35	20	3	2	15	 	8	37380728	0	Jackpot	32759747,4	1	14065,7	49	3999,3	517	211,4	3260	47,7	28866	21,7	63376	11,4	541211	5	502714
Sa	17	9	2016	3	46	35	47	37	34	 	2	48174962	3083197,5	1	1834270,3	1	18342,7	50	5067	543	264,2	3471	52	35211	26,3	69513	11,8	694258	5	532316
Mi	21	9	2016	29	24	11	18	1	8	 	5	21819426	1396443,2	Jackpot	156005,6	5	7959,4	49	2195,2	533	131	2977	34	22925	16,2	48011	9,2	380073	5	342597
Sa	24	9	2016	45	21	32	15	18	4	 	4	46068013	4344796	1	245823,8	7	4280,5	201	1325	1948	175,6	4897	40,3	42663	21,3	80676	10,8	714150	5	575597
Mi	28	9	2016	41	44	11	15	38	46	 	2	21043752	1346800,1	Jackpot	801519,5	Jackpot	14312,8	28	5159,9	233	287,9	1392	55,2	14503	27,9	28696	12,2	293896	5	231976
Sa	1	10	2016	20	34	25	37	7	26	 	1	47013474	4355662,4	Jackpot	2574987,4	Jackpot	18473,6	48	4570,7	582	243,3	3644	45,5	38921	24,1	73291	10,1	784811	5	552639
Mi	5	10	2016	17	6	1	28	41	5	 	1	22335141	5785111,4	Jackpot	3414858,5	1	11664,8	36	3043	414	200,6	2093	38,4	21870	21,2	39607	9,1	414017	5	267882
Sa	8	10	2016	35	48	14	33	32	21	 	5	47879561	8849403,3	Jackpot	583719,9	3	13470,4	65	5160,5	509	198,6	4408	52	33651	19,4	89878	11,5	682079	5	672778
Mi	12	10	2016	29	35	47	39	37	22	 	2	24115282	10392781,3	Jackpot	926343,7	1	21053,2	22	4526,1	307	254,9	1817	51,7	17911	28,7	32167	12,8	323925	5	250165
Sa	15	10	2016	29	41	13	7	38	19	 	9	49614190	13568089,4	1	302239,6	6	6430,6	141	2060,7	1320	138	6567	31,2	57955	17,5	103161	8,7	937195	5	699482
Mi	19	10	2016	33	42	16	40	43	32	 	5	21404798	1369907	Jackpot	779927,6	1	12998,7	30	3610,7	324	180,7	2157	45,8	16997	18,5	42074	10,8	324110	5	306643
Sa	22	10	2016	48	2	32	21	36	26	 	7	45935463	4309776,6	Jackpot	119239,3	14	5601,8	149	1974,7	1268	154	5419	39,8	41941	19,5	85497	11,4	654714	5	666870
Mi	26	10	2016	43	11	18	44	45	15	 	6	22068637	5722169,3	Jackpot	815357	1	15099,2	27	5364,1	228	254,6	1601	65,2	12504	24,2	33632	13,5	271468	5	293671
Sa	29	10	2016	28	36	8	5	7	26	 	8	47475454	8760598,3	1	854903,8	2	8549	100	3592	714	161	5308	40,9	41727	17,3	98791	9,8	782280	5	720244
Mi	2	11	2016	19	30	1	26	48	12	 	6	21111018	1351105,1	Jackpot	764208,3	1	7076	54	3229	355	162	2358	38,8	19681	18	42398	9,6	357623	5	312464
Sa	5	11	2016	38	42	9	43	32	35	 	8	46343995	4317120,7	Jackpot	1710547,6	1	12218,1	70	4525,2	567	198,1	4316	48,4	35323	21,1	80958	11,1	692296	5	620101
Mi	9	11	2016	39	20	33	6	41	13	 	5	22218603	5739111,2	Jackpot	793084	1	6721	59	3277,2	363	149,1	2659	41,2	19249	17,4	45391	10,1	349918	5	351294
Sa	12	11	2016	20	47	6	2	19	9	 	1	47188205	4379578,1	2	160109,9	11	6621	133	1859,1	1421	155,9	5647	29,1	60452	19,6	89515	8,3	951803	5	592392
Mi	16	11	2016	38	39	19	20	13	44	 	8	20958829	1341365	Jackpot	777744,4	Jackpot	13888,2	28	5746,8	203	283,4	1372	59,7	13024	24,4	31863	12,2	284743	5	272121
Sa	19	11	2016	2	39	38	15	6	1	 	3	46744011	4332981,7	Jackpot	1252444,3	2	17623,9	49	5223,2	496	258,7	3337	55,9	30894	23,3	74070	11,9	650225	5	621789
Mi	23	11	2016	38	31	44	28	27	4	 	7	22002307	6533986,4	1	0	Jackpot	6719,1	59	5104,2	233	189,4	2092	52,1	15198	19	41650	11,2	316737	5	332887
Sa	26	11	2016	47	41	26	42	32	45	 	9	45386961	2904765,5	1	848317,7	2	13906,8	61	3233,7	787	193,2	4389	42,6	39750	22,2	76089	11,1	687822	5	564472
Mi	30	11	2016	21	12	19	10	1	47	 	6	22110976	1415102,4	1	799631	1	8506,7	47	3268,2	367	169,9	2353	37,4	21379	17,7	44979	9,4	382728	5	328815
Sa	3	12	2016	16	47	48	39	43	5	 	9	47898301	3065491,2	Jackpot	1798262,9	1	12663,8	71	5482,5	492	241	3730	52,9	33946	24	74700	12	674113	5	580206
Mi	7	12	2016	42	40	48	13	18	36	 	8	22490213	4504864,8	Jackpot	841540,2	Jackpot	16830,8	25	5029,1	251	234,4	1795	53,2	15816	23,4	35890	12,3	306864	5	278066
Sa	10	12	2016	34	11	17	49	32	37	 	3	48018164	7578027,2	1	2585409,6	1	7855,2	111	2076	1260	131,2	6644	29,7	58667	16,7	104228	8,4	929406	5	699445
Mi	14	12	2016	38	34	42	33	43	44	 	4	21602361	691275,5	2	134639,4	6	6411,4	63	2380,6	509	193,6	2086	46,2	17449	23,4	34479	11,8	306902	5	268053
Sa	17	12	2016	29	6	35	24	28	34	 	2	46897483	3001438,9	Jackpot	1777617,2	Jackpot	26933,5	33	6259,2	426	314,8	2823	63	28199	28,1	63093	12,8	623151	5	534226
Mi	21	12	2016	42	3	23	38	21	39	 	7	22790642	4460039,9	Jackpot	2597714,1	1	8368,3	49	3555,3	346	175,9	2331	44,6	18379	18,2	44855	10,5	349541	5	347150
Sa	24	12	2016	30	18	22	11	45	4	 	1	54023101	7917518,3	Jackpot	508904,6	4	9337,7	109	2908	1050	219,4	4639	40,2	50542	23,2	87587	10	911042	5	639577
Mi	28	12	2016	3	22	30	29	4	1	 	3	23740036	9436880,6	Jackpot	872647,5	1	6233,1	70	2833,2	462	188,1	2319	42,6	20483	20,2	43147	10,8	361209	5	324836
Sa	31	12	2016	42	37	27	29	45	47	 	3	61921952	13399885,5	Jackpot	388869,4	6	9408,1	124	3804,1	920	213,8	5454	47,6	48950	23,7	98216	11,9	876700	5	733161
Mi	4	1	2017	48	5	39	37	21	13	 	2	25783219	15050011,5	Jackpot	486948,6	2	14322	34	3927	372	232,4	2095	48,5	20070	25,4	38274	11,3	384520	5	300502
Sa	7	1	2017	22	12	14	45	17	46	 	7	51173316	18325103,7	Jackpot	623489,3	3	13753,4	68	5110,5	549	238,5	3920	62,7	29806	22,5	83095	12,9	649804	5	721377
Mi	11	1	2017	29	32	27	38	34	20	 	1	27596782	20091297,7	Jackpot	526462,3	2	15953,4	33	5094,7	310	269	1957	53,1	19792	27,8	37841	11,7	402259	5	300590
Sa	14	1	2017	23	37	27	4	3	28	 	3	54716507	23593154,1	Jackpot	989432,8	2	14339,6	69	4157,2	714	185,2	5342	44,8	44154	18	109456	9,8	902208	5	813548
Mi	18	1	2017	39	40	10	28	11	13	 	1	29278479	25466976,7	Jackpot	1098851,6	1	10174,5	54	3575,4	461	204,6	2685	40,8	26879	23	47706	9,9	496024	5	355380
Sa	21	1	2017	26	14	11	9	5	39	 	9	55467650	29016906,3	Jackpot	668326,1	3	6639	151	2111,9	1424	127,2	7876	29,5	67943	16	125240	8,2	1092871	5	826822
Mi	25	1	2017	25	49	17	14	1	2	 	5	31892982	31058057,1	1	570987,7	2	5543,5	103	2117,3	809	117	4879	32,9	34690	15,5	73588	9,3	550945	5	497117
Sa	28	1	2017	41	15	6	9	42	38	 	7	47765925	3057019,2	1	573681,1	3	10367,7	83	3841,6	672	188,6	4561	47,3	36332	18,9	90639	10,7	723203	5	723102
Mi	1	2	2017	25	19	21	13	3	42	 	9	22050093	1411205,9	Jackpot	814257,5	Jackpot	11632,2	35	3107,8	393	182,5	2230	37,6	21618	19,3	42030	9,1	400736	5	294253
Sa	4	2	2017	2	28	39	37	16	49	 	8	47236426	4434337,1	Jackpot	2560156,1	1	8999,4	97	3955,9	662	203	4299	48,8	35717	21,7	80395	11,6	672872	5	627219
Mi	8	2	2017	14	28	46	41	30	22	 	6	23154445	5916221,5	Jackpot	863275,3	1	13079,9	33	4330,8	299	229,9	1877	57	15131	23,3	37023	13,1	295916	5	292517
Sa	11	2	2017	12	45	46	32	3	22	 	6	48039936	4495388,7	2	441354,6	4	10146	87	3026,4	875	173,6	5084	40,1	43994	20	87951	10,5	751093	5	658245
Mi	15	2	2017	39	7	33	13	18	36	 	4	21594222	1382030,2	Jackpot	396633,2	2	9014,3	44	2547,9	467	155	2558	34	23326	18,2	43459	8,9	397694	5	296483
Sa	18	2	2017	25	20	41	27	17	24	 	9	46241039	4341456,6	Jackpot	1695628,8	Jackpot	13898,5	61	4462,1	570	215,2	3939	46	36845	19,3	87804	9,5	797290	5	640961
Mi	22	2	2017	46	25	42	1	5	7	 	3	22645743	5790784,1	Jackpot	2515979,1	Jackpot	9322,1	44	3238,2	380	177,4	2311	40	20471	18,2	44880	9,7	377652	5	334008
Sa	25	2	2017	4	28	1	9	3	32	 	4	47365741	8822191,5	Jackpot	850811,8	5	10728,8	81	3129,7	833	166,3	5224	34,6	50117	18,2	95072	8,6	909044	5	654132
Mi	1	3	2017	30	31	12	22	38	29	 	4	24312089	10378165,1	Jackpot	917768,5	Jackpot	30592,2	15	5419,8	254	310,6	1477	58,7	15609	27,6	33236	12,2	338496	5	284477
Sa	4	3	2017	45	1	41	23	19	22	 	2	49741229	13561603,7	Jackpot	1397039,7	2	12344,1	76	4591,2	613	267,9	3501	55,4	33847	26,3	71075	12,2	689596	5	584813
Mi	8	3	2017	7	35	3	26	16	28	 	6	26044773	15228469,1	Jackpot	939824,1	1	7964,6	59	2748	513	142,6	3295	36,1	26018	16,8	55802	9	465293	5	391456
Sa	11	3	2017	26	46	12	49	17	4	 	8	50649836	18470058,6	Jackpot	457080,8	4	6925,4	132	2397,2	1144	148,6	6150	34,9	52308	17,2	105934	9,1	901048	5	760019
Mi	15	3	2017	15	26	40	7	16	25	 	1	27191625	20210322,6	Jackpot	1021808,3	Jackpot	10643,8	48	3134,3	489	220,5	2316	41,2	24759	22,9	44472	9,9	462480	5	327493
Sa	18	3	2017	31	23	40	4	12	27	 	0	52715503	5896028,6	4	143615,9	21	5113,1	195	1429,1	2093	161,2	6185	27,5	72292	22,1	90174	8,5	1048895	5	608538
Mi	22	3	2017	15	18	4	38	22	21	 	6	21708227	1389326,5	Jackpot	804176,6	1	10867,2	37	4047,8	298	202,4	1986	48,9	16437	22,6	35576	11,8	305762	5	284604
Sa	25	3	2017	9	11	26	25	49	1	 	6	45592307	4307234,1	Jackpot	136060,7	12	4612,2	177	1548	1582	104,9	7776	23,8	68385	14,2	114960	7,2	1007033	5	710191
Mi	29	3	2017	25	21	24	47	28	9	 	2	22040028	5717795,8	Jackpot	824363,7	Jackpot	21693,7	19	5447,3	227	255,8	1611	49	16795	23,5	34935	10,4	354006	5	273163
Sa	1	4	2017	22	8	36	5	18	9	 	8	47444842	11300368,4	1	0	Jackpot	7234,1	119	3252,6	794	145	5935	37,9	45313	16,8	102198	9,5	814843	5	693712
Mi	5	4	2017	41	22	6	49	1	7	 	2	21133125	1352520	Jackpot	791234,7	1	8791,4	45	2760,1	430	179,6	2202	33	23923	20,6	38247	9	395420	5	260339
Sa	8	4	2017	28	7	40	39	2	47	 	1	45496342	4264285,8	Jackpot	858939,2	2	14558,2	59	4552,6	566	266,5	3222	50,8	33797	26	66039	11,2	685011	5	531524
Mi	12	4	2017	24	48	14	10	11	26	 	5	22188980	5684380,5	Jackpot	390453	2	8873,9	44	3425	342	140,3	2782	38,2	20419	15	51739	9,1	383958	5	373067
Sa	15	4	2017	12	36	18	21	30	27	 	7	47940859	8752595,4	Jackpot	431421,9	4	8804,5	98	3428,5	755	141,5	6094	36,2	47590	17,9	96048	10,6	725988	5	729067
Mi	19	4	2017	27	23	48	30	41	19	 	0	22290548	10179190,4	Jackpot	851623,8	Jackpot	18513,5	23	4857,1	263	288,4	1476	49,3	17245	27,4	31075	10,6	359162	5	240488
Sa	22	4	2017	11	25	19	1	32	12	 	7	47912876	13245614,4	1	1259336,3	2	8593	97	2520,7	992	121,7	6848	30,7	54289	13,6	122277	7,8	955945	5	843905
Mi	26	4	2017	34	25	37	42	39	31	 	3	20825156	1332809,9	Jackpot	758367,3	1	7021,9	54	2415,1	471	150,7	2515	36,7	20639	17,3	43596	9,9	342335	5	299219
Sa	29	4	2017	36	4	37	49	18	3	 	5	46031887	4278850,6	Jackpot	827348,6	2	11333,5	73	4109,3	604	203,3	4069	51	32405	19,5	84846	11,3	657074	5	704586
Mi	3	5	2017	5	33	18	4	12	20	 	8	21671225	5665809	Jackpot	777419,9	Jackpot	6588,3	59	2535	460	137,9	2817	31	24999	15,7	49291	8,4	416193	5	334891
Sa	6	5	2017	30	32	31	47	16	26	 	4	46393307	8634980,6	Jackpot	832728	3	11320,8	76	3773,6	684	184,9	4653	40,6	42366	20,3	84618	9,8	783473	5	603968
Mi	10	5	2017	39	26	38	9	18	42	 	8	23332488	10128259,8	Jackpot	283475,8	3	6643,9	64	2176,8	586	142,5	2982	31,6	26886	17	50008	8,8	434509	5	333738
Sa	13	5	2017	19	7	32	45	47	48	 	1	47672992	13179331,2	Jackpot	896641,7	2	15730,5	57	3694,9	728	212	4229	40,9	43794	22,9	78288	9,6	834711	5	570518
Mi	17	5	2017	36	43	23	2	26	1	 	3	23690365	14695514,5	Jackpot	876670,9	1	20873,1	21	6261,9	210	271,7	1613	65,8	13321	24,3	35948	13	301735	5	312458
Sa	20	5	2017	15	29	37	1	44	34	 	7	48145099	17776800,8	Jackpot	1796788,3	1	14490,2	62	6754,8	399	271	3314	68,3	26285	26,5	67652	14,9	539545	5	604676
Mi	24	5	2017	6	25	44	26	13	19	 	3	25524757	19410385,2	Jackpot	306431,4	3	9992,3	46	3126,8	441	169,5	2711	38,8	23677	17,4	52656	9,1	453953	5	387170
Sa	27	5	2017	23	24	27	49	25	29	 	1	47928152	22477786,9	Jackpot	1823190,4	1	10359	88	2906,2	941	236,6	3852	46	39582	29,3	62110	12,5	652690	5	532954
Mi	31	5	2017	48	9	24	36	17	27	 	7	26781068	24191775,2	Jackpot	950803	Jackpot	7667,7	62	2480,3	575	136,8	3474	35,4	26843	15,8	59962	9,5	447935	5	433703
Sa	3	6	2017	37	24	35	32	31	46	 	3	53040461	27586364,7	Jackpot	2910376	Jackpot	14408,6	68	4607,1	638	200,1	4896	45,9	42633	21	93034	10,8	810347	5	705982
Mi	7	6	2017	18	37	17	28	6	33	 	4	32973944	29696697,1	1	1030384,8	4	7124,4	85	2155	843	162,2	3732	33,4	36215	18,9	63973	9,1	597970	5	453001
Sa	10	6	2017	29	42	6	4	26	16	 	7	45831547	2933219	Jackpot	275325,8	6	7441,2	111	2624,9	944	147,9	5582	37,2	44297	17,1	96423	9,8	753545	5	692601
Mi	14	6	2017	44	33	36	32	29	30	 	1	22490528	4372612,7	Jackpot	866798	Jackpot	14944,7	29	5139,1	253	276,2	1569	54,2	15985	32,4	26729	13,7	282697	5	227578
Sa	17	6	2017	16	49	2	6	22	44	 	1	45550658	7287854,8	1	650919,5	4	18879,1	46	3695,4	705	264,6	3282	46,9	37005	26,6	65194	11,2	694686	5	498257
Mi	21	6	2017	41	6	44	39	7	4	 	4	20738189	1327244	Jackpot	763392,5	1	11928	32	4893,5	234	225,9	1689	51,3	14869	21,4	35656	10,5	324168	5	281585
Sa	24	6	2017	38	27	46	43	23	13	 	6	44250203	4159256,9	Jackpot	813867,6	2	8058	101	2436,7	1002	154,1	5280	36,4	44607	18,7	86780	10	727143	5	603147
Mi	28	6	2017	38	41	29	42	17	13	 	4	22864937	5622612,8	Jackpot	858675,7	1	8944,5	48	2843,2	453	205,3	2091	41,4	20732	23,2	36998	10,8	357485	5	276471
Sa	1	7	2017	2	15	35	47	22	3	 	8	47419706	8657473,9	Jackpot	881948,8	2	16332,3	54	5366,8	493	232,4	3794	57	30923	24,2	72825	12,8	616956	5	607203
Mi	5	7	2017	47	39	40	7	34	33	 	0	23497104	10161288,5	Jackpot	900013,2	1	13235,4	34	5037,3	268	289,9	1552	54,2	16600	28,7	31261	11,3	357620	5	248921
Sa	8	7	2017	2	40	23	27	3	17	 	2	47064975	13173446,9	1	576366,3	3	7389,3	117	2831,4	916	158,6	5451	32,9	52477	18,3	94101	8,4	917335	5	645868
Mi	12	7	2017	44	30	22	36	49	18	 	7	20962822	1341620,6	Jackpot	771260,5	Jackpot	20296,3	19	5509	210	214,9	1794	57,6	13374	21,9	35071	13	266256	5	285437
Sa	15	7	2017	33	38	8	32	31	25	 	1	44873624	4213532,5	Jackpot	818648,1	3	14039	60	4115,6	614	233,2	3611	42,8	39328	24	69969	10,1	750488	5	543612
Mi	19	7	2017	21	36	17	27	41	19	 	1	24896836	5806930	Jackpot	939388,5	1	15151,4	31	3558,2	396	228	2060	43,7	21453	24	39021	10,5	399978	5	292227
Sa	22	7	2017	37	5	47	27	45	41	 	7	45372017	8710739	Jackpot	543348,1	3	7026	116	3000	815	124,9	6522	36,8	44240	15,4	105322	9,9	733903	5	696351
Mi	26	7	2017	18	12	27	33	26	15	 	0	22906717	10176768,8	Jackpot	877623,8	Jackpot	21940,5	20	4050,5	325	286,9	1529	44,9	19538	28	31315	10,2	383962	5	242218
Sa	29	7	2017	35	37	30	20	14	29	 	3	47191745	13197040,4	Jackpot	2663021,3	Jackpot	17167,2	52	6661,9	402	312	2861	73,1	24415	28,9	61682	15	532616	5	544325
Mi	2	8	2017	23	22	21	36	49	34	 	5	24881596	14789462,5	1	3584537,3	1	32911,2	14	5063,2	273	236	1952	61,4	15007	23,4	39346	13,6	303244	5	326643
Sa	5	8	2017	49	18	37	14	19	23	 	5	44821723	2868590,2	Jackpot	1618445,6	Jackpot	15867,1	51	5632,6	431	222,3	3639	53,9	30007	19,7	81848	11,4	637552	5	671563
