"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1979
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1979;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
25.;23.06.;30 ;40 ;41 ;17 ;43 ;1 ;20 ;78.114.328,50 ;7  x  ;836.939,20 ;93  x  ;31.497,70 ;2.060  x     ;4.265,90 ;131.770  x    ;66,60 ;2.560.373  x;4,90  
26.;30.06.;37 ;40 ;33 ;46 ;47 ;9 ;1 ;78.415.882,50 ;unbesetzt;;15  x  ;588.119,10 ;1.520  x     ;5.803,80 ;126.902  x    ;69,50 ;2.584.471  x;4,90  
27.;07.07.;8 ;43 ;37 ;18 ;35 ;16 ;9 ;78.039.985,50 ;6  x  ;975.499,80 ;41  x  ;71.378,00 ;2.368  x     ;3.707,50 ;129.887  x    ;67,50 ;2.465.446  x;5,10  
28.;14.07.;6 ;16 ;2 ;7 ;39 ;44 ;40 ;78.067.825,00 ;3  x  ;1.500.000,00 ;41  x  ;104.454,30 ;1.867  x     ;4.704,10 ;129.860  x    ;67,60 ;2.637.804  x;4,80  
29.;21.07.;32 ;48 ;46 ;27 ;43 ;45 ;18 ;77.287.887,00 ;8  x  ;724.573,90 ;59  x  ;49.123,60 ;2.802  x     ;3.103,10 ;176.321  x    ;49,30 ;2.758.680  x;4,50  
30.;28.07.;40 ;37 ;27 ;29 ;48 ;4 ;33 ;77.026.203,50 ;5  x  ;1.155.393,00 ;29  x  ;99.602,80 ;1.525  x     ;5.682,20 ;104.053  x    ;83,20 ;2.184.782  x;5,70  
31.;04.08.;42 ;24 ;20 ;2 ;31 ;48 ;3 ;77.359.438,50 ;5  x  ;1.160.391,50 ;51  x  ;56.881,90 ;2.184  x     ;3.984,80 ;126.305  x    ;68,90 ;2.407.375  x;5,20  
32.;11.08.;30 ;2 ;22 ;9 ;26 ;5 ;49 ;76.938.270,00 ;12  x  ;480.864,10 ;90  x  ;32.057,60 ;3.428  x     ;2.524,90 ;167.801  x    ;51,50 ;2.975.386  x;4,20  
33.;18.08.;43 ;31 ;28 ;49 ;44 ;45 ;14 ;77.439.934,00 ;10  x  ;580.799,50 ;26  x  ;111.692,20 ;1.944  x     ;4.481,40 ;135.664  x    ;64,20 ;2.504.888  x;5,00  
34.;25.08.;20 ;42 ;40 ;48 ;14 ;17 ;34 ;78.151.395,50 ;5  x  ;1.172.270,90 ;55  x  ;53.285,00 ;1.921  x     ;4.576,70 ;110.689  x    ;79,40 ;2.318.182  x;5,40  
35.;01.09.;27 ;5 ;38 ;19 ;24 ;28 ;8 ;77.949.239,50 ;12  x  ;487.182,70 ;90  x  ;32.478,80 ;3.002  x     ;2.921,10 ;190.057  x    ;46,10 ;3.253.389  x;3,80  
36.;08.09.;10 ;2 ;40 ;16 ;21 ;12 ;45 ;78.973.373,50 ;7  x  ;846.143,20 ;48  x  ;61.697,90 ;2.667  x     ;3.331,20 ;158.811  x    ;55,90 ;2.942.284  x;4,30  
37.;15.09.;37 ;20 ;5 ;7 ;4 ;32 ;10 ;79.745.951,00 ;11  x  ;543.722,30 ;75  x  ;39.872,90 ;2.130  x     ;4.211,90 ;148.858  x    ;60,20 ;2.860.273  x;4,50  
38.;22.09.;39 ;7 ;42 ;10 ;21 ;36 ;4 ;81.159.421,00 ;15  x  ;405.797,10 ;79  x  ;38.525,00 ;3.354  x     ;2.722,20 ;168.670  x    ;54,10 ;3.020.050  x;4,30  
39.;29.09.;23 ;29 ;44 ;11 ;12 ;15 ;48 ;80.348.947,50 ;2  x  ;1.500.000,00 ;42  x  ;143.791,80 ;2.068  x     ;4.371,00 ;137.302  x    ;65,80 ;2.709.719  x;4,80  
40.;06.10.;18 ;4 ;19 ;17 ;42 ;16 ;2 ;80.003.061,00 ;2  x  ;1.500.000,00 ;75  x  ;80.004,50 ;2.176  x     ;4.136,10 ;152.316  x    ;59,00 ;2.781.972  x;4,60  
41.;13.10.;11 ;43 ;45 ;22 ;26 ;18 ;4 ;83.058.427,50 ;10  x  ;622.938,20 ;91  x  ;34.227,30 ;2.469  x     ;3.784,50 ;141.076  x    ;66,20 ;2.696.882  x;5,00  
42.;20.10.;22 ;38 ;34 ;25 ;23 ;24 ;10 ;81.642.306,50 ;10  x  ;612.317,20 ;63  x  ;48.596,60 ;3.265  x     ;2.813,00 ;197.642  x    ;46,40 ;2.976.631  x;4,40  
43.;27.10.;12 ;17 ;1 ;20 ;38 ;19 ;46 ;81.760.914,50 ;4  x  ;1.500.000,00 ;36  x  ;88.836,10 ;2.429  x     ;3.786,70 ;161.336  x    ;57,00 ;3.076.402  x;4,30  
44.;03.11.;10 ;37 ;14 ;29 ;9 ;48 ;22 ;81.579.425,50 ;1  x  ;1.500.000,00 ;62  x  ;123.833,60 ;1.450  x     ;6.329,40 ;109.644  x    ;83,70 ;2.383.524  x;5,50  
45.;10.11.;49 ;1 ;2 ;41 ;36 ;22 ;18 ;82.081.409,00 ;12  x  ;513.008,80 ;48  x  ;64.126,10 ;2.301  x     ;4.013,10 ;125.250  x    ;73,70 ;2.545.230  x;5,20  
46.;17.11.;40 ;5 ;14 ;22 ;36 ;1 ;13 ;83.080.415,50 ;6  x  ;1.038.505,10 ;42  x  ;74.178,90 ;2.756  x     ;3.391,30 ;124.080  x    ;75,30 ;2.377.186  x;5,60  
47.;24.11.;26 ;14 ;6 ;5 ;16 ;11 ;10 ;82.187.796,50 ;9  x  ;684.898,30 ;88  x  ;35.023,20 ;3.088  x     ;2.994,20 ;164.875  x    ;56,00 ;2.910.744  x;4,50  
48.;01.12.;28 ;32 ;15 ;34 ;40 ;8 ;6 ;91.465.078,50 ;6  x  ;1.143.313,40 ;42  x  ;81.665,20 ;2.746  x     ;3.747,20 ;159.042  x    ;64,60 ;3.096.025  x;4,80  
49.;08.12.;15 ;28 ;22 ;14 ;23 ;20 ;24 ;85.304.879,50 ;11  x  ;581.624,10 ;55  x  ;58.162,40 ;1.907  x     ;5.032,40 ;106.818  x    ;89,80 ;2.224.065  x;6,20  
50.;15.12.;14 ;26 ;3 ;43 ;45 ;31 ;49 ;86.412.842,00 ;16  x  ;405.060,10 ;93  x  ;34.843,80 ;3.418  x     ;2.844,10 ;178.467  x    ;54,40 ;3.152.699  x;4,40  
51.;22.12.;23 ;5 ;46 ;16 ;35 ;8 ;36 ;86.720.152,00 ;14  x  ;464.572,20 ;68  x  ;47.823,60 ;3.354  x     ;2.908,70 ;160.157  x    ;60,90 ;2.870.633  x;4,90  
52.;29.12.;7 ;35 ;26 ;48 ;8 ;9 ;28 ;83.671.909,00 ;8  x  ;784.424,10 ;41  x  ;76.529,10 ;2.237  x     ;4.207,90 ;142.855  x    ;65,80 ;2.912.774  x;4,60  
;;;;;;;;;;;;;;;;;;;
