Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1994
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
41.;15.10.;6;8;8;0;8;6;16.092.692,00       ;15 x               ;75 x           ;701 x           ;7.058 x       ;71.816 x    ;713.195 x    
42.;22.10.;8;8;8;7;0;5;14.510.462,00       ;7 x               ;72 x           ;699 x           ;6.423 x       ;63.544 x    ;669.165 x    
43.;29.10.;0;0;4;8;7;5;14.516.850,00       ;5 x               ;69 x           ;631 x           ;6.539 x       ;65.651 x    ;653.855 x    
44.;05.11.;8;3;9;6;2;9;14.815.200,00       ;7 x               ;47 x           ;690 x           ;6.591 x       ;65.543 x    ;647.942 x    
45.;12.11.;2;7;7;0;4;0;14.415.060,00       ;3 x               ;70 x           ;627 x           ;5.925 x       ;61.426 x    ;612.675 x    
46.;19.11.;5;1;8;8;0;5;14.167.768,00       ;4 x               ;65 x           ;607 x           ;6.378 x       ;63.326 x    ;662.231 x    
47.;26.11.;8;6;9;2;5;1;15.294.774,00       ;5 x               ;62 x           ;721 x           ;6.864 x       ;67.315 x    ;675.665 x    
48.;03.12.;8;3;6;2;8;4;20.491.306,00       ;8 x               ;83 x           ;908 x           ;9.316 x       ;94.416 x    ;943.036 x    
49.;10.12.;8;9;4;4;2;2;18.959.894,00       ;5 x               ;76 x           ;851 x           ;8.647 x       ;85.587 x    ;851.921 x    
50.;17.12.;7;6;4;5;2;3;22.454.676,00       ;14 x               ;88 x           ;1.046 x           ;10.361 x       ;102.597 x    ;1.023.177 x    
51.;24.12.;0;0;4;1;7;4;18.738.084,00       ;12 x               ;70 x           ;822 x           ;8.446 x       ;85.855 x    ;853.227 x    
52.;31.12.;0;4;3;9;4;8;17.220.730,00       ;11 x               ;88 x           ;737 x           ;7.907 x       ;79.229 x    ;786.198 x    
53.;;;;;;;;;;;;;;
;;;;;;;Gewinne Gesamt;;432 x               ;3.738 x    ;38.582 x    ;386.005 x       ;3.861.704 x    ;38.636.361 x    
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
