Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1994
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1994;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;08.01.;4;4;2;3;8;4;12.972.724,00       ;6 x               ;54 x           ;609 x           ;5.967 x       ;59.073 x    ;587.197 x    
2.;15.01.;0;9;1;2;2;4;16.886.660,00       ;6 x               ;77 x           ;731 x           ;7.823 x       ;77.807 x    ;765.584 x    
3.;22.01.;5;1;1;3;1;5;13.917.308,00       ;6 x               ;47 x           ;613 x           ;6.345 x       ;63.948 x    ;643.200 x    
4.;29.01.;8;9;0;6;5;7;13.180.288,00       ;6 x               ;66 x           ;561 x           ;5.987 x       ;60.579 x    ;598.075 x    
5.;05.02.;8;0;8;0;0;1;14.287.176,00       ;7 x               ;54 x           ;544 x           ;5.401 x       ;59.618 x    ;612.241 x    
6.;12.02.;4;1;9;1;1;2;13.195.618,00       ;10 x               ;53 x           ;569 x           ;6.041 x       ;60.576 x    ;596.440 x    
7.;19.02.;4;5;1;5;5;2;13.543.436,00       ;8 x               ;69 x           ;600 x           ;5.943 x       ;60.336 x    ;596.297 x    
8.;26.02.;3;4;0;1;9;2;15.068.468,00       ;6 x               ;72 x           ;648 x           ;6.701 x       ;66.225 x    ;664.076 x    
9.;05.03.;4;3;5;1;8;8;14.699.674,00       ;10 x               ;57 x           ;702 x           ;6.744 x       ;67.677 x    ;677.764 x    
10.;12.03.;6;7;7;7;9;4;13.405.894,00       ;7 x               ;64 x           ;602 x           ;6.081 x       ;59.625 x    ;592.771 x    
11.;19.03.;1;8;1;5;0;7;13.087.596,00       ;4 x               ;50 x           ;562 x           ;5.946 x       ;58.772 x    ;619.851 x    
12.;26.03.;5;2;9;3;6;4;12.950.800,00       ;8 x               ;56 x           ;583 x           ;5.947 x       ;59.265 x    ;587.828 x    
13.;02.04.;9;8;9;5;8;0;12.686.148,00       ;8 x               ;51 x           ;580 x           ;5.581 x       ;53.672 x    ;540.424 x    
14.;09.04.;4;4;8;1;6;0;12.472.384,00       ;6 x               ;51 x           ;539 x           ;5.225 x       ;52.275 x    ;521.279 x    
15.;16.04.;7;0;1;1;4;8;12.622.858,00       ;8 x               ;53 x           ;611 x           ;5.929 x       ;58.798 x    ;576.672 x    
16.;23.04.;3;4;0;8;1;1;12.327.498,00       ;7 x               ;61 x           ;589 x           ;5.469 x       ;54.552 x    ;542.500 x    
17.;30.04.;7;5;0;1;8;3;12.377.064,00       ;3 x               ;48 x           ;548 x           ;5.686 x       ;55.763 x    ;557.259 x    
18.;07.05.;8;1;0;9;0;2;15.289.892,00       ;10 x               ;69 x           ;657 x           ;6.660 x       ;65.872 x    ;699.428 x    
19.;14.05.;1;5;4;2;6;5;12.431.580,00       ;6 x               ;61 x           ;593 x           ;5.674 x       ;57.559 x    ;571.776 x    
20.;21.05.;8;0;5;0;0;4;12.308.942,00       ;3 x               ;43 x           ;518 x           ;4.914 x       ;54.300 x    ;563.797 x    
21.;28.05.;0;2;2;2;6;1;12.073.548,00       ;12 x               ;38 x           ;537 x           ;5.325 x       ;53.342 x    ;528.796 x    
22.;04.06.;0;5;9;6;5;8;11.913.456,00       ;4 x               ;42 x           ;534 x           ;5.489 x       ;55.345 x    ;546.217 x    
23.;11.06.;2;0;6;0;4;3;12.504.756,00       ;7 x               ;64 x           ;578 x           ;5.587 x       ;56.853 x    ;564.505 x    
24.;18.06.;1;9;2;8;4;2;12.284.500,00       ;2 x               ;46 x           ;578 x           ;5.753 x       ;54.924 x    ;550.384 x    
25.;25.06.;3;8;8;4;5;8;12.112.400,00       ;5 x               ;57 x           ;587 x           ;5.596 x       ;55.820 x    ;555.085 x    
26.;02.07.;6;6;8;4;2;6;12.028.772,00       ;7 x               ;60 x           ;576 x           ;5.473 x       ;55.695 x    ;553.782 x    
27.;09.07.;3;1;4;3;3;9;12.151.694,00       ;7 x               ;53 x           ;557 x           ;5.568 x       ;55.399 x    ;550.902 x    
28.;16.07.;0;6;7;5;2;1;11.910.580,00       ;4 x               ;61 x           ;567 x           ;5.316 x       ;52.957 x    ;520.453 x    
29.;23.07.;3;7;8;2;9;6;11.854.348,00       ;11 x               ;47 x           ;504 x           ;5.496 x       ;53.867 x    ;538.857 x    
30.;30.07.;6;5;5;3;2;2;12.936.114,00       ;5 x               ;52 x           ;589 x           ;5.802 x       ;58.276 x    ;579.075 x    
31.;06.08.;5;3;2;8;9;8;14.037.970,00       ;6 x               ;65 x           ;678 x           ;6.341 x       ;64.560 x    ;646.872 x    
32.;13.08.;4;0;1;6;8;1;19.253.072,00       ;11 x               ;82 x           ;822 x           ;8.559 x       ;83.942 x    ;843.702 x    
33.;20.08.;2;3;2;5;3;7;31.601.788,00       ;13 x               ;122 x           ;1.467 x           ;14.326 x       ;141.487 x    ;1.411.483 x    
34.;27.08.;4;0;5;4;8;8;38.367.644,00       ;21 x               ;181 x           ;1.803 x           ;17.775 x       ;177.307 x    ;1.765.759 x    
35.;03.09.;1;2;3;1;5;1;47.730.898,00       ;21 x               ;238 x           ;2.018 x           ;20.877 x       ;208.021 x    ;2.083.686 x    
36.;10.09.;9;9;6;9;2;5;46.833.228,00       ;26 x               ;211 x           ;2.034 x           ;20.538 x       ;205.112 x    ;2.043.813 x    
37.;17.09.;2;2;6;4;6;7;19.688.392,00       ;12 x               ;96 x           ;957 x           ;9.114 x       ;90.467 x    ;905.115 x    
38.;24.09.;1;8;0;7;6;3;17.163.594,00       ;12 x               ;70 x           ;758 x           ;7.757 x       ;78.909 x    ;784.000 x    
39.;01.10.;1;1;5;8;8;5;16.880.460,00       ;9 x               ;71 x           ;783 x           ;7.836 x       ;77.505 x    ;772.401 x    
40.;08.10.;0;5;0;4;4;5;15.290.098,00       ;6 x               ;61 x           ;656 x           ;6.958 x       ;69.319 x    ;684.728 x    
