Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
KW;2002;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;02.01.;MI;9;5;8;9;0;0;3.313.612,50   ;5  x   ;28  x   ;225  x   ;2.224  x   ;22.646  x   ;196.993  x   
;05.01.;SA;7;7;4;9;9;8;10.867.966,25   ;13  x   ;83  x   ;892  x   ;8.778  x   ;87.604  x   ;904.574  x   
2.;09.01.;MI;6;7;3;5;6;1;3.235.207,50   ;4  x   ;25  x   ;188  x   ;2.043  x   ;20.068  x   ;201.431  x   
;12.01.;SA;3;1;2;1;6;4;10.852.787,50   ;5  x   ;74  x   ;741  x   ;7.719  x   ;76.400  x   ;741.408  x   
3.;16.01.;MI;7;1;3;9;2;7;3.378.288,75   ;1  x   ;40  x   ;305  x   ;2.826  x   ;26.715  x   ;266.415  x   
;19.01.;SA;3;6;1;1;1;6;11.138.141,25   ;5  x   ;73  x   ;675  x   ;7.977  x   ;81.543  x   ;833.549  x   
4.;23.01.;MI;8;5;2;8;2;8;3.629.206,25   ;3  x   ;34  x   ;322  x   ;3.042  x   ;29.621  x   ;287.697  x   
;26.01.;SA;0;3;5;5;0;7;11.733.111,25   ;7  x   ;96  x   ;777  x   ;8.048  x   ;80.436  x   ;922.334  x   
5.;30.01.;MI;6;1;8;2;1;5;3.340.061,25   ;1  x   ;31  x   ;269  x   ;2.489  x   ;25.711  x   ;270.085  x   
;02.02.;SA;1;9;0;7;4;7;10.911.766,25   ;14  x   ;106  x   ;864  x   ;9.002  x   ;85.873  x   ;851.631  x   
6.;06.02.;MI;7;9;6;4;4;2;3.271.036,25   ;1  x   ;16  x   ;238  x   ;2.191  x   ;21.863  x   ;211.227  x   
;09.02.;SA;7;8;8;5;5;1;10.767.643,75   ;8  x   ;80  x   ;630  x   ;6.455  x   ;65.078  x   ;637.065  x   
7.;13.02.;MI;8;0;4;7;2;0;3.198.518,75   ;1  x   ;18  x   ;186  x   ;1.797  x   ;18.083  x   ;188.408  x   
;16.02.;SA;7;4;3;4;8;0;10.645.006,25   ;5  x   ;60  x   ;581  x   ;6.117  x   ;60.329  x   ;608.885  x   
