Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1997;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
42.;18.10.;4;4;6;8;9;6;16.477.466,00       ;9 x               ;70 x           ;734 x           ;7.727 x       ;76.760 x    ;766.635 x    
43.;25.10.;5;1;1;8;7;0;15.956.526,00       ;5 x               ;70 x           ;610 x           ;6.333 x       ;63.462 x    ;640.095 x    
44.;01.11.;7;1;2;7;4;2;16.537.756,00       ;6 x               ;80 x           ;716 x           ;7.142 x       ;72.010 x    ;712.183 x    
45.;08.11.;8;0;3;8;4;5;18.665.174,00       ;12 x               ;80 x           ;889 x           ;9.091 x       ;91.344 x    ;892.083 x    
46.;15.11.;8;6;6;7;1;7;16.637.038,00       ;12 x               ;65 x           ;823 x           ;8.184 x       ;79.492 x    ;802.452 x    
47.;22.11.;7;3;9;0;5;6;16.365.494,00       ;10 x               ;79 x           ;812 x           ;7.813 x       ;80.566 x    ;770.067 x    
48.;29.11.;2;5;2;6;5;3;17.299.474,00       ;6 x               ;80 x           ;811 x           ;7.834 x       ;78.674 x    ;789.727 x    
49.;06.12.;1;7;1;7;6;2;19.990.622,00       ;10 x               ;76 x           ;859 x           ;8.681 x       ;86.501 x    ;855.131 x    
50.;13.12.;5;2;5;1;5;0;17.231.384,00       ;4 x               ;74 x           ;716 x           ;6.811 x       ;69.159 x    ;680.739 x    
51.;20.12.;8;2;5;4;2;1;18.768.656,00       ;7 x               ;83 x           ;816 x           ;7.995 x       ;80.468 x    ;777.994 x    
52.;27.12.;8;1;5;6;3;2;16.524.042,00       ;10 x               ;74 x           ;764 x           ;7.114 x       ;72.020 x    ;705.149 x    
53.;;;;;;;;;;;;;;
;;;;;;;Gewinne Gesamt;;430 x               ;3.741 x    ;38.137 x    ;376.719 x       ;3.772.820 x    ;37.466.621 x    
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
