Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1995;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;07.01.;2;3;2;6;1;0;15.200.750,00       ;9 x               ;52 x           ;706 x           ;6.483 x       ;64.958 x    ;652.417 x    
2.;14.01.;7;0;2;7;7;8;19.663.272,00       ;10 x               ;90 x           ;881 x           ;8.987 x       ;90.337 x    ;899.658 x    
3.;21.01.;7;6;4;6;5;5;15.871.214,00       ;6 x               ;64 x           ;755 x           ;7.427 x       ;75.069 x    ;743.412 x    
4.;28.01.;6;6;8;3;4;5;15.541.864,00       ;3 x               ;80 x           ;756 x           ;7.156 x       ;70.885 x    ;704.111 x    
5.;04.02.;3;5;2;0;5;3;16.540.300,00       ;7 x               ;72 x           ;733 x           ;7.236 x       ;73.446 x    ;731.244 x    
6.;11.02.;3;4;6;0;1;2;15.576.518,00       ;7 x               ;80 x           ;619 x           ;6.662 x       ;70.370 x    ;698.397 x    
7.;18.02.;4;3;0;5;1;5;15.243.866,00       ;8 x               ;80 x           ;701 x           ;7.049 x       ;68.421 x    ;696.873 x    
8.;25.02.;3;0;9;0;4;1;15.140.718,00       ;7 x               ;65 x           ;655 x           ;6.394 x       ;66.588 x    ;657.180 x    
9.;04.03.;3;0;4;9;6;1;15.885.116,00       ;8 x               ;70 x           ;673 x           ;6.630 x       ;67.137 x    ;672.766 x    
10.;11.03.;0;3;5;6;2;5;14.935.856,00       ;3 x               ;78 x           ;701 x           ;7.312 x       ;72.161 x    ;711.088 x    
11.;18.03.;7;3;8;5;4;4;14.912.564,00       ;6 x               ;84 x           ;654 x           ;6.874 x       ;68.508 x    ;671.313 x    
12.;25.03.;6;2;1;1;8;5;14.718.072,00       ;9 x               ;63 x           ;659 x           ;7.239 x       ;69.778 x    ;700.356 x    
13.;01.04.;9;4;7;7;0;3;19.143.390,00       ;12 x               ;58 x           ;888 x           ;8.352 x       ;81.783 x    ;873.518 x    
14.;08.04.;9;1;3;9;4;7;15.165.664,00       ;3 x               ;79 x           ;736 x           ;7.237 x       ;71.175 x    ;701.316 x    
15.;15.04.;5;4;3;7;5;4;14.600.880,00       ;9 x               ;58 x           ;716 x           ;6.668 x       ;66.836 x    ;658.012 x    
16.;22.04.;9;6;3;1;3;8;14.509.056,00       ;10 x               ;80 x           ;661 x           ;6.670 x       ;66.696 x    ;663.415 x    
17.;29.04.;2;0;6;1;9;2;14.634.590,00       ;2 x               ;54 x           ;660 x           ;6.700 x       ;65.417 x    ;653.583 x    
18.;06.05.;4;1;4;5;4;5;14.670.090,00       ;8 x               ;79 x           ;695 x           ;7.230 x       ;70.922 x    ;698.571 x    
19.;13.05.;6;6;8;1;7;1;15.555.162,00       ;7 x               ;47 x           ;661 x           ;7.008 x       ;68.067 x    ;682.502 x    
20.;20.05.;8;7;9;3;9;1;16.912.834,00       ;5 x               ;66 x           ;712 x           ;7.266 x       ;71.830 x    ;725.296 x    
21.;27.05.;7;0;5;6;8;4;16.552.070,00       ;11 x               ;80 x           ;760 x           ;7.492 x       ;75.148 x    ;749.788 x    
22.;03.06.;2;8;9;9;6;8;20.198.838,00       ;12 x               ;107 x           ;934 x           ;8.975 x       ;89.890 x    ;896.778 x    
23.;10.06.;3;5;6;6;1;6;22.133.658,00       ;10 x               ;91 x           ;956 x           ;9.831 x       ;98.822 x    ;986.684 x    
24.;17.06.;7;8;1;7;6;7;15.910.410,00       ;9 x               ;62 x           ;723 x           ;7.403 x       ;73.864 x    ;741.531 x    
25.;24.06.;2;4;0;4;1;5;15.242.714,00       ;5 x               ;77 x           ;741 x           ;7.195 x       ;71.424 x    ;721.329 x    
26.;01.07.;5;5;4;2;0;0;15.399.410,00       ;9 x               ;81 x           ;651 x           ;6.778 x       ;65.658 x    ;661.575 x    
27.;08.07.;3;9;3;9;7;6;14.744.156,00       ;2 x               ;69 x           ;665 x           ;6.653 x       ;65.630 x    ;655.030 x    
28.;15.07.;7;4;2;9;2;3;13.829.364,00       ;4 x               ;68 x           ;637 x           ;6.277 x       ;62.186 x    ;622.086 x    
29.;22.07.;2;7;4;5;2;2;13.657.742,00       ;6 x               ;50 x           ;641 x           ;6.203 x       ;62.114 x    ;605.889 x    
30.;29.07.;6;7;4;4;9;9;13.930.292,00       ;6 x               ;69 x           ;620 x           ;6.454 x       ;64.410 x    ;634.342 x    
