Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1992
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;Spieleinsatz;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1992;Gewinnzahl;;;;;End-;DM;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;04.01.;4;3;3;5;3;3;4.939.990,00       ;3 x               ;21 x           ;230 x           ;2.270 x       ;22.422 x    ;221.933 x    
2.;11.01.;0;8;3;3;2;0;5.626.664,00       ;3 x               ;22 x           ;218 x           ;2.273 x       ;23.185 x    ;232.747 x    
3.;18.01.;6;0;1;0;7;0;4.853.468,00       ;2 x               ;14 x           ;210 x           ;1.917 x       ;20.064 x    ;200.163 x    
4.;25.01.;7;6;5;3;0;1;4.680.930,00       ;2 x               ;24 x           ;222 x           ;1.878 x       ;19.176 x    ;204.207 x    
5.;01.02.;9;9;4;8;2;6;4.688.882,00       ;1 x               ;19 x           ;215 x           ;2.137 x       ;20.863 x    ;208.523 x    
6.;08.02.;5;2;2;4;3;2;5.103.648,00       ;4 x               ;22 x           ;242 x           ;2.356 x       ;23.378 x    ;229.589 x    
7.;15.02.;2;5;7;9;3;5;4.681.398,00       ;1 x               ;29 x           ;202 x           ;2.112 x       ;21.013 x    ;205.356 x    
8.;22.02.;6;0;1;4;9;4;4.555.700,00       ;3 x               ;24 x           ;230 x           ;2.102 x       ;21.056 x    ;208.581 x    
9.;29.02.;6;2;8;9;8;3;4.615.510,00       ;unbesetzt;19 x           ;202 x           ;2.167 x       ;20.823 x    ;209.859 x    
10.;07.03.;2;4;9;2;0;1;4.668.026,00       ;2 x               ;21 x           ;219 x           ;1.991 x       ;19.473 x    ;205.022 x    
11.;14.03.;1;5;9;3;2;7;5.100.544,00       ;4 x               ;17 x           ;247 x           ;2.401 x       ;23.667 x    ;235.239 x    
12.;21.03.;0;5;9;8;2;5;6.380.594,00       ;2 x               ;28 x           ;291 x           ;3.009 x       ;29.628 x    ;291.796 x    
13.;28.03.;3;7;6;1;9;2;5.923.362,00       ;4 x               ;24 x           ;295 x           ;2.692 x       ;26.803 x    ;266.416 x    
14.;04.04.;3;7;3;4;8;0;5.293.720,00       ;2 x               ;22 x           ;212 x           ;2.222 x       ;22.148 x    ;221.980 x    
15.;11.04.;4;5;7;7;9;9;4.647.660,00       ;4 x               ;26 x           ;218 x           ;2.146 x       ;21.375 x    ;213.858 x    
16.;18.04.;5;9;9;9;2;0;4.473.354,00       ;unbesetzt;13 x           ;157 x           ;1.954 x       ;18.752 x    ;187.877 x    
17.;25.04.;4;0;9;2;2;7;4.326.706,00       ;2 x               ;19 x           ;201 x           ;2.018 x       ;20.312 x    ;200.682 x    
18.;02.05.;9;8;6;1;5;9;5.053.386,00       ;1 x               ;20 x           ;231 x           ;2.459 x       ;23.529 x    ;233.094 x    
19.;09.05.;1;5;6;4;9;1;6.665.312,00       ;5 x               ;30 x           ;289 x           ;2.930 x       ;29.114 x    ;293.452 x    
20.;16.05.;3;5;3;3;5;9;5.845.916,00       ;4 x               ;19 x           ;272 x           ;2.715 x       ;26.704 x    ;268.178 x    
21.;23.05.;5;9;3;1;9;9;5.472.578,00       ;2 x               ;23 x           ;259 x           ;2.475 x       ;25.318 x    ;247.434 x    
22.;30.05.;1;5;6;8;3;1;5.379.528,00       ;1 x               ;30 x           ;217 x           ;2.365 x       ;23.976 x    ;235.983 x    
23.;06.06.;4;1;1;3;2;5;6.826.526,00       ;1 x               ;35 x           ;334 x           ;3.027 x       ;31.895 x    ;309.450 x    
24.;13.06.;2;4;9;8;1;2;6.421.646,00       ;5 x               ;28 x           ;272 x           ;2.880 x       ;28.987 x    ;284.797 x    
25.;20.06.;5;6;5;4;5;7;6.201.810,00       ;6 x               ;24 x           ;287 x           ;3.023 x       ;28.629 x    ;288.142 x    
26.;27.06.;2;4;0;2;9;2;6.381.254,00       ;4 x               ;21 x           ;264 x           ;2.880 x       ;29.022 x    ;283.177 x    
27.;04.07.;5;4;2;9;4;6;6.323.008,00       ;6 x               ;35 x           ;277 x           ;2.960 x       ;29.492 x    ;290.074 x    
28.;11.07.;9;3;4;7;5;2;6.714.282,00       ;4 x               ;15 x           ;310 x           ;3.168 x       ;29.791 x    ;297.609 x    
29.;18.07.;2;7;2;9;4;1;6.841.200,00       ;3 x               ;41 x           ;340 x           ;3.015 x       ;29.769 x    ;298.703 x    
30.;25.07.;0;7;3;6;4;3;6.963.320,00       ;2 x               ;26 x           ;300 x           ;3.162 x       ;31.821 x    ;316.460 x    
31.;01.08.;6;2;3;2;1;8;6.510.448,00       ;2 x               ;17 x           ;326 x           ;2.993 x       ;30.006 x    ;301.689 x    
32.;08.08.;0;6;5;7;5;8;6.606.718,00       ;3 x               ;24 x           ;322 x           ;3.043 x       ;30.163 x    ;300.254 x    
33.;15.08.;1;0;1;0;9;0;6.478.060,00       ;8 x               ;27 x           ;253 x           ;2.655 x       ;26.752 x    ;269.592 x    
34.;22.08.;9;2;2;9;7;9;6.468.534,00       ;4 x               ;27 x           ;308 x           ;2.955 x       ;29.771 x    ;298.432 x    
35.;29.08.;6;8;9;5;9;2;6.521.274,00       ;3 x               ;27 x           ;317 x           ;3.008 x       ;29.761 x    ;294.483 x    
36.;05.09.;2;4;0;8;9;5;8.591.276,00       ;2 x               ;38 x           ;389 x           ;3.929 x       ;38.184 x    ;383.435 x    
37.;12.09.;0;7;5;3;9;8;7.828.722,00       ;3 x               ;32 x           ;339 x           ;3.645 x       ;36.157 x    ;360.417 x    
38.;19.09.;5;9;8;9;9;5;7.970.936,00       ;3 x               ;34 x           ;400 x           ;3.664 x       ;36.354 x    ;362.372 x    
39.;26.09.;0;2;3;3;4;3;6.969.296,00       ;6 x               ;25 x           ;322 x           ;3.247 x       ;31.934 x    ;316.946 x    
