Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2005;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2005;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;05.01.;MI;3;5;5;6;9;7;4.655.358,75   ;5  x   ;29  x   ;363  x   ;3.436  x   ;34.408  x   ;367.340  x   ;;;;
;08.01.;SA;6;9;6;4;8;2;9.859.418,75   ;7  x   ;65  x   ;644  x   ;6.273  x   ;62.401  x   ;627.567  x   ;;;;
2.;12.01.;MI;5;4;1;2;6;0;3.564.296,25   ;4  x   ;24  x   ;205  x   ;2.073  x   ;20.697  x   ;209.401  x   ;;;;
;15.01.;SA;2;6;9;6;1;0;9.807.712,50   ;7  x   ;46  x   ;551  x   ;5.395  x   ;54.426  x   ;565.639  x   ;;;;
3.;19.01.;MI;4;9;9;6;3;5;3.467.840,00   ;unbesetzt;26  x   ;330  x   ;2.958  x   ;30.444  x   ;281.616  x   ;;;;
;22.01.;SA;7;1;3;5;3;1;9.592.142,50   ;11  x   ;78  x   ;616  x   ;6.271  x   ;63.489  x   ;625.037  x   ;;;;
4.;26.01.;MI;5;6;4;6;2;1;3.733.418,75   ;5  x   ;36  x   ;286  x   ;2.613  x   ;25.449  x   ;247.526  x   ;;;;
;29.01.;SA;5;4;9;3;2;9;10.369.467,50   ;3  x   ;52  x   ;763  x   ;7.541  x   ;74.915  x   ;748.683  x   ;;;;
5.;02.02.;MI;7;7;6;5;6;0;4.636.767,50   ;3  x   ;30  x   ;257  x   ;2.717  x   ;27.521  x   ;275.937  x   ;;;;
;05.02.;SA;8;5;3;1;8;8;9.698.730,00   ;11  x   ;86  x   ;768  x   ;7.998  x   ;81.115  x   ;788.361  x   ;;;;
6.;09.02.;MI;4;4;1;9;2;3;3.656.536,25   ;2  x   ;25  x   ;287  x   ;2.812  x   ;26.890  x   ;267.123  x   ;;;;
;12.02.;SA;4;9;3;5;0;7;9.867.608,75   ;4  x   ;49  x   ;666  x   ;6.637  x   ;67.042  x   ;798.670  x   ;;;;
7.;16.02.;MI;1;6;4;0;5;9;4.543.575,00   ;3  x   ;33  x   ;339  x   ;3.111  x   ;32.935  x   ;318.218  x   ;;;;
;19.02.;SA;4;4;1;5;6;7;9.809.262,50   ;1  x   ;77  x   ;807  x   ;8.114  x   ;78.128  x   ;781.093  x   ;;;;
