Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1996;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;06.01.;2;2;6;4;0;5;15.318.648,00       ;3 x               ;73 x           ;703 x           ;6.662 x       ;67.988 x    ;720.285 x    
2.;13.01.;3;3;3;7;4;0;18.082.480,00       ;6 x               ;76 x           ;774 x           ;7.687 x       ;76.107 x    ;760.691 x    
3.;20.01.;8;9;1;6;1;6;15.523.738,00       ;3 x               ;79 x           ;668 x           ;7.172 x       ;70.943 x    ;714.426 x    
4.;27.01.;9;7;4;3;3;5;15.017.216,00       ;10 x               ;62 x           ;688 x           ;6.762 x       ;68.574 x    ;681.969 x    
5.;03.02.;2;5;0;6;1;6;15.522.068,00       ;10 x               ;63 x           ;704 x           ;7.327 x       ;70.268 x    ;709.474 x    
6.;10.02.;8;2;0;7;9;3;15.256.908,00       ;8 x               ;73 x           ;668 x           ;7.014 x       ;68.494 x    ;697.382 x    
7.;17.02.;9;0;3;1;8;7;14.998.286,00       ;12 x               ;68 x           ;686 x           ;7.077 x       ;69.777 x    ;705.887 x    
8.;24.02.;8;1;7;5;6;6;15.022.588,00       ;10 x               ;78 x           ;638 x           ;6.943 x       ;70.614 x    ;687.617 x    
9.;02.03.;3;4;8;0;2;0;19.426.624,00       ;4 x               ;88 x           ;843 x           ;8.212 x       ;84.427 x    ;839.100 x    
10.;09.03.;7;5;6;8;7;8;15.682.208,00       ;9 x               ;50 x           ;712 x           ;7.116 x       ;70.547 x    ;697.043 x    
11.;16.03.;3;8;0;0;6;2;15.515.006,00       ;8 x               ;64 x           ;688 x           ;6.965 x       ;69.837 x    ;702.408 x    
12.;23.03.;4;7;4;3;2;7;15.272.456,00       ;7 x               ;53 x           ;698 x           ;7.229 x       ;72.073 x    ;717.262 x    
13.;30.03.;1;4;6;4;4;0;16.132.040,00       ;8 x               ;63 x           ;722 x           ;7.043 x       ;71.205 x    ;697.354 x    
14.;06.04.;4;4;0;5;4;4;14.707.098,00       ;5 x               ;63 x           ;689 x           ;6.717 x       ;67.044 x    ;655.114 x    
15.;13.04.;7;7;8;9;0;5;14.669.360,00       ;7 x               ;67 x           ;593 x           ;6.573 x       ;66.240 x    ;700.936 x    
16.;20.04.;7;7;6;4;5;0;14.646.244,00       ;3 x               ;70 x           ;651 x           ;6.484 x       ;64.436 x    ;641.159 x    
17.;27.04.;3;7;6;1;0;6;15.290.952,00       ;2 x               ;77 x           ;626 x           ;6.784 x       ;66.231 x    ;708.006 x    
18.;04.05.;0;1;6;3;7;6;14.500.592,00       ;8 x               ;71 x           ;603 x           ;6.544 x       ;65.119 x    ;652.900 x    
19.;11.05.;2;3;8;0;5;4;15.361.242,00       ;10 x               ;72 x           ;722 x           ;6.883 x       ;69.317 x    ;684.752 x    
20.;18.05.;1;1;8;6;1;8;14.139.588,00       ;7 x               ;61 x           ;649 x           ;6.596 x       ;63.851 x    ;642.160 x    
21.;25.05.;0;7;1;0;0;3;14.394.222,00       ;7 x               ;64 x           ;587 x           ;5.853 x       ;62.070 x    ;656.953 x    
22.;01.06.;2;1;6;6;2;0;14.216.496,00       ;10 x               ;61 x           ;607 x           ;6.085 x       ;62.386 x    ;622.342 x    
23.;08.06.;3;5;2;8;3;0;13.829.768,00       ;5 x               ;51 x           ;573 x           ;5.934 x       ;59.337 x    ;595.981 x    
24.;15.06.;5;7;6;0;3;7;14.822.760,00       ;11 x               ;66 x           ;688 x           ;7.013 x       ;69.729 x    ;693.333 x    
25.;22.06.;4;9;8;1;3;1;15.439.138,00       ;9 x               ;76 x           ;635 x           ;6.639 x       ;66.580 x    ;666.627 x    
26.;29.06.;2;8;7;5;3;3;14.460.390,00       ;8 x               ;52 x           ;673 x           ;6.434 x       ;65.413 x    ;649.576 x    
27.;06.07.;1;0;7;0;9;5;15.108.726,00       ;7 x               ;60 x           ;700 x           ;6.956 x       ;70.334 x    ;711.282 x    
28.;13.07.;0;0;8;0;7;9;14.554.994,00       ;12 x               ;56 x           ;660 x           ;6.527 x       ;65.365 x    ;653.069 x    
29.;20.07.;1;5;0;8;7;8;14.297.814,00       ;2 x               ;67 x           ;625 x           ;6.432 x       ;65.503 x    ;650.499 x    
30.;27.07.;0;1;1;1;2;3;14.271.124,00       ;2 x               ;60 x           ;696 x           ;6.696 x       ;64.767 x    ;641.027 x    
31.;03.08.;0;4;0;4;2;8;14.386.166,00       ;unbesetzt;71 x           ;648 x           ;6.688 x       ;65.489 x    ;650.279 x    
32.;10.08.;6;6;0;2;0;4;14.776.392,00       ;7 x               ;67 x           ;616 x           ;6.344 x       ;62.745 x    ;665.177 x    
33.;17.08.;9;1;7;7;4;8;14.329.256,00       ;7 x               ;63 x           ;671 x           ;6.557 x       ;66.416 x    ;650.965 x    
34.;24.08.;3;0;1;5;4;5;14.030.916,00       ;8 x               ;53 x           ;697 x           ;6.778 x       ;66.775 x    ;660.234 x    
35.;31.08.;2;0;9;4;7;0;14.440.818,00       ;9 x               ;58 x           ;571 x           ;6.149 x       ;61.596 x    ;624.165 x    
36.;07.09.;9;6;2;5;8;2;17.147.202,00       ;4 x               ;75 x           ;762 x           ;7.588 x       ;75.199 x    ;756.967 x    
37.;14.09.;5;4;4;8;1;8;15.510.868,00       ;8 x               ;63 x           ;669 x           ;7.100 x       ;70.316 x    ;702.364 x    
38.;21.09.;4;1;7;6;8;6;14.921.924,00       ;12 x               ;47 x           ;671 x           ;6.929 x       ;68.633 x    ;691.366 x    
39.;28.09.;7;7;2;4;6;8;15.161.016,00       ;3 x               ;79 x           ;705 x           ;6.857 x       ;68.976 x    ;690.879 x    
40.;05.10.;1;5;3;9;0;4;15.026.324,00       ;8 x               ;57 x           ;603 x           ;6.368 x       ;63.910 x    ;674.043 x    
41.;12.10.;0;7;5;0;3;9;15.351.112,00       ;6 x               ;54 x           ;728 x           ;7.027 x       ;70.200 x    ;694.118 x    
42.;19.10.;0;4;3;7;5;3;15.272.008,00       ;7 x               ;64 x           ;661 x           ;6.881 x       ;68.904 x    ;686.800 x    
43.;26.10.;7;7;4;8;9;1;15.428.182,00       ;5 x               ;72 x           ;664 x           ;6.577 x       ;64.331 x    ;655.427 x    
44.;02.11.;6;3;8;9;4;7;15.536.338,00       ;9 x               ;81 x           ;760 x           ;7.353 x       ;73.634 x    ;734.745 x    
45.;09.11.;9;4;1;1;4;8;16.573.546,00       ;11 x               ;75 x           ;754 x           ;8.061 x       ;78.210 x    ;771.932 x    
46.;16.11.;3;2;8;9;7;2;17.784.204,00       ;8 x               ;59 x           ;790 x           ;8.008 x       ;78.618 x    ;778.377 x    
47.;23.11.;6;1;9;6;9;5;19.126.992,00       ;5 x               ;96 x           ;907 x           ;8.938 x       ;90.732 x    ;908.502 x    
48.;30.11.;8;9;1;9;3;1;15.776.574,00       ;5 x               ;55 x           ;626 x           ;6.590 x       ;66.146 x    ;654.254 x    
49.;07.12.;5;1;8;2;6;8;19.360.134,00       ;10 x               ;88 x           ;929 x           ;9.193 x       ;90.855 x    ;898.912 x    
50.;14.12.;0;1;7;5;6;0;16.646.808,00       ;6 x               ;69 x           ;697 x           ;7.004 x       ;69.670 x    ;699.808 x    
