SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
15.;10.04.;MI;3;7;7;6;6;1;2.669.962,50   ;2  x   ;23  x   ;167  x   ;1.635  x   ;16.825  x   ;162.811  x   ;;;;;;;;;;;;;
;13.04.;SA;8;8;2;6;1;6;6.109.262,50   ;4  x   ;42  x   ;462  x   ;4.719  x   ;44.313  x   ;476.426  x   ;;;;;;;;;;;;;
16.;17.04.;MI;9;5;9;6;0;6;2.596.245,00   ;4  x   ;24  x   ;182  x   ;1.906  x   ;17.134  x   ;205.121  x   ;;;;;;;;;;;;;
;20.04.;SA;4;6;7;4;0;4;6.041.681,25   ;4  x   ;39  x   ;402  x   ;3.891  x   ;36.466  x   ;411.940  x   ;;;;;;;;;;;;;
17.;24.04.;MI;5;3;9;0;2;5;2.633.331,25   ;3  x   ;18  x   ;182  x   ;2.101  x   ;22.400  x   ;221.323  x   ;;;;;;;;;;;;;
;27.04.;SA;5;0;8;7;5;8;6.176.733,75   ;5  x   ;54  x   ;557  x   ;5.175  x   ;51.292  x   ;487.149  x   ;;;;;;;;;;;;;
18.;01.05.;MI;3;8;5;7;7;2;2.778.910,00   ;unbesetzt;10  x   ;171  x   ;1.833  x   ;18.358  x   ;182.308  x   ;;;;;;;;;;;;;
;04.05.;SA;2;1;2;1;3;2;6.612.142,50   ;8  x   ;40  x   ;435  x   ;4.315  x   ;43.416  x   ;437.601  x   ;;;;;;;;;;;;;
19.;08.05.;MI;9;7;6;3;6;1;2.688.638,75   ;2  x   ;23  x   ;190  x   ;1.666  x   ;16.985  x   ;163.448  x   ;;;;;;;;;;;;;
;11.05.;SA;7;1;3;5;5;8;6.013.203,75   ;9  x   ;47  x   ;521  x   ;4.964  x   ;51.976  x   ;484.518  x   ;;;;;;;;;;;;;
20.;15.05.;MI;8;0;2;4;8;6;2.529.438,75   ;2  x   ;16  x   ;166  x   ;1.869  x   ;18.708  x   ;196.209  x   ;;;;;;;;;;;;;
