Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1993
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;Spieleinsatz;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1993;Gewinnzahl;;;;;End-;DM;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;09.01.;6;4;4;4;2;7;12.094.888,00       ;9 x               ;59 x           ;546 x           ;5.685 x       ;56.420 x    ;559.439 x    
2.;16.01.;9;9;5;8;7;2;15.667.610,00       ;6 x               ;58 x           ;656 x           ;7.214 x       ;71.046 x    ;705.529 x    
3.;23.01.;4;6;1;2;1;4;12.114.112,00       ;3 x               ;49 x           ;557 x           ;5.517 x       ;54.096 x    ;548.519 x    
4.;30.01.;9;0;3;9;0;0;11.969.094,00       ;7 x               ;41 x           ;510 x           ;5.107 x       ;51.209 x    ;510.289 x    
5.;06.02.;9;5;6;5;8;0;12.385.564,00       ;8 x               ;40 x           ;534 x           ;5.203 x       ;51.829 x    ;523.515 x    
6.;13.02.;4;4;0;3;2;0;11.907.558,00       ;5 x               ;48 x           ;490 x           ;4.777 x       ;48.895 x    ;489.234 x    
7.;20.02.;2;7;3;4;4;3;11.747.932,00       ;4 x               ;62 x           ;510 x           ;5.162 x       ;52.091 x    ;517.044 x    
8.;27.02.;2;2;1;2;0;7;11.769.506,00       ;5 x               ;59 x           ;507 x           ;5.180 x       ;51.955 x    ;547.532 x    
9.;06.03.;2;8;6;0;7;3;13.458.736,00       ;4 x               ;56 x           ;606 x           ;5.985 x       ;61.068 x    ;610.675 x    
10.;13.03.;9;1;8;6;1;5;12.274.970,00       ;5 x               ;55 x           ;583 x           ;5.713 x       ;55.779 x    ;560.597 x    
11.;20.03.;8;5;6;7;4;2;11.784.476,00       ;7 x               ;38 x           ;551 x           ;5.443 x       ;53.257 x    ;528.127 x    
12.;27.03.;7;1;8;5;7;1;12.138.014,00       ;6 x               ;59 x           ;595 x           ;5.485 x       ;53.134 x    ;533.016 x    
13.;03.04.;9;2;6;0;7;4;12.248.434,00       ;4 x               ;56 x           ;529 x           ;5.437 x       ;56.229 x    ;558.639 x    
14.;10.04.;0;9;7;6;8;8;11.382.532,00       ;4 x               ;59 x           ;506 x           ;5.291 x       ;52.178 x    ;520.374 x    
15.;17.04.;0;9;7;1;1;8;11.428.178,00       ;10 x               ;58 x           ;509 x           ;5.043 x       ;51.196 x    ;506.881 x    
16.;24.04.;5;0;2;0;9;3;11.410.238,00       ;7 x               ;46 x           ;522 x           ;5.037 x       ;50.562 x    ;505.309 x    
17.;01.05.;6;4;2;5;2;0;11.669.316,00       ;4 x               ;66 x           ;529 x           ;5.078 x       ;50.551 x    ;508.957 x    
