Super 6 Samstag / Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Kalenderwoche 2000;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;
KW;2000;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM;;
;;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;
32.;12.08.;;2;6;3;8;7;2;20.271.830,00       ;5  x  ;106  x  ;815  x  ;8.680  x  ;85.896  x  ;852.988  x  ;;948.490
33.;19.08.;;5;9;2;5;7;2;17.991.134,00       ;11  x  ;75  x  ;735  x  ;7.595  x  ;76.263  x  ;749.606  x  ;;834.285
34.;26.08.;;0;8;3;2;5;1;18.102.334,00       ;13  x  ;88  x  ;755  x  ;6.981  x  ;72.167  x  ;702.870  x  ;;782.874
35.;02.09.;;4;9;9;7;7;3;20.084.074,00       ;15  x  ;91  x  ;948  x  ;9.009  x  ;94.490  x  ;954.851  x  ;;1.059.404
36.;09.09.;;0;9;9;4;1;8;18.587.994,00       ;13  x  ;108  x  ;960  x  ;9.492  x  ;95.632  x  ;980.281  x  ;;1.086.486
37.;16.09.;;4;1;5;8;2;5;19.118.058,00       ;8  x  ;96  x  ;920  x  ;9.026  x  ;91.234  x  ;894.865  x  ;;996.149
38.;23.09.;;8;4;4;9;6;0;20.062.986,00       ;11  x  ;79  x  ;776  x  ;7.743  x  ;76.911  x  ;761.167  x  ;;846.687
39.;30.09.;;6;5;0;4;6;1;18.299.880,00       ;2  x  ;87  x  ;680  x  ;7.308  x  ;71.121  x  ;712.842  x  ;;792.040
40.;07.10.;;0;6;6;7;5;7;17.893.908,00       ;3  x  ;87  x  ;847  x  ;8.679  x  ;86.605  x  ;867.138  x  ;;963.359
41.;14.10.;;6;6;2;9;3;9;19.040.938,00       ;14  x  ;81  x  ;944  x  ;9.029  x  ;91.391  x  ;885.443  x  ;;986.902
42.;21.10.;;8;1;1;1;5;8;18.067.128,00       ;14  x  ;76  x  ;988  x  ;9.674  x  ;98.817  x  ;949.014  x  ;;1.058.583
43.;28.10.;;4;1;0;0;4;8;17.931.108,00       ;10  x  ;81  x  ;853  x  ;9.446  x  ;98.960  x  ;941.708  x  ;;1.051.058
44.;04.11.;;3;7;7;0;1;5;19.320.446,00       ;9  x  ;91  x  ;850  x  ;8.459  x  ;88.937  x  ;906.225  x  ;;1.004.571
45.;11.11.;;4;4;8;8;3;6;19.195.654,00       ;13  x  ;93  x  ;916  x  ;9.088  x  ;89.590  x  ;878.385  x  ;;978.085
46.;18.11.;;2;8;2;7;3;2;18.181.166,00       ;13  x  ;96  x  ;772  x  ;7.679  x  ;76.273  x  ;753.095  x  ;;837.928
47.;25.11.;;7;1;3;7;3;1;18.088.616,00       ;12  x  ;64  x  ;736  x  ;7.143  x  ;70.994  x  ;700.222  x  ;;779.171
48.;02.12.;;0;8;3;8;0;7;19.351.108,00       ;8  x  ;94  x  ;796  x  ;8.294  x  ;83.229  x  ;955.922  x  ;;1.048.343
49.;06.12.;MI;0;3;6;1;2;2;4.802.562,00       ;4  x  ;24  x  ;195  x  ;2.103  x  ;20.539  x  ;195.890  x  ;;218.755
;09.12.;SA;7;2;8;2;2;9;20.258.438,00       ;8  x  ;83  x  ;963  x  ;9.164  x  ;95.456  x  ;955.686  x  ;;1.061.360
50.;13.12.;MI;3;2;4;7;0;5;4.496.088,00       ;2  x  ;21  x  ;213  x  ;1.930  x  ;19.560  x  ;221.599  x  ;;243.325
;16.12.;SA;2;0;3;3;5;3;18.743.742,00       ;4  x  ;91  x  ;872  x  ;8.914  x  ;88.905  x  ;880.098  x  ;;978.884
51.;20.12.;MI;5;0;9;5;8;9;4.732.910,00       ;1  x  ;25  x  ;229  x  ;2.198  x  ;21.563  x  ;218.623  x  ;;242.639
;23.12.;SA;9;9;1;0;8;6;20.723.508,00       ;13  x  ;91  x  ;930  x  ;9.138  x  ;95.372  x  ;959.664  x  ;;1.065.208
52.;27.12.;MI;1;7;6;0;2;5;4.313.088,00       ;2  x  ;23  x  ;190  x  ;2.041  x  ;22.039  x  ;210.114  x  ;;234.409
;30.12.;SA;1;0;9;3;0;9;19.768.414,00       ;10  x  ;69  x  ;812  x  ;8.314  x  ;83.081  x  ;944.642  x  ;;1.036.928
;;;;;;;;Gewinne Gesamt;;495   ;4.615   ;45.628   ;455.414   ;4.601.888   ;46.175.583   ;;51.283.623
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
