Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2008;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2008;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;02.01.;MI;1;2;5;2;8;3;3.673.630,00   ;2  x   ;30  x   ;265  x   ;2.620  x   ;25.299  x   ;267.040  x   ;;;;
;05.01.;SA;8;8;9;5;9;7;8.641.948,75   ;9  x   ;70  x   ;674  x   ;6.554  x   ;65.823  x   ;694.661  x   ;;;;
2.;09.01.;MI;6;8;4;8;9;9;3.826.541,25   ;4  x   ;20  x   ;253  x   ;2.606  x   ;27.016  x   ;268.550  x   ;;;;
;12.01.;SA;9;6;8;8;5;2;8.965.327,50   ;7  x   ;65  x   ;623  x   ;6.123  x   ;60.159  x   ;567.847  x   ;;;;
3.;16.01.;MI;0;4;4;4;0;5;3.558.593,75   ;2  x   ;25  x   ;253  x   ;2.607  x   ;25.637  x   ;310.534  x   ;;;;
;19.01.;SA;5;8;3;2;9;3;8.521.735,00   ;13  x   ;56  x   ;560  x   ;5.725  x   ;56.855  x   ;615.086  x   ;;;;
4.;23.01.;MI;6;9;7;7;9;5;3.692.113,75   ;7  x   ;27  x   ;319  x   ;3.005  x   ;29.226  x   ;320.493  x   ;;;;
;26.01.;SA;5;5;7;1;9;8;8.721.200,00   ;5  x   ;71  x   ;738  x   ;6.843  x   ;68.978  x   ;729.373  x   ;;;;
5.;30.01.;MI;9;3;5;3;0;7;4.226.657,50   ;4  x   ;39  x   ;281  x   ;2.901  x   ;29.812  x   ;332.664  x   ;;;;
;02.02.;SA;3;4;0;8;4;7;9.527.902,50   ;5  x   ;95  x   ;819  x   ;8.068  x   ;79.654  x   ;755.360  x   ;;;;
6.;06.02.;MI;5;3;3;4;7;0;4.851.140,00   ;3  x   ;28  x   ;292  x   ;2.717  x   ;28.064  x   ;282.608  x   ;;;;
;09.02.;SA;4;8;2;8;1;4;10.275.665,00   ;9  x   ;73  x   ;703  x   ;7.029  x   ;70.238  x   ;711.896  x   ;;;;
7.;13.02.;MI;8;6;3;1;4;6;3.743.913,75   ;2  x   ;31  x   ;285  x   ;2.956  x   ;29.614  x   ;284.170  x   ;;;;
;16.02.;SA;6;4;4;1;6;7;8.647.915,00   ;7  x   ;71  x   ;668  x   ;6.827  x   ;69.425  x   ;696.443  x   ;;;;
8.;20.02.;MI;7;6;6;4;7;2;3.506.070,00   ;3  x   ;24  x   ;223  x   ;2.238  x   ;22.214  x   ;223.198  x   ;;;;
;23.02.;SA;6;8;9;4;4;6;8.446.613,75   ;8  x   ;68  x   ;626  x   ;6.290  x   ;66.076  x   ;628.480  x   ;;;;
9.;27.02.;MI;4;7;6;4;6;1;3.703.880,00   ;1  x   ;33  x   ;248  x   ;2.454  x   ;24.408  x   ;238.183  x   ;;;;
;01.03.;SA;8;0;5;3;4;7;8.451.797,50   ;13  x   ;72  x   ;777  x   ;7.409  x   ;72.778  x   ;686.213  x   ;;;;
10.;05.03.;MI;3;2;4;7;3;4;3.609.516,25   ;1  x   ;21  x   ;286  x   ;2.646  x   ;25.726  x   ;250.787  x   ;;;;
;08.03.;SA;0;3;7;0;9;6;8.329.366,25   ;7  x   ;61  x   ;569  x   ;5.897  x   ;60.647  x   ;628.188  x   ;;;;
11.;12.03.;MI;5;8;1;1;4;3;3.551.036,25   ;1  x   ;30  x   ;283  x   ;2.617  x   ;25.125  x   ;257.294  x   ;;;;
;15.03.;SA;5;2;0;2;7;7;8.550.308,75   ;9  x   ;63  x   ;712  x   ;7.395  x   ;77.357  x   ;700.176  x   ;;;;
12.;19.03.;MI;1;6;1;1;3;9;3.466.408,75   ;1  x   ;30  x   ;234  x   ;2.368  x   ;23.769  x   ;238.560  x   ;;;;
;22.03.;SA;1;8;1;0;9;7;8.379.671,25   ;8  x   ;55  x   ;623  x   ;6.261  x   ;67.780  x   ;699.495  x   ;;;;
13.;26.03.;MI;1;2;9;9;2;5;3.473.100,00   ;2  x   ;29  x   ;254  x   ;2.918  x   ;29.642  x   ;288.746  x   ;;;;
;29.03.;SA;4;3;9;3;7;5;8.760.006,25   ;5  x   ;78  x   ;759  x   ;7.807  x   ;75.052  x   ;727.549  x   ;;;;
14.;02.04.;MI;6;7;9;2;4;8;3.441.203,75   ;3  x   ;29  x   ;291  x   ;2.918  x   ;29.588  x   ;274.893  x   ;;;;
;05.04.;SA;9;5;2;2;4;4;8.375.085,00   ;10  x   ;58  x   ;587  x   ;5.660  x   ;59.615  x   ;570.197  x   ;;;;
15.;09.04.;MI;6;3;8;1;5;5;3.591.361,25   ;3  x   ;35  x   ;325  x   ;3.310  x   ;34.391  x   ;300.138  x   ;;;;
;12.04.;SA;2;8;1;8;8;5;8.158.613,75   ;8  x   ;64  x   ;611  x   ;6.525  x   ;67.204  x   ;697.142  x   ;;;;
16.;16.04.;MI;6;7;9;9;0;3;3.466.368,75   ;2  x   ;23  x   ;177  x   ;2.129  x   ;21.361  x   ;253.893  x   ;;;;
;19.04.;SA;0;2;2;7;5;6;8.074.093,75   ;5  x   ;44  x   ;680  x   ;6.709  x   ;64.887  x   ;600.703  x   ;;;;
17.;23.04.;MI;8;0;1;0;3;1;3.230.455,00   ;3  x   ;17  x   ;211  x   ;2.065  x   ;21.124  x   ;204.085  x   ;;;;
;26.04.;SA;1;8;1;4;6;3;8.000.170,00   ;9  x   ;50  x   ;579  x   ;5.648  x   ;57.801  x   ;570.660  x   ;;;;
18.;30.04.;MI;1;1;1;0;1;3;3.321.581,25   ;7  x   ;39  x   ;248  x   ;2.790  x   ;28.616  x   ;236.184  x   ;;;;
;03.05.;SA;0;8;4;2;0;9;7.995.495,00   ;8  x   ;53  x   ;440  x   ;4.809  x   ;49.116  x   ;572.983  x   ;;;;
19.;07.05.;MI;4;4;9;5;7;5;3.432.802,50   ;2  x   ;36  x   ;311  x   ;3.126  x   ;30.831  x   ;296.692  x   ;;;;
;10.05.;SA;8;8;5;5;8;1;8.492.933,75   ;8  x   ;56  x   ;516  x   ;5.211  x   ;52.815  x   ;536.936  x   ;;;;
20.;14.05.;MI;8;2;8;5;4;3;3.844.342,50   ;3  x   ;34  x   ;272  x   ;2.909  x   ;28.000  x   ;283.988  x   ;;;;
;17.05.;SA;9;6;0;4;3;8;7.985.035,00   ;11  x   ;78  x   ;714  x   ;6.866  x   ;66.030  x   ;654.234  x   ;;;;
21.;21.05.;MI;8;3;6;2;8;1;3.443.245,00   ;2  x   ;20  x   ;207  x   ;2.183  x   ;21.626  x   ;219.685  x   ;;;;
;24.05.;SA;6;4;8;1;5;4;8.093.520,00   ;7  x   ;56  x   ;587  x   ;5.876  x   ;58.418  x   ;547.131  x   ;;;;
22.;28.05.;MI;9;8;9;9;4;7;3.672.740,00   ;8  x   ;25  x   ;304  x   ;3.151  x   ;31.243  x   ;298.472  x   ;;;;
;31.05.;SA;9;4;3;7;2;7;7.952.511,25   ;11  x   ;69  x   ;744  x   ;7.317  x   ;69.430  x   ;666.572  x   ;;;;
23.;04.06.;MI;4;8;7;2;8;7;3.235.690,00   ;1  x   ;24  x   ;237  x   ;2.468  x   ;25.173  x   ;269.110  x   ;;;;
;07.06.;SA;0;9;4;3;9;3;8.069.091,25   ;7  x   ;48  x   ;545  x   ;5.509  x   ;54.645  x   ;586.300  x   ;;;;
24.;11.06.;MI;5;5;7;4;4;3;3.495.677,50   ;3  x   ;24  x   ;248  x   ;2.554  x   ;26.321  x   ;258.825  x   ;;;;
;14.06.;SA;5;2;0;0;8;8;8.492.856,25   ;10  x   ;55  x   ;662  x   ;6.573  x   ;72.274  x   ;690.073  x   ;;;;
25.;18.06.;MI;7;4;9;3;3;6;3.288.222,50   ;4  x   ;24  x   ;263  x   ;2.430  x   ;25.813  x   ;247.728  x   ;;;;
;21.06.;SA;8;7;8;5;3;6;7.942.102,50   ;8  x   ;49  x   ;625  x   ;6.182  x   ;61.616  x   ;589.483  x   ;;;;
26.;25.06.;MI;0;8;3;0;8;5;3.181.717,50   ;4  x   ;20  x   ;252  x   ;2.597  x   ;26.116  x   ;278.346  x   ;;;;
;28.06.;SA;0;4;2;3;4;5;7.881.777,50   ;14  x   ;65  x   ;737  x   ;7.240  x   ;68.699  x   ;673.635  x   ;;;;
;;;;;;;Gewinne Gesamt;;;299   ;2.360   ;23.700   ;237.636   ;2.389.127   ;23.781.682   ;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2008;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2008;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;02.07.;MI;1;8;7;2;2;6;3.428.322,50   ;2  x   ;12  x   ;247  x   ;2.413  x   ;25.910  x   ;260.892  x   ;;;;
;05.07.;SA;8;2;0;2;4;2;7.857.857,50   ;3  x   ;56  x   ;550  x   ;4.990  x   ;50.554  x   ;498.788  x   ;;;;
28.;09.07.;MI;7;8;0;5;5;2;3.224.596,25   ;5  x   ;18  x   ;214  x   ;2.060  x   ;21.379  x   ;201.728  x   ;;;;
;12.07.;SA;2;8;0;2;3;3;7.967.851,25   ;7  x   ;60  x   ;554  x   ;5.582  x   ;58.211  x   ;576.174  x   ;;;;
29.;16.07.;MI;2;4;1;9;3;5;3.190.782,50   ;6  x   ;39  x   ;287  x   ;3.041  x   ;30.045  x   ;276.383  x   ;;;;
;19.07.;SA;0;2;1;7;0;5;7.882.998,75   ;5  x   ;62  x   ;600  x   ;5.640  x   ;57.043  x   ;695.577  x   ;;;;
30.;23.07.;MI;5;8;9;6;6;0;3.390.042,50   ;3  x   ;20  x   ;201  x   ;1.933  x   ;19.061  x   ;190.172  x   ;;;;
;26.07.;SA;4;3;6;8;8;1;7.653.021,25   ;4  x   ;50  x   ;461  x   ;4.621  x   ;47.627  x   ;476.509  x   ;;;;
31.;30.07.;MI;1;7;1;1;6;9;3.247.988,75   ;4  x   ;18  x   ;219  x   ;2.314  x   ;22.861  x   ;219.391  x   ;;;;
;02.08.;SA;2;5;9;8;7;0;8.095.915,00   ;4  x   ;51  x   ;443  x   ;4.349  x   ;44.382  x   ;447.041  x   ;;;;
32.;06.08.;MI;3;4;3;9;0;0;3.200.805,00   ;3  x   ;23  x   ;200  x   ;1.995  x   ;20.877  x   ;179.525  x   ;;;;
