SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2014
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
KW;2014;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;01.01.;MI;4;2;6;1;9;2;2.738.783,75   ;3  x   ;17  x   ;181  x   ;1.720  x   ;17.332  x   ;184.840  x   
;04.01.;SA;5;8;3;3;7;5;5.848.010,00   ;5  x   ;46  x   ;535  x   ;5.402  x   ;53.088  x   ;499.593  x   
2.;08.01.;MI;6;8;7;2;5;1;2.584.845,00   ;7  x   ;13  x   ;177  x   ;1.636  x   ;16.367  x   ;159.719  x   
;11.01.;SA;7;2;8;9;7;2;5.956.873,75   ;6  x   ;32  x   ;403  x   ;4.101  x   ;39.811  x   ;396.567  x   
3.;15.01.;MI;4;5;2;7;7;1;2.815.163,75   ;2  x   ;24  x   ;196  x   ;1.721  x   ;17.036  x   ;177.255  x   
;18.01.;SA;9;6;6;5;7;2;6.200.447,50   ;6  x   ;48  x   ;483  x   ;4.155  x   ;42.117  x   ;415.338  x   
4.;22.01.;MI;1;2;6;3;5;1;3.071.718,75   ;7  x   ;12  x   ;214  x   ;2.017  x   ;19.932  x   ;193.423  x   
;25.01.;SA;7;4;7;9;3;5;6.579.735,00   ;6  x   ;69  x   ;582  x   ;5.555  x   ;56.169  x   ;565.197  x   
5.;29.01.;MI;3;4;9;9;0;0;3.476.417,50   ;3  x   ;22  x   ;236  x   ;2.111  x   ;21.530  x   ;188.779  x   
;01.02.;SA;4;4;8;1;5;0;5.913.372,50   ;3  x   ;35  x   ;337  x   ;3.295  x   ;33.698  x   ;309.616  x   
