Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
KW;2003;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;01.01.;MI;2;5;0;2;9;8;3.736.986,25   ;2  x   ;22  x   ;294  x   ;2.857  x   ;28.157  x   ;294.574  x   
;04.01.;SA;6;4;7;7;6;5;10.582.397,50   ;7  x   ;106  x   ;915  x   ;9.250  x   ;89.129  x   ;870.308  x   
2.;08.01.;MI;9;8;1;2;6;2;3.301.596,25   ;2  x   ;21  x   ;192  x   ;2.176  x   ;20.798  x   ;207.696  x   
;11.01.;SA;0;7;4;2;3;0;10.404.668,75   ;12  x   ;70  x   ;582  x   ;5.935  x   ;58.271  x   ;594.008  x   
3.;15.01.;MI;1;1;2;3;1;6;3.443.590,00   ;3  x   ;23  x   ;260  x   ;2.563  x   ;25.508  x   ;263.942  x   
;18.01.;SA;1;3;4;2;0;4;10.807.242,50   ;4  x   ;71  x   ;673  x   ;6.608  x   ;66.006  x   ;750.015  x   
4.;22.01.;MI;9;8;1;9;3;8;4.089.421,25   ;3  x   ;37  x   ;349  x   ;3.415  x   ;32.883  x   ;321.780  x   
;25.01.;SA;1;1;7;4;1;5;12.575.445,00   ;10  x   ;112  x   ;1.009  x   ;10.049  x   ;99.791  x   ;1.022.506  x   
5.;29.01.;MI;3;7;6;4;0;5;3.935.990,00   ;2  x   ;27  x   ;269  x   ;2.679  x   ;27.485  x   ;323.388  x   
;01.02.;SA;5;6;7;2;1;8;11.619.468,75   ;6  x   ;92  x   ;931  x   ;9.393  x   ;92.014  x   ;954.945  x   
6.;05.02.;MI;7;0;7;5;4;6;3.724.947,50   ;5  x   ;34  x   ;319  x   ;2.989  x   ;29.858  x   ;281.724  x   
;08.02.;SA;0;4;1;4;4;7;10.717.365,00   ;4  x   ;77  x   ;863  x   ;8.016  x   ;84.064  x   ;814.781  x   
7.;12.02.;MI;9;0;0;3;6;2;3.547.253,75   ;1  x   ;16  x   ;218  x   ;2.253  x   ;22.823  x   ;224.916  x   
;15.02.;SA;1;9;9;1;0;6;10.850.283,75   ;8  x   ;75  x   ;704  x   ;7.102  x   ;71.382  x   ;837.003  x   
8.;19.02.;MI;0;5;8;5;1;1;3.387.193,75   ;unbesetzt;34  x   ;230  x   ;2.403  x   ;24.069  x   ;226.269  x   
;22.02.;SA;0;3;9;9;7;0;10.461.978,75   ;8  x   ;57  x   ;630  x   ;5.891  x   ;58.099  x   ;595.249  x   
9.;26.02.;MI;7;2;5;2;4;6;3.336.032,50   ;3  x   ;43  x   ;324  x   ;2.844  x   ;28.490  x   ;258.252  x   
;01.03.;SA;9;6;2;6;8;0;10.422.141,25   ;3  x   ;57  x   ;559  x   ;5.901  x   ;59.745  x   ;597.525  x   
10.;05.03.;MI;4;6;2;8;4;8;3.334.362,50   ;6  x   ;23  x   ;320  x   ;2.917  x   ;28.744  x   ;270.948  x   
;08.03.;SA;0;0;6;3;3;3;10.379.341,25   ;6  x   ;93  x   ;833  x   ;8.479  x   ;76.734  x   ;788.948  x   
11.;12.03.;MI;5;7;5;2;7;9;3.339.868,75   ;4  x   ;14  x   ;221  x   ;2.329  x   ;22.635  x   ;233.969  x   
;15.03.;SA;6;9;6;6;5;4;10.292.751,25   ;12  x   ;70  x   ;738  x   ;7.449  x   ;73.216  x   ;699.558  x   
12.;19.03.;MI;7;8;9;6;1;2;3.410.523,75   ;1  x   ;18  x   ;230  x   ;2.233  x   ;22.175  x   ;214.313  x   
;22.03.;SA;5;2;1;5;3;5;10.419.795,00   ;15  x   ;83  x   ;905  x   ;8.584  x   ;87.804  x   ;848.929  x   
13.;26.03.;MI;2;8;9;2;8;0;3.843.631,25   ;3  x   ;15  x   ;224  x   ;2.221  x   ;22.786  x   ;228.794  x   
;29.03.;SA;5;1;9;2;4;8;10.162.197,50   ;14  x   ;80  x   ;888  x   ;9.134  x   ;91.325  x   ;852.166  x   
14.;02.04.;MI;1;9;9;7;3;3;3.573.737,50   ;3  x   ;33  x   ;275  x   ;2.667  x   ;27.777  x   ;267.986  x   
;05.04.;SA;8;6;9;1;1;9;10.535.037,50   ;13  x   ;69  x   ;706  x   ;7.202  x   ;74.559  x   ;764.764  x   
15.;09.04.;MI;9;3;5;2;8;0;3.371.800,00   ;2  x   ;19  x   ;210  x   ;2.039  x   ;20.199  x   ;200.836  x   
;12.04.;SA;5;9;0;8;9;9;10.137.491,25   ;7  x   ;65  x   ;751  x   ;7.475  x   ;74.889  x   ;732.034  x   
16.;16.04.;MI;5;7;3;8;1;2;3.305.038,75   ;5  x   ;27  x   ;238  x   ;2.095  x   ;21.551  x   ;207.020  x   
;19.04.;SA;4;7;9;6;8;9;10.058.902,50   ;6  x   ;70  x   ;727  x   ;7.465  x   ;73.302  x   ;732.245  x   
17.;23.04.;MI;8;2;8;6;5;3;3.206.318,75   ;1  x   ;31  x   ;279  x   ;2.359  x   ;24.298  x   ;239.990  x   
;26.04.;SA;8;4;2;7;2;2;10.191.870,00   ;7  x   ;54  x   ;654  x   ;6.308  x   ;64.797  x   ;635.701  x   
18.;30.04.;MI;2;7;7;5;4;7;4.008.606,25   ;5  x   ;21  x   ;308  x   ;3.063  x   ;31.575  x   ;307.350  x   
;03.05.;SA;1;7;3;1;6;8;10.758.986,25   ;10  x   ;84  x   ;970  x   ;9.266  x   ;91.343  x   ;897.053  x   
19.;07.05.;MI;6;1;1;6;2;1;3.336.065,00   ;5  x   ;18  x   ;208  x   ;2.307  x   ;22.985  x   ;221.499  x   
;10.05.;SA;5;6;0;2;6;0;10.048.595,00   ;8  x   ;50  x   ;576  x   ;5.939  x   ;58.486  x   ;586.645  x   
20.;14.05.;MI;8;0;7;7;0;3;3.343.058,75   ;4  x   ;19  x   ;216  x   ;2.122  x   ;21.563  x   ;254.301  x   
;17.05.;SA;2;4;6;8;1;4;10.171.372,50   ;3  x   ;73  x   ;730  x   ;6.845  x   ;67.611  x   ;694.567  x   
21.;21.05.;MI;1;7;6;2;5;9;3.800.158,75   ;1  x   ;21  x   ;257  x   ;2.663  x   ;26.734  x   ;267.181  x   
;24.05.;SA;3;9;3;6;6;1;10.885.647,50   ;9  x   ;78  x   ;695  x   ;6.635  x   ;69.951  x   ;697.173  x   
22.;28.05.;MI;3;5;0;4;2;1;3.357.371,25   ;1  x   ;24  x   ;237  x   ;2.344  x   ;23.847  x   ;226.446  x   
