Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1998;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;03.01.;2;4;0;2;3;7;17.407.756,00       ;11  x  ;90  x  ;772  x  ;8.604  x  ;84.319  x  ;845.191  x  
2.;10.01.;6;9;1;1;6;6;19.259.586,00       ;15  x  ;98  x  ;930  x  ;9.265  x  ;92.511  x  ;899.137  x  
3.;17.01.;1;7;2;8;4;3;20.122.984,00       ;9  x  ;95  x  ;974  x  ;9.387  x  ;92.883  x  ;919.097  x  
4.;24.01.;7;9;8;7;9;2;17.650.976,00       ;11  x  ;82  x  ;767  x  ;7.346  x  ;75.798  x  ;755.209  x  
5.;31.01.;9;9;0;1;7;8;17.426.564,00       ;6  x  ;93  x  ;834  x  ;8.561  x  ;82.999  x  ;831.708  x  
6.;07.02.;8;7;4;7;1;7;17.423.500,00       ;10  x  ;74  x  ;884  x  ;8.753  x  ;85.213  x  ;850.901  x  
7.;14.02.;3;9;8;5;7;2;17.872.516,00       ;16  x  ;91  x  ;822  x  ;8.037  x  ;78.364  x  ;774.372  x  
8.;21.02.;8;7;1;1;8;5;17.211.168,00       ;3  x  ;85  x  ;929  x  ;8.489  x  ;82.653  x  ;830.977  x  
9.;28.02.;8;7;3;7;9;1;18.642.660,00       ;7  x  ;72  x  ;765  x  ;7.379  x  ;73.967  x  ;759.734  x  
10.;07.03.;2;2;3;0;2;4;20.152.890,00       ;7  x  ;84  x  ;875  x  ;8.950  x  ;91.819  x  ;890.176  x  
