Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1999
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1999;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;09.01.;6;0;5;3;2;1;18.705.026,00       ;7  x  ;88  x  ;802  x  ;7.896  x  ;76.027  x  ;727.468  x  
2.;16.01.;1;7;3;8;1;2;19.061.106,00       ;7  x  ;60  x  ;836  x  ;8.147  x  ;81.536  x  ;800.462  x  
3.;23.01.;0;8;5;8;2;6;20.189.240,00       ;10  x  ;105  x  ;1.031  x  ;9.648  x  ;97.469  x  ;973.986  x  
4.;30.01.;7;0;3;0;3;5;19.109.160,00       ;16  x  ;76  x  ;908  x  ;8.827  x  ;92.995  x  ;912.070  x  
5.;06.02.;7;1;8;2;7;8;18.980.486,00       ;11  x  ;87  x  ;1.001  x  ;9.340  x  ;92.257  x  ;907.256  x  
6.;13.02.;2;0;9;9;8;2;19.705.686,00       ;4  x  ;84  x  ;834  x  ;8.547  x  ;83.755  x  ;839.264  x  
7.;20.02.;3;7;4;1;8;3;18.679.908,00       ;17  x  ;83  x  ;844  x  ;8.368  x  ;82.000  x  ;840.720  x  
8.;27.02.;9;5;9;2;6;0;18.791.214,00       ;12  x  ;65  x  ;724  x  ;7.245  x  ;72.430  x  ;725.249  x  
9.;06.03.;4;8;7;6;0;2;19.885.356,00       ;9  x  ;77  x  ;755  x  ;7.515  x  ;76.403  x  ;860.685  x  
10.;13.03.;5;9;8;2;3;1;21.450.948,00       ;10  x  ;88  x  ;839  x  ;8.669  x  ;86.442  x  ;848.687  x  
11.;20.03.;3;6;5;2;0;0;18.914.572,00       ;8  x  ;75  x  ;750  x  ;7.213  x  ;74.258  x  ;730.780  x  
12.;27.03.;7;4;3;3;3;9;18.481.254,00       ;7  x  ;70  x  ;779  x  ;8.511  x  ;86.227  x  ;852.239  x  
13.;03.04.;1;1;7;2;6;1;18.325.944,00       ;9  x  ;99  x  ;726  x  ;7.302  x  ;72.915  x  ;730.073  x  
14.;10.04.;1;7;6;4;0;6;18.982.356,00       ;10  x  ;83  x  ;820  x  ;8.254  x  ;80.765  x  ;912.611  x  
15.;17.04.;2;4;1;3;1;8;18.760.186,00       ;12  x  ;101  x  ;826  x  ;8.822  x  ;87.972  x  ;893.862  x  
16.;24.04.;9;7;6;9;7;7;19.401.764,00       ;10  x  ;91  x  ;944  x  ;9.719  x  ;102.058  x  ;915.219  x  
17.;01.05.;7;0;5;0;1;0;17.628.532,00       ;9  x  ;55  x  ;687  x  ;6.652  x  ;66.723  x  ;677.057  x  
18.;08.05.;3;3;1;8;4;7;18.427.568,00       ;11  x  ;86  x  ;911  x  ;9.036  x  ;89.952  x  ;883.976  x  
19.;15.05.;6;9;6;7;0;1;17.752.582,00       ;9  x  ;59  x  ;681  x  ;6.567  x  ;65.039  x  ;709.604  x  
20.;22.05.;2;6;5;1;1;0;18.309.144,00       ;13  x  ;64  x  ;692  x  ;6.974  x  ;70.168  x  ;717.420  x  
21.;29.05.;9;3;8;4;2;5;17.647.418,00       ;9  x  ;93  x  ;842  x  ;8.662  x  ;86.075  x  ;838.430  x  
22.;05.06.;0;0;8;4;8;2;19.226.304,00       ;5  x  ;88  x  ;833  x  ;8.173  x  ;80.643  x  ;810.511  x  
23.;12.06.;5;9;7;5;6;4;18.017.640,00       ;13  x  ;90  x  ;874  x  ;8.354  x  ;80.792  x  ;789.122  x  
24.;19.06.;0;0;5;9;9;8;17.766.252,00       ;8  x  ;92  x  ;857  x  ;8.521  x  ;85.130  x  ;862.990  x  
25.;26.06.;0;2;1;5;1;9;18.024.482,00       ;10  x  ;71  x  ;871  x  ;8.596  x  ;83.682  x  ;849.632  x  
26.;03.07.;9;8;7;1;9;5;17.865.750,00       ;10  x  ;83  x  ;848  x  ;8.344  x  ;83.988  x  ;856.672  x  
27.;10.07.;4;2;9;7;5;0;18.377.448,00       ;8  x  ;81  x  ;746  x  ;7.266  x  ;71.991  x  ;707.722  x  
28.;17.07.;5;9;0;3;1;8;19.302.086,00       ;6  x  ;94  x  ;884  x  ;9.446  x  ;91.883  x  ;937.435  x  
29.;24.07.;9;1;8;1;5;5;22.803.524,00       ;13  x  ;101  x  ;1.110  x  ;10.778  x  ;110.615  x  ;1.082.669  x  
30.;31.07.;2;7;4;2;8;2;18.518.936,00       ;9  x  ;74  x  ;701  x  ;7.546  x  ;77.433  x  ;773.503  x  
31.;07.08.;5;5;9;9;7;3;18.144.806,00       ;15  x  ;77  x  ;824  x  ;8.282  x  ;83.101  x  ;837.666  x  
32.;14.08.;4;9;8;0;5;8;19.241.406,00       ;9  x  ;95  x  ;865  x  ;8.832  x  ;93.668  x  ;938.131  x  
33.;21.08.;3;3;2;8;8;8;19.239.328,00       ;6  x  ;122  x  ;1.050  x  ;11.683  x  ;95.269  x  ;946.966  x  
34.;28.08.;7;5;6;0;1;9;21.281.356,00       ;11  x  ;86  x  ;949  x  ;9.519  x  ;100.418  x  ;1.006.501  x  
35.;04.09.;2;9;7;7;5;9;29.419.574,00       ;26  x  ;133  x  ;1.377  x  ;14.015  x  ;139.672  x  ;1.379.081  x  
36.;11.09.;9;0;9;7;4;8;19.927.686,00       ;11  x  ;105  x  ;1.096  x  ;10.503  x  ;103.724  x  ;994.693  x  
37.;18.09.;9;6;2;6;7;7;19.401.924,00       ;12  x  ;105  x  ;958  x  ;9.687  x  ;103.976  x  ;917.280  x  
38.;25.09.;3;7;6;3;5;5;18.842.636,00       ;10  x  ;74  x  ;970  x  ;9.133  x  ;93.773  x  ;896.358  x  
39.;02.10.;7;0;8;4;9;2;19.291.556,00       ;12  x  ;94  x  ;761  x  ;8.087  x  ;80.630  x  ;810.345  x  
