Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2007;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;03.01.;MI;0;0;4;6;3;8;3.539.712,50   ;3  x   ;25  x   ;308  x   ;3.016  x   ;29.877  x   ;298.872  x   ;;;;
;06.01.;SA;8;4;8;7;5;7;8.564.783,75   ;14  x   ;85  x   ;770  x   ;7.417  x   ;71.115  x   ;694.793  x   ;;;;
2.;10.01.;MI;4;2;5;2;2;2;3.601.060,00   ;1  x   ;21  x   ;263  x   ;2.779  x   ;23.947  x   ;229.693  x   ;;;;
;13.01.;SA;3;9;7;8;2;7;9.237.140,00   ;9  x   ;78  x   ;799  x   ;7.798  x   ;76.856  x   ;748.027  x   ;;;;
3.;17.01.;MI;0;0;9;9;4;0;3.653.463,75   ;1  x   ;18  x   ;178  x   ;2.026  x   ;19.754  x   ;202.606  x   ;;;;
;20.01.;SA;6;4;7;2;2;5;8.635.861,25   ;5  x   ;63  x   ;668  x   ;6.866  x   ;72.415  x   ;701.790  x   ;;;;
4.;24.01.;MI;7;3;4;4;7;6;3.381.695,00   ;3  x   ;19  x   ;239  x   ;2.580  x   ;25.980  x   ;268.134  x   ;;;;
;27.01.;SA;4;6;0;5;0;0;8.431.750,00   ;4  x   ;58  x   ;549  x   ;5.028  x   ;49.188  x   ;456.700  x   ;;;;
5.;31.01.;MI;1;0;0;1;9;1;3.446.802,50   ;2  x   ;14  x   ;210  x   ;2.073  x   ;20.311  x   ;221.860  x   ;;;;
;03.02.;SA;7;3;6;2;1;7;8.711.366,25   ;5  x   ;66  x   ;707  x   ;6.931  x   ;69.665  x   ;712.102  x   ;;;;
6.;07.02.;MI;1;2;4;1;8;2;3.519.556,25   ;3  x   ;25  x   ;225  x   ;2.220  x   ;22.460  x   ;225.886  x   ;;;;
;10.02.;SA;5;0;9;9;7;3;8.635.138,75   ;9  x   ;67  x   ;607  x   ;6.330  x   ;62.078  x   ;623.430  x   ;;;;
7.;14.02.;MI;0;6;2;7;2;3;3.320.061,25   ;1  x   ;29  x   ;260  x   ;2.521  x   ;24.599  x   ;244.988  x   ;;;;
;17.02.;SA;5;4;9;8;9;0;8.631.568,75   ;5  x   ;52  x   ;430  x   ;4.593  x   ;45.541  x   ;474.182  x   ;;;;
8.;21.02.;MI;8;5;1;6;0;7;3.456.395,00   ;3  x   ;19  x   ;217  x   ;2.368  x   ;24.982  x   ;276.286  x   ;;;;
;24.02.;SA;5;6;1;8;0;2;9.041.902,50   ;2  x   ;56  x   ;534  x   ;5.209  x   ;52.010  x   ;590.914  x   ;;;;
9.;28.02.;MI;1;8;5;5;5;0;4.294.278,75   ;4  x   ;25  x   ;245  x   ;2.540  x   ;24.651  x   ;243.539  x   ;;;;
;03.03.;SA;4;5;3;4;5;9;10.316.736,25   ;7  x   ;72  x   ;791  x   ;7.464  x   ;73.905  x   ;718.487  x   ;;;;
10.;07.03.;MI;0;5;0;5;0;1;3.558.557,50   ;2  x   ;31  x   ;237  x   ;2.295  x   ;21.378  x   ;229.185  x   ;;;;
;10.03.;SA;3;2;7;5;3;8;8.845.816,25   ;8  x   ;77  x   ;773  x   ;7.699  x   ;75.794  x   ;745.473  x   ;;;;
11.;14.03.;MI;0;4;8;1;6;7;3.652.596,25   ;1  x   ;32  x   ;278  x   ;2.776  x   ;28.212  x   ;288.462  x   ;;;;
;17.03.;SA;1;3;1;2;6;9;9.346.688,75   ;6  x   ;73  x   ;693  x   ;6.847  x   ;67.897  x   ;648.662  x   ;;;;
12.;21.03.;MI;2;0;4;2;2;8;3.392.998,75   ;5  x   ;25  x   ;275  x   ;2.770  x   ;28.852  x   ;287.343  x   ;;;;
;24.03.;SA;1;2;5;4;4;0;8.677.157,50   ;12  x   ;56  x   ;491  x   ;4.951  x   ;47.613  x   ;483.356  x   ;;;;
13.;28.03.;MI;8;7;4;0;3;4;3.490.150,00   ;6  x   ;16  x   ;252  x   ;2.298  x   ;24.371  x   ;240.625  x   ;;;;
;31.03.;SA;8;5;5;9;5;3;9.068.382,50   ;6  x   ;47  x   ;707  x   ;6.868  x   ;67.061  x   ;656.286  x   ;;;;
14.;04.04.;MI;6;3;6;9;8;9;4.288.020,00   ;1  x   ;33  x   ;267  x   ;3.055  x   ;28.375  x   ;290.787  x   ;;;;
;07.04.;SA;1;4;0;8;7;5;9.801.208,75   ;11  x   ;68  x   ;791  x   ;8.174  x   ;79.727  x   ;781.177  x   ;;;;
15.;11.04.;MI;2;1;5;1;2;2;3.334.101,25   ;3  x   ;27  x   ;216  x   ;2.123  x   ;22.476  x   ;211.875  x   ;;;;
;14.04.;SA;2;0;5;0;6;3;8.596.095,00   ;6  x   ;65  x   ;629  x   ;6.028  x   ;63.488  x   ;625.949  x   ;;;;
16.;18.04.;MI;4;6;0;7;2;2;3.256.513,75   ;3  x   ;16  x   ;222  x   ;2.209  x   ;21.936  x   ;205.975  x   ;;;;
;21.04.;SA;6;1;5;1;0;9;8.442.842,50   ;8  x   ;52  x   ;483  x   ;5.067  x   ;51.131  x   ;597.126  x   ;;;;
17.;25.04.;MI;0;8;0;1;0;5;3.169.860,00   ;2  x   ;22  x   ;234  x   ;2.263  x   ;21.640  x   ;262.156  x   ;;;;
;28.04.;SA;3;9;3;9;7;1;8.173.345,00   ;7  x   ;36  x   ;529  x   ;5.451  x   ;51.529  x   ;521.643  x   ;;;;
18.;02.05.;MI;6;6;7;3;2;2;3.090.440,00   ;5  x   ;17  x   ;221  x   ;2.030  x   ;21.161  x   ;195.339  x   ;;;;
;05.05.;SA;4;0;9;7;1;0;8.324.766,25   ;7  x   ;44  x   ;452  x   ;4.488  x   ;44.703  x   ;464.800  x   ;;;;
19.;09.05.;MI;6;2;2;6;2;5;3.477.833,75   ;unbesetzt;22  x   ;313  x   ;2.941  x   ;28.496  x   ;281.015  x   ;;;;
;12.05.;SA;2;2;3;9;9;5;9.041.927,50   ;7  x   ;64  x   ;678  x   ;6.708  x   ;69.429  x   ;732.775  x   ;;;;
20.;16.05.;MI;8;0;8;6;2;3;3.320.725,00   ;unbesetzt;24  x   ;231  x   ;2.479  x   ;24.997  x   ;246.084  x   ;;;;
;19.05.;SA;3;6;7;7;6;6;8.261.900,00   ;7  x   ;67  x   ;647  x   ;6.240  x   ;65.745  x   ;627.557  x   ;;;;
21.;23.05.;MI;4;2;3;3;2;2;3.378.777,50   ;1  x   ;21  x   ;250  x   ;2.380  x   ;23.534  x   ;215.648  x   ;;;;
;26.05.;SA;7;3;3;0;0;6;8.164.506,25   ;5  x   ;45  x   ;552  x   ;5.116  x   ;54.734  x   ;630.557  x   ;;;;
22.;30.05.;MI;6;1;4;6;1;8;3.197.660,00   ;3  x   ;26  x   ;239  x   ;2.648  x   ;26.264  x   ;273.375  x   ;;;;
;02.06.;SA;3;0;3;6;1;1;8.674.035,00   ;5  x   ;55  x   ;559  x   ;5.710  x   ;57.082  x   ;553.527  x   ;;;;
23.;06.06.;MI;0;5;0;0;6;1;3.826.700,00   ;2  x   ;22  x   ;231  x   ;2.467  x   ;24.890  x   ;247.374  x   ;;;;
;09.06.;SA;4;2;4;3;3;1;9.064.898,75   ;5  x   ;58  x   ;591  x   ;5.821  x   ;61.065  x   ;582.747  x   ;;;;
24.;13.06.;MI;0;8;0;5;9;0;4.626.426,25   ;1  x   ;32  x   ;281  x   ;2.541  x   ;25.912  x   ;270.199  x   ;;;;
;16.06.;SA;4;2;8;8;3;5;8.489.648,75   ;6  x   ;76  x   ;729  x   ;7.445  x   ;71.966  x   ;685.518  x   ;;;;
25.;20.06.;MI;8;2;4;0;1;5;3.377.073,75   ;5  x   ;18  x   ;234  x   ;2.437  x   ;25.818  x   ;276.983  x   ;;;;
;23.06.;SA;2;7;3;4;2;1;8.530.136,25   ;7  x   ;54  x   ;579  x   ;5.790  x   ;57.684  x   ;555.332  x   ;;;;
26.;27.06.;MI;4;5;6;5;4;7;3.805.670,00   ;3  x   ;33  x   ;324  x   ;3.145  x   ;30.970  x   ;298.262  x   ;;;;
;30.06.;SA;6;7;4;5;6;5;9.599.958,75   ;11  x   ;90  x   ;747  x   ;8.185  x   ;81.197  x   ;773.298  x   ;;;;
;;;;;;;Gewinne Gesamt;;;248   ;2.236   ;22.935   ;229.204   ;2.286.461   ;22.918.759   ;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2007;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;04.07.;MI;7;3;4;6;3;1;4.989.597,50   ;3  x   ;34  x   ;372  x   ;3.508  x   ;34.586  x   ;333.670  x   ;;;;
;07.07.;SA;6;2;1;1;6;1;10.846.185,00   ;12  x   ;64  x   ;719  x   ;7.072  x   ;71.985  x   ;717.277  x   ;;;;
28.;11.07.;MI;7;4;3;1;6;9;3.584.355,00   ;unbesetzt;26  x   ;242  x   ;2.470  x   ;25.067  x   ;238.158  x   ;;;;
;14.07.;SA;2;0;3;0;5;5;8.721.560,00   ;14  x   ;60  x   ;740  x   ;7.199  x   ;77.153  x   ;706.160  x   ;;;;
29.;18.07.;MI;8;5;1;0;8;6;3.293.530,00   ;1  x   ;21  x   ;227  x   ;2.250  x   ;24.995  x   ;254.788  x   ;;;;
;21.07.;SA;1;6;2;0;9;0;8.341.768,75   ;2  x   ;44  x   ;440  x   ;4.295  x   ;45.476  x   ;467.631  x   ;;;;
30.;25.07.;MI;6;7;0;6;4;8;3.474.380,00   ;3  x   ;41  x   ;329  x   ;3.174  x   ;30.684  x   ;288.871  x   ;;;;
;28.07.;SA;0;8;4;9;8;3;8.218.766,25   ;8  x   ;55  x   ;626  x   ;5.674  x   ;57.215  x   ;597.578  x   ;;;;
31.;02.08.;MI;5;4;7;4;3;4;3.448.156,25   ;4  x   ;28  x   ;227  x   ;2.510  x   ;24.350  x   ;235.525  x   ;;;;
;04.08.;SA;1;5;2;8;1;2;8.300.450,00   ;3  x   ;53  x   ;589  x   ;5.478  x   ;54.637  x   ;533.608  x   ;;;;
32.;08.08.;MI;3;2;0;6;7;0;3.369.382,50   ;4  x   ;18  x   ;190  x   ;1.927  x   ;18.601  x   ;191.680  x   ;;;;
;11.08.;SA;3;0;3;3;7;5;8.633.891,25   ;9  x   ;74  x   ;694  x   ;7.324  x   ;72.411  x   ;706.521  x   ;;;;
33.;15.08.;MI;5;7;1;3;4;0;3.230.612,50   ;2  x   ;17  x   ;197  x   ;1.817  x   ;18.123  x   ;183.903  x   ;;;;
;18.08.;SA;4;9;2;3;5;0;8.244.621,25   ;5  x   ;49  x   ;498  x   ;4.760  x   ;48.103  x   ;461.508  x   ;;;;
34.;22.08.;MI;3;3;5;4;5;1;3.333.037,50   ;2  x   ;13  x   ;217  x   ;2.313  x   ;23.149  x   ;220.963  x   ;;;;
;25.08.;SA;0;3;6;1;3;4;8.522.000,00   ;5  x   ;69  x   ;617  x   ;5.937  x   ;59.720  x   ;581.374  x   ;;;;
35.;29.08.;MI;0;4;7;1;0;9;3.717.861,25   ;2  x   ;24  x   ;226  x   ;2.193  x   ;22.077  x   ;254.301  x   ;;;;
;01.09.;SA;6;5;5;4;6;6;9.501.566,25   ;7  x   ;79  x   ;703  x   ;7.182  x   ;75.040  x   ;714.780  x   ;;;;
36.;05.09.;MI;9;3;9;3;2;9;4.773.676,25   ;6  x   ;30  x   ;375  x   ;3.283  x   ;32.419  x   ;325.744  x   ;;;;
;08.09.;SA;9;4;8;6;7;9;10.700.458,75   ;5  x   ;79  x   ;767  x   ;7.884  x   ;76.505  x   ;750.920  x   ;;;;
37.;12.09.;MI;9;5;0;4;4;1;3.539.250,00   ;1  x   ;21  x   ;206  x   ;2.208  x   ;22.846  x   ;235.371  x   ;;;;
;15.09.;SA;4;4;2;3;3;5;8.540.852,50   ;5  x   ;69  x   ;661  x   ;6.686  x   ;74.088  x   ;696.260  x   ;;;;
38.;19.09.;MI;4;2;3;4;7;3;3.307.683,75   ;4  x   ;26  x   ;252  x   ;2.398  x   ;24.388  x   ;241.809  x   ;;;;
;22.09.;SA;1;8;9;1;7;9;8.344.786,25   ;9  x   ;47  x   ;625  x   ;6.104  x   ;61.529  x   ;592.634  x   ;;;;
39.;26.09.;MI;3;4;6;9;6;3;3.487.671,25   ;2  x   ;25  x   ;273  x   ;2.685  x   ;25.356  x   ;254.909  x   ;;;;
