20 27 37 41 45 |  1  7 | 0.000 0.964 0.918 0.594 0.823 0.784 0.781 0.889 0.811 0.816 0.945 0.899 (2019, 6, 21)
 4 29 30 31 45 |  1  7 | 0.000 1.007 1.007 0.948 0.763 0.874 0.837 0.862 0.843 0.858 0.926 0.899 (2019, 3, 8)
19 28 34 45 49 |  1  6 | 0.000 1.346 0.769 0.861 0.789 0.889 0.808 0.890 0.857 0.995 0.913 0.899 (2016, 11, 25)
21 24 29 30 50 |  1  5 | 0.000 0.282 0.968 0.703 0.726 0.739 0.791 0.860 0.815 0.814 0.898 0.900 (2019, 9, 6)
 1 20 39 48 50 |  3  7 | 0.000 0.891 0.339 0.971 0.775 0.740 1.082 1.230 0.851 0.804 1.475 0.901 (2016, 12, 2)
19 31 32 40 46 |  8  9 | 0.000 0.295 0.337 0.724 0.787 0.768 0.704 0.722 0.860 0.845 0.746 0.902 (2015, 5, 8)
10 20 35 47 50 |  4  7 | 0.000 0.697 0.531 1.091 0.796 0.802 1.064 1.177 0.881 0.892 1.308 0.905 (2016, 3, 18)
31 32 45 47 49 |  7  9 | 0.000 0.582 0.499 0.890 0.812 0.735 0.871 0.915 0.830 0.784 0.910 0.906 (2019, 7, 19)
22 33 41 46 50 |  2  6 | 0.000 0.981 0.747 0.814 0.851 0.862 0.895 0.973 0.880 0.885 1.033 0.907 (2017, 5, 19)
12 14 20 21 39 |  5 10 | 0.000 0.486 0.555 0.794 0.753 0.910 0.703 0.719 0.893 1.034 0.729 0.909 (2015, 6, 19)
17 21 41 48 49 |  4  8 | 3.947 1.480 0.705 0.772 0.749 0.757 0.960 1.121 0.830 0.835 1.260 0.910 (2019, 9, 20)
 4 23 25 37 39 |  1  9 | 0.000 0.469 2.143 0.767 0.983 1.307 0.765 0.765 0.934 1.152 0.771 0.911 (2016, 1, 15)
11 20 28 41 45 |  5  9 | 0.000 1.244 1.422 1.179 0.956 0.934 0.930 0.888 0.875 0.901 0.917 0.913 (2017, 8, 25)
 2  5 24 43 45 |  4 10 | 4.128 0.774 0.442 0.587 0.892 0.847 0.867 0.773 0.867 0.964 0.809 0.916 (2020, 9, 11)
11 25 32 42 47 |  4  9 | 4.725 0.591 0.506 0.714 0.869 0.943 0.788 0.815 0.892 0.986 0.839 0.916 (2014, 12, 5)
 2  6 30 32 49 |  1  4 | 0.000 0.820 0.937 0.758 0.816 0.859 0.736 0.789 0.883 0.904 0.825 0.916 (2020, 2, 14)
13 20 32 34 47 |  6  9 | 0.000 0.940 0.269 0.669 0.871 0.960 0.773 0.792 0.935 1.003 0.803 0.916 (2016, 6, 3)
21 27 29 34 49 |  8 10 | 0.000 0.810 0.463 0.595 0.835 0.884 0.713 0.745 0.893 0.984 0.754 0.919 (2020, 5, 15)
27 31 44 46 49 |  6  8 | 0.000 1.571 0.673 0.670 0.812 0.751 0.841 0.873 0.850 0.820 0.933 0.919 (2017, 4, 21)
 5 11 35 44 50 |  4 10 | 3.245 0.203 0.695 0.736 0.805 0.860 0.785 0.802 0.885 0.947 0.819 0.919 (2020, 10, 16)
11 38 40 42 48 |  4  5 | 0.000 1.131 1.077 0.617 0.725 0.708 0.787 0.849 0.855 0.786 0.935 0.920 (2017, 9, 8)
 2  3 30 31 45 |  6  8 | 0.000 1.116 0.797 0.555 0.713 0.764 0.787 0.861 0.844 0.873 0.909 0.921 (2019, 11, 29)
 1 24 30 31 47 |  7  9 | 0.000 1.567 0.358 0.691 0.809 0.767 0.758 0.820 0.848 0.817 0.895 0.923 (2019, 2, 15)
 1 16 18 42 47 |  6  8 | 0.000 0.760 0.435 0.865 0.625 0.658 0.792 0.882 0.806 0.784 0.925 0.923 (2016, 11, 11)
10 16 31 37 40 |  3  9 | 0.000 0.544 0.466 0.696 0.823 0.814 0.973 1.054 0.867 0.864 1.139 0.925 (2016, 3, 11)
 8 14 23 30 45 |  1  9 | 4.243 1.061 1.061 1.075 0.934 1.094 0.860 0.867 0.919 1.071 0.881 0.925 (2019, 12, 6)
14 20 23 39 49 |  4 10 | 0.000 0.544 1.347 0.748 0.780 0.845 0.786 0.804 0.869 0.931 0.812 0.928 (2019, 11, 8)
 4 28 29 39 44 |  8 10 | 0.000 0.211 0.963 0.674 0.745 0.866 0.703 0.736 0.876 0.963 0.754 0.929 (2016, 9, 30)
14 18 26 40 45 |  1  5 | 0.000 0.000 1.324 0.988 0.937 0.852 0.846 0.895 0.911 0.918 0.943 0.930 (2017, 7, 28)
13 20 39 40 42 |  3  9 | 0.000 0.912 0.521 0.746 0.900 0.875 1.009 1.032 0.903 0.908 1.041 0.930 (2015, 8, 21)
16 30 33 40 43 |  2  4 | 0.000 0.304 0.348 0.930 0.805 0.754 0.855 0.885 0.858 0.820 0.962 0.932 (2017, 12, 29)
18 39 44 46 47 |  4  6 | 0.000 0.000 0.410 0.740 0.788 0.776 0.983 1.037 0.902 0.862 1.101 0.933 (2017, 8, 4)
12 15 32 40 45 |  7 10 | 0.000 1.041 0.892 0.944 0.938 0.945 0.743 0.754 0.918 0.947 0.770 0.934 (2020, 5, 22)
 1  2 16 31 50 |  1  7 | 0.000 0.875 0.500 0.778 0.887 0.750 0.946 0.948 0.935 0.845 0.977 0.934 (2016, 4, 8)
 1 10 25 46 49 |  1  6 | 4.655 1.164 0.997 0.869 0.959 0.948 1.001 0.937 0.950 0.949 0.929 0.935 (2017, 10, 20)
25 26 30 36 44 |  3  9 | 0.000 0.876 0.834 0.789 0.760 0.740 0.947 1.075 0.849 0.842 1.161 0.935 (2017, 3, 24)
10 18 32 35 46 |  3 10 | 0.000 0.598 0.854 1.042 0.952 0.925 0.751 0.783 0.919 0.973 0.802 0.936 (2019, 8, 30)
 3  7 14 46 48 |  6  9 | 0.000 1.058 1.411 1.003 0.748 0.883 0.731 0.769 0.899 1.039 0.769 0.937 (2015, 2, 13)
14 16 21 25 26 |  8 10 | 0.000 0.301 0.344 0.727 0.822 1.012 0.688 0.742 0.871 1.006 0.750 0.939 (2019, 2, 22)
 3 17 31 34 40 |  1  2 | 0.000 1.904 0.846 0.767 0.959 0.945 0.785 0.795 0.928 0.972 0.819 0.939 (2019, 11, 1)
12 17 29 44 50 |  2 10 | 0.000 0.833 0.793 0.948 0.943 1.010 0.829 0.804 0.948 1.053 0.790 0.941 (2016, 12, 9)
 4  8 22 36 44 |  5 10 | 3.048 2.095 1.959 0.908 1.131 1.491 0.894 0.853 1.000 1.206 0.834 0.941 (2016, 7, 29)
 8 14 34 40 44 |  1  7 | 0.000 1.034 0.591 0.827 0.826 0.820 0.862 0.890 0.897 0.932 0.960 0.942 (2017, 3, 31)
29 37 38 47 50 |  2  4 | 0.000 1.019 0.388 0.604 0.792 0.718 0.853 0.909 0.872 0.824 0.986 0.942 (2016, 7, 1)
11 19 38 42 46 |  3  9 | 0.000 0.497 0.853 1.662 1.019 1.035 1.055 1.011 0.943 0.962 1.052 0.944 (2015, 10, 16)
