     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
04.03.1956; ;41; 6; 4;47;17;19;--;--; ;       ;      ;  2.781.518,50;         1;   347.689,50;        52;     6.686,00;     4.334;        80,00;    90.946;         3,80;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
11.03.1956; ; 6;28; 9;26;20;22;--;--; ;       ;      ;  3.054.747,50;        --;           --;        91;     8.392,00;     4.397;        86,50;   101.983;         3,70;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
18.03.1956; ;26;10; 3;49;24;38;--;--; ;       ;      ;  2.980.347,00;        --;           --;       160;     4.656,50;     7.660;        48,60;   108.530;         3,40;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
25.03.1956; ;42;16;18; 3;37;19;--;--; ;       ;      ;  2.776.127,50;        --;           --;        63;    11.016,00;     4.361;        79,50;   100.283;         3,40;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
02.04.1956; ;25;10;32; 7;43;22;--;--; ;       ;      ;  2.662.887,00;         4;    83.215,00;       172;     1.935,00;     7.152;        46,50;   108.614;         3,00;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
08.04.1956; ;32;39;19;25; 2;30;--;--; ;       ;      ;  2.808.582,50;        --;           --;        66;    10.638,50;     5.251;        66,50;   100.020;         3,50;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
15.04.1956; ;46;32;14;31;12; 1;--;--; ;       ;      ;  2.900.492,00;        --;           --;        36;    20.142,00;     2.789;       129,50;    73.090;         4,90;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
22.04.1956; ;19;33;21;10;24;35;--;--; ;       ;      ;  2.885.455,00;        --;           --;       117;     6.165,50;     6.942;        51,50;   111.138;         3,20;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
29.04.1956; ;18; 4;40;36;47;34;--;--; ;       ;      ;  2.823.626,00;        --;           --;       107;     6.597,00;     5.313;        66,00;    95.107;         3,70;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
06.05.1956; ;45;39;41;49; 3; 1;--;--; ;       ;      ;  2.781.494,50;        --;           --;        23;    30.233,50;     1.997;       174,00;    60.837;         5,70;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
